,dia,vah,vpoc,val,vol,range,vwap,open,high,low,close,vol_vah,vol_vpoc,vol_val,poc_naked,rango_area,delta,vix_close,dia_semanal,vix_0dte
0,12/13/2022,12165.0,11942.25,11797.25,663200,2167,12060.74,11691.25,12339.0,11797.25,11839.75,354,3500,34,0,367.75,-3600.0,22.55,Martes,0.0
1,12/14/2022,12065.75,12030.0,11880.0,570500,1362,11931.11,11839.0,12069.5,11729.0,11750.75,551,4400,2100,1,185.75,-3000.0,21.14,Miercoles,0.0
2,12/15/2022,11608.75,11460.0,11405.0,615700,1976,11556.53,11758.75,11898.0,11404.0,11347.25,1200,5100,143,0,203.75,4000.0,22.83,Jueves,0.0
3,12/16/2022,11375.25,11341.5,11286.5,653000,864,11357.96,11340.25,11491.5,11275.5,11327.0,3600,7500,3100,0,88.75,510.0,22.62,Viernes,0.0
4,12/19/2022,11275.5,11221.75,11155.75,538200,1117,11241.36,11328.75,11411.0,11131.75,11193.25,2000,6100,3800,0,119.75,-4800.0,22.42,Lunes,0.0
5,12/20/2022,11226.25,11173.5,11135.5,616200,814,11161.7,11182.5,11247.0,11043.5,11175.75,2500,9200,2700,0,90.75,-7100.0,21.48,Martes,0.0
6,12/21/2022,11389.75,11335.0,11273.0,623500,835,11303.01,11206.5,11389.75,11181.0,11334.5,149,12800,262,0,116.75,-7900.0,20.07,Miercoles,0.0
7,12/22/2022,11082.25,11004.5,10905.5,706200,2057,11042.88,11357.0,11384.75,10870.5,11054.25,506,9000,3000,0,176.75,915.0,21.97,Jueves,0.0
8,12/23/2022,11081.0,11043.25,11005.25,529900,907,11032.4,11061.0,11143.0,10916.25,11075.25,2200,8600,2200,0,75.75,-3400.0,20.87,Viernes,0.0
9,12/27/2022,10985.75,10923.0,10909.0,493800,1151,10980.46,11104.0,11183.75,10896.0,10915.5,3200,8300,2000,0,76.75,-1800.0,21.65,Martes,0.0
10,12/28/2022,10903.5,10771.75,10761.75,624400,951,10859.96,10915.75,10996.5,10758.75,10772.75,1700,6700,492,0,141.75,1200.0,22.14,Miercoles,0.0
11,12/29/2022,11070.25,11031.5,10960.5,461000,1176,10980.0,10785.75,11071.5,10777.5,11032.75,213,8000,2400,0,109.75,-4600.0,21.44,Jueves,0.0
12,12/30/2022,10954.25,10934.5,10887.5,457200,784,10940.01,11033.5,11051.5,10855.5,11022.25,3100,6100,3500,0,66.75,209.0,21.67,Viernes,0.0
13,01/03/2023,11033.5,10945.75,10852.75,650200,1349,10984.76,11122.5,11182.0,10844.75,10945.5,1600,8100,656,0,180.75,6100.0,22.9,Martes,0.0
14,01/04/2023,11043.25,10989.5,10949.5,751100,820,10982.24,10941.25,11068.5,10863.5,10999.25,4500,7600,3900,0,93.75,-205.0,22.01,Miercoles,0.0
