,dia,vah,vpoc,val,vol,range,vwap,open,high,low,close,vol_vah,vol_vpoc,vol_val,poc_naked,tendencia,rango_area,delta,vix_close,cot_commercial,cot_noncommercial,cot_dealer,cot_institutional,cot_leveragedfunds,cot_other
0,01/03/2022,4803.5,4777.0,4689.0,7761100,618,4727.26,4771.0,4803.5,4649.0,4667.75,2400,168100,149500,1,bajista,114.5,-107300,18.76,-152.356,109.032,-455.368,731.685,-98.875,-220.766
1,01/10/2022,4731.75,4712.0,4632.0,9096700,667,4657.82,4671.25,4734.75,4568.0,4654.75,16700,129800,117700,1,bajista,99.75,657200,19.19,-133.856,77.406,-488.594,729.222,-57.767,-239.311
2,01/17/2022,4610.25,4581.5,4460.5,9005000,1162,4519.98,4666.0,4667.0,4376.5,4390.0,2800,141100,30100,0,bajista,149.75,-22400,28.85,-188.504,125.229,-549.195,723.521,-12.99,-224.611
3,01/24/2022,4377.75,4320.0,4273.0,12886200,934,4337.71,4389.0,4441.5,4208.0,4423.25,52700,131900,57500,0,alcista,104.75,377300,27.66,-289.134,226.847,-614.374,648.105,107.149,-203.167
4,01/31/2022,4535.5,4501.75,4453.75,8434000,762,4497.99,4423.5,4581.25,4390.75,4492.5,39700,154600,34500,0,alcista,81.75,-149200,23.22,-196.541,158.752,-514.453,634.289,48.829,-206.454
5,02/07/2022,4557.25,4497.5,4458.5,8893100,767,4498.83,4497.0,4580.25,4388.5,4409.5,91700,140800,14200,0,bajista,98.75,13400,27.36,-200.467,177.587,-460.065,558.497,58.542,-179.854
6,02/14/2022,4475.0,4454.25,4381.25,8223500,654,4404.54,4411.75,4479.75,4316.25,4343.5,10900,125900,69100,0,bajista,93.75,111500,27.75,-205.622,195.123,-408.456,517.19,30.528,-149.761
7,02/21/2022,4377.75,4311.0,4232.0,9069400,1158,4261.61,4324.25,4386.5,4097.0,4380.0,20800,77200,34000,0,alcista,145.75,463200,27.59,-239.541,236.443,-432.364,497.48,73.418,-141.632
8,02/28/2022,4365.5,4319.75,4293.75,8798600,669,4334.95,4299.5,4414.0,4246.75,4327.25,97400,124400,64700,0,alcista,71.75,-47200,31.98,-154.853,161.019,-291.358,463.645,-23.846,-142.275
9,03/07/2022,4284.75,4254.0,4202.0,6873900,781,4230.73,4308.75,4329.25,4134.0,4201.5,35500,93200,52800,0,bajista,82.75,76700,30.75,-120.684,127.653,-292.229,417.928,15.942,-134.672
10,03/14/2022,4352.75,4219.0,4145.0,6788600,1345,4301.18,4216.0,4468.25,4132.0,4409.25,35000,53600,4900,0,alcista,207.75,802800,23.87,-111.881,102.201,-257.495,441.548,-46.92,-146.813
