Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Fri Oct 06 2023,AAPL231006C00149000,26.6,0,21.9,24.45,0,0.6907,0.9882,0.0029,1,149.00,AAPL231006P00149000,0.04,-0.015,0.04,0.05,608,0.4536,-0.012,0.0029,762
Fri Oct 06 2023,AAPL231006C00150000,21.6,0.575,20.4,23.5,106,0.5694,0.9868,0.0033,179,150.00,AAPL231006P00150000,0.05,-0.015,0.03,0.06,852,0.4468,-0.0134,0.0033,5662
Fri Oct 06 2023,AAPL231006C00152500,19.56,0.985,18.1,21,262,0.4434,0.982,0.0046,45,152.50,AAPL231006P00152500,0.07,-0.015,0.05,0.07,602,0.4082,-0.0182,0.0046,2410
Fri Oct 06 2023,AAPL231006C00155000,17.09,0.94,15.9,18,522,0.5034,0.9745,0.0067,501,155.00,AAPL231006P00155000,0.08,-0.035,0.07,0.09,1838,0.3745,-0.0257,0.0067,6138
Fri Oct 06 2023,AAPL231006C00157500,13.99,0.265,12.45,16.2,27,0.3913,0.9625,0.01,35,157.50,AAPL231006P00157500,0.12,-0.055,0.11,0.12,3023,0.3412,-0.0377,0.01,6397
Fri Oct 06 2023,AAPL231006C00160000,11.5,0.25,11,12,260,0,0.9421,0.0153,812,160.00,AAPL231006P00160000,0.17,-0.105,0.17,0.18,5612,0.3134,-0.0582,0.0154,8292
Fri Oct 06 2023,AAPL231006C00162500,9,0.05,8.6,10.15,122,0.2271,0.9066,0.0239,120,162.50,AAPL231006P00162500,0.28,-0.165,0.27,0.29,4156,0.2907,-0.0938,0.024,4161
Fri Oct 06 2023,AAPL231006C00165000,6.99,0.265,6.25,7.75,690,0.2272,0.8458,0.0367,1427,165.00,AAPL231006P00165000,0.5,-0.24,0.48,0.51,8348,0.27,-0.1551,0.0369,10233
Fri Oct 06 2023,AAPL231006C00167500,4.85,0.1,4.7,5.1,656,0.2718,0.7468,0.0532,1389,167.50,AAPL231006P00167500,0.91,-0.32,0.85,0.91,13823,0.2527,-0.2547,0.0536,10464
Fri Oct 06 2023,AAPL231006C00170000,3,-0.075,2.98,3.1,8226,0.2363,0.6021,0.0686,6064,170.00,AAPL231006P00170000,1.55,-0.47,1.52,1.62,28905,0.2358,-0.401,0.0694,13605
Fri Oct 06 2023,AAPL231006C00172500,1.59,-0.14,1.58,1.7,34543,0.222,0.4214,0.0741,10519,172.50,AAPL231006P00172500,2.71,-0.49,2.58,2.74,11010,0.2205,-0.5851,0.0756,5950
Fri Oct 06 2023,AAPL231006C00175000,0.72,-0.12,0.7,0.72,54405,0.2115,0.2426,0.0621,23714,175.00,AAPL231006P00175000,4.27,-0.605,3.5,4.4,2645,0.2066,-0.7693,0.0645,8262
Fri Oct 06 2023,AAPL231006C00177500,0.3,-0.055,0.26,0.3,15148,0.2091,0.117,0.0393,11643,177.50,AAPL231006P00177500,5.95,-0.95,5.55,7.15,444,0.2533,-0.9021,0.0426,4207
