Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Fri Oct 06 2023,AMC231006C00003500,4.4,0,4.4,4.55,0,0,0.9926,0.0068,2,3.50,AMC231006P00003500,0,0,0,0.01,0,2.4957,-0.007,0.0068,0
Fri Oct 06 2023,AMC231006C00004000,4.05,0.3,3.9,4.05,1,0,0.9893,0.0107,26,4.00,AMC231006P00004000,0.01,0,0,0.01,0,2.1194,-0.0103,0.0107,641
Fri Oct 06 2023,AMC231006C00004500,3.45,0.2,3.4,3.55,11,0,0.9844,0.0169,21,4.50,AMC231006P00004500,0.01,0,0,0.01,1,1.7863,-0.0152,0.0169,79
Fri Oct 06 2023,AMC231006C00005000,3,0.24,2.97,3.05,17,1.8747,0.977,0.0269,20,5.00,AMC231006P00005000,0.01,-0.005,0,0.02,311,1.6371,-0.0226,0.0269,1646
Fri Oct 06 2023,AMC231006C00005500,2.79,0.52,2.45,2.58,3,1.5964,0.9651,0.0437,7,5.50,AMC231006P00005500,0.02,-0.005,0,0.02,38,1.34,-0.0345,0.0438,358
Fri Oct 06 2023,AMC231006C00006000,2.04,0.24,1.97,2.06,7,1.0939,0.9453,0.0727,510,6.00,AMC231006P00006000,0.02,-0.025,0.01,0.02,1310,1.1405,-0.0543,0.0727,2186
Fri Oct 06 2023,AMC231006C00006500,1.49,0.17,1.5,1.55,1161,1.0465,0.91,0.1239,1146,6.50,AMC231006P00006500,0.04,-0.045,0.03,0.04,507,1.0377,-0.0896,0.124,2673
Fri Oct 06 2023,AMC231006C00007000,1.09,0.18,1.05,1.1,141,0.9681,0.8429,0.2132,916,7.00,AMC231006P00007000,0.09,-0.075,0.07,0.09,6532,0.9452,-0.1567,0.2133,7409
Fri Oct 06 2023,AMC231006C00007500,0.67,0.105,0.66,0.69,2163,0.8908,0.714,0.3384,6997,7.50,AMC231006P00007500,0.19,-0.135,0.18,0.19,7445,0.8901,-0.2858,0.3387,10662
Fri Oct 06 2023,AMC231006C00008000,0.39,0.05,0.39,0.4,12808,0.905,0.5212,0.399,8953,8.00,AMC231006P00008000,0.4,-0.195,0.4,0.43,7885,0.9279,-0.4789,0.3997,9046
Fri Oct 06 2023,AMC231006C00008500,0.23,0.025,0.23,0.24,12702,0.9749,0.3524,0.3376,8010,8.50,AMC231006P00008500,0.73,-0.23,0.73,0.76,1110,0.9756,-0.648,0.3385,3824
Fri Oct 06 2023,AMC231006C00009000,0.16,0.025,0.14,0.16,11863,1.0836,0.2457,0.2541,9584,9.00,AMC231006P00009000,1.21,-0.165,1.14,1.18,261,1.0702,-0.7548,0.255,885
Fri Oct 06 2023,AMC231006C00009500,0.11,0.02,0.1,0.12,4123,1.1948,0.1806,0.1904,4381,9.50,AMC231006P00009500,1.7,-0.145,1.57,1.63,301,1.1222,-0.8202,0.1912,536
Fri Oct 06 2023,AMC231006C00010000,0.09,0.025,0.07,0.09,4338,1.2912,0.1388,0.1458,6288,10.00,AMC231006P00010000,2.12,-0.2,2.06,2.11,78,1.2713,-0.8621,0.1467,1014
Fri Oct 06 2023,AMC231006C00010500,0.06,0.005,0.05,0.07,736,1.3798,0.1104,0.1147,1653,10.50,AMC231006P00010500,2.64,-0.16,2.55,2.6,15,1.3835,-0.8906,0.1155,219
Fri Oct 06 2023,AMC231006C00011000,0.06,0.015,0.05,0.06,2711,1.5186,0.0903,0.0923,2877,11.00,AMC231006P00011000,2.95,-0.35,3,3.1,10,1.4226,-0.9108,0.0931,235
Fri Oct 06 2023,AMC231006C00011500,0.05,0.015,0.04,0.05,867,1.6051,0.0754,0.0758,1065,11.50,AMC231006P00011500,3.46,-0.34,3.5,3.6,7,1.5734,-0.9258,0.0766,156
Fri Oct 06 2023,AMC231006C00012000,0.04,0.005,0.03,0.05,788,1.707,0.0641,0.0634,1801,12.00,AMC231006P00012000,4.11,-0.165,4,4.1,3,1.7148,-0.9372,0.0642,229
Fri Oct 06 2023,AMC231006C00012500,0.04,0.015,0.03,0.04,651,1.7937,0.0553,0.0538,1005,12.50,AMC231006P00012500,4.8,0,4.5,4.6,0,1.8481,-0.946,0.0546,58
Fri Oct 06 2023,AMC231006C00013000,0.04,0.015,0.03,0.04,486,1.9156,0.0483,0.0462,1075,13.00,AMC231006P00013000,5.15,-0.125,5,5.1,1,1.9743,-0.9532,0.047,30
Fri Oct 13 2023,AMC231013C00003500,0,0,4.4,4.55,0,0,0.9936,0.0066,0,3.50,AMC231013P00003500,0.02,0,0,0.03,0,2.0529,-0.0069,0.0066,1
Fri Oct 13 2023,AMC231013C00004000,0,0,3.95,4.05,0,1.3922,0.9889,0.0115,0,4.00,AMC231013P00004000,0.01,-0.01,0,0.03,7,1.7492,-0.0116,0.0115,390
Fri Oct 13 2023,AMC231013C00004500,3.3,0,3.4,3.55,0,0,0.9813,0.0195,4,4.50,AMC231013P00004500,0.04,0,0,0.03,0,1.4805,-0.0192,0.0195,15
Fri Oct 13 2023,AMC231013C00005000,2.96,0.185,2.95,3.05,3,0.8122,0.9691,0.0324,29,5.00,AMC231013P00005000,0.03,0,0.01,0.03,288,1.2998,-0.0314,0.0324,870
Fri Oct 13 2023,AMC231013C00005500,2.75,0.44,2.49,2.57,6,1.1504,0.9493,0.0529,202,5.50,AMC231013P00005500,0.03,-0.03,0.02,0.04,4,1.1553,-0.0513,0.053,724
Fri Oct 13 2023,AMC231013C00006000,2.05,0.21,2.02,2.08,8,1.0331,0.917,0.0846,38,6.00,AMC231013P00006000,0.06,-0.045,0.06,0.07,61,1.1126,-0.0835,0.0848,3700
Fri Oct 13 2023,AMC231013C00006500,1.55,0.12,1.57,1.64,16,0.9956,0.8651,0.1305,23,6.50,AMC231013P00006500,0.11,-0.075,0.11,0.12,322,1.0347,-0.1356,0.1308,3776
Fri Oct 13 2023,AMC231013C00007000,1.17,0.11,1.18,1.25,22,0.9939,0.7845,0.1884,619,7.00,AMC231013P00007000,0.21,-0.1,0.21,0.22,973,1.0017,-0.2164,0.1888,7452
Fri Oct 13 2023,AMC231013C00007500,0.84,0.08,0.85,0.9,93,0.9742,0.6714,0.2424,606,7.50,AMC231013P00007500,0.37,-0.135,0.35,0.39,574,0.9731,-0.3298,0.2433,1982
Fri Oct 13 2023,AMC231013C00008000,0.6,0.05,0.6,0.62,1021,0.9732,0.5394,0.267,1750,8.00,AMC231013P00008000,0.62,-0.18,0.59,0.63,267,0.9811,-0.4624,0.2683,858
Fri Oct 13 2023,AMC231013C00008500,0.4,0.02,0.42,0.44,553,1.0061,0.4156,0.2542,1371,8.50,AMC231013P00008500,0.93,-0.205,0.91,0.95,49,1.0145,-0.5868,0.2558,396
Fri Oct 13 2023,AMC231013C00009000,0.31,0.04,0.3,0.31,1191,1.0348,0.3174,0.2207,2263,9.00,AMC231013P00009000,1.29,-0.24,1.28,1.32,88,1.0441,-0.6856,0.2225,257
Fri Oct 13 2023,AMC231013C00009500,0.2,0,0.21,0.23,273,1.0852,0.2454,0.1839,1873,9.50,AMC231013P00009500,1.78,-0.18,1.7,1.76,6,1.1159,-0.7581,0.1858,176
Fri Oct 13 2023,AMC231013C00010000,0.17,0.015,0.15,0.17,1482,1.1236,0.1937,0.1515,2976,10.00,AMC231013P00010000,2.06,-0.345,2.13,2.22,7,1.1706,-0.8102,0.1534,270
