Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Fri Oct 06 2023,AMD231006C00094000,9.6,0.25,9.05,9.2,10,0.4432,0.9332,0.0204,73,94.00,AMD231006P00094000,0.18,-0.14,0.18,0.19,817,0.4434,-0.0671,0.0204,1607
Fri Oct 06 2023,AMD231006C00095000,8.16,-0.265,8.15,8.25,132,0.4376,0.9125,0.0255,661,95.00,AMD231006P00095000,0.25,-0.16,0.25,0.26,3013,0.4359,-0.0878,0.0256,6825
Fri Oct 06 2023,AMD231006C00096000,7.65,0.1,7.2,7.35,94,0.4232,0.886,0.0316,645,96.00,AMD231006P00096000,0.33,-0.2,0.32,0.34,1440,0.4221,-0.1144,0.0317,2458
Fri Oct 06 2023,AMD231006C00097000,6.4,-0.3,6.35,6.5,131,0.4253,0.8528,0.0384,1267,97.00,AMD231006P00097000,0.46,-0.22,0.44,0.46,2865,0.4155,-0.1477,0.0385,3052
Fri Oct 06 2023,AMD231006C00098000,5.7,-0.2,5.5,5.65,458,0.4156,0.8122,0.0457,1726,98.00,AMD231006P00098000,0.63,-0.24,0.58,0.61,4017,0.4061,-0.1885,0.0458,4459
Fri Oct 06 2023,AMD231006C00099000,4.75,-0.375,4.7,4.85,257,0.4084,0.7638,0.053,1209,99.00,AMD231006P00099000,0.81,-0.29,0.78,0.82,3204,0.4014,-0.237,0.0532,1839
Fri Oct 06 2023,AMD231006C00100000,3.95,-0.45,3.95,4.1,1292,0.4014,0.708,0.0598,3565,100.00,AMD231006P00100000,1.05,-0.345,1.05,1.08,8956,0.3982,-0.2932,0.06,6622
Fri Oct 06 2023,AMD231006C00101000,3.31,-0.44,3.3,3.4,1509,0.3979,0.6455,0.0654,2445,101.00,AMD231006P00101000,1.41,-0.32,1.36,1.41,4073,0.3939,-0.356,0.0658,2412
Fri Oct 06 2023,AMD231006C00102000,2.7,-0.45,2.72,2.81,1961,0.3987,0.5779,0.0694,2308,102.00,AMD231006P00102000,1.81,-0.315,1.72,1.8,7309,0.3878,-0.4239,0.0699,3888
Fri Oct 06 2023,AMD231006C00103000,2.19,-0.425,2.19,2.25,12851,0.3943,0.5075,0.0712,3205,103.00,AMD231006P00103000,2.29,-0.29,2.24,2.27,7378,0.3904,-0.4948,0.0717,2120
Fri Oct 06 2023,AMD231006C00104000,1.69,-0.44,1.72,1.77,12513,0.3899,0.437,0.0706,3011,104.00,AMD231006P00104000,2.81,-0.29,2.73,2.81,3768,0.3839,-0.566,0.0712,1590
Fri Oct 06 2023,AMD231006C00105000,1.31,-0.4,1.3,1.36,15958,0.3835,0.3685,0.0678,5794,105.00,AMD231006P00105000,3.4,-0.3,3.35,3.45,1610,0.3852,-0.6352,0.0685,1318
Fri Oct 06 2023,AMD231006C00106000,1.02,-0.34,1,1.06,7892,0.3862,0.3038,0.0632,4837,106.00,AMD231006P00106000,4.07,-0.28,4,4.1,360,0.3773,-0.7007,0.064,924
Fri Oct 06 2023,AMD231006C00107000,0.75,-0.3,0.73,0.76,2868,0.3795,0.2438,0.0571,3008,107.00,AMD231006P00107000,4.82,-0.205,4.75,4.95,172,0.3879,-0.7616,0.0581,830
Fri Oct 06 2023,AMD231006C00108000,0.54,-0.27,0.53,0.56,7864,0.3791,0.1901,0.0499,3557,108.00,AMD231006P00108000,5.65,-0.15,5.55,5.75,100,0.3876,-0.8165,0.051,542
Fri Oct 06 2023,AMD231006C00109000,0.38,-0.23,0.37,0.4,1820,0.377,0.1448,0.0421,1626,109.00,AMD231006P00109000,6.5,-0.1,6.4,6.6,26,0.3884,-0.863,0.0434,275
Fri Oct 06 2023,AMD231006C00110000,0.27,-0.19,0.27,0.29,4473,0.3805,0.1094,0.0346,5667,110.00,AMD231006P00110000,6.77,-0.68,7.25,7.5,93,0.3843,-0.8996,0.0359,462
Fri Oct 06 2023,AMD231006C00111000,0.19,-0.155,0.19,0.2,1080,0.381,0.0833,0.0279,1507,111.00,AMD231006P00111000,8.3,-0.05,8.2,8.35,13,0.3737,-0.9267,0.0293,48
Fri Oct 06 2023,AMD231006C00112000,0.14,-0.12,0.13,0.15,1206,0.3854,0.0643,0.0224,1231,112.00,AMD231006P00112000,8.41,-0.865,9.1,9.3,35,0.35,-0.9465,0.0239,26
Fri Oct 06 2023,AMD231006C00113000,0.1,-0.095,0.1,0.11,846,0.3936,0.0505,0.0181,668,113.00,AMD231006P00113000,9.76,-0.465,10.05,10.4,8,0.4036,-0.9609,0.0195,30
Fri Oct 13 2023,AMD231013C00094000,10.6,0.75,9.55,9.8,7,0.444,0.8693,0.0243,79,94.00,AMD231013P00094000,0.58,-0.16,0.57,0.6,141,0.4317,-0.1312,0.0244,485
Fri Oct 13 2023,AMD231013C00095000,9.4,0.4,8.7,8.95,177,0.4394,0.8433,0.0277,129,95.00,AMD231013P00095000,0.74,-0.155,0.7,0.74,727,0.4258,-0.1574,0.0279,3316
Fri Oct 13 2023,AMD231013C00096000,8.55,0.35,7.85,8,19,0.4207,0.8137,0.0313,279,96.00,AMD231013P00096000,0.87,-0.21,0.87,0.9,450,0.4207,-0.1871,0.0314,885
Fri Oct 13 2023,AMD231013C00097000,7.65,0.25,7.05,7.2,79,0.4161,0.7805,0.0348,373,97.00,AMD231013P00097000,1.01,-0.29,1.07,1.12,347,0.418,-0.2205,0.035,5256
Fri Oct 13 2023,AMD231013C00098000,6.35,-0.3,6.3,6.55,78,0.4218,0.7439,0.0383,474,98.00,AMD231013P00098000,1.35,-0.205,1.32,1.34,1026,0.4137,-0.2573,0.0385,1921
Fri Oct 13 2023,AMD231013C00099000,5.65,-0.3,5.6,5.7,35,0.4098,0.704,0.0415,356,99.00,AMD231013P00099000,1.62,-0.23,1.58,1.62,378,0.4089,-0.2975,0.0418,1110
Fri Oct 13 2023,AMD231013C00100000,4.95,-0.325,4.9,5,723,0.4034,0.661,0.0444,2735,100.00,AMD231013P00100000,1.96,-0.225,1.88,1.98,1436,0.4066,-0.3409,0.0447,1470
Fri Oct 13 2023,AMD231013C00101000,4.32,-0.355,4.3,4.4,266,0.4044,0.6153,0.0467,861,101.00,AMD231013P00101000,2.28,-0.285,2.28,2.37,1192,0.4069,-0.3869,0.0471,1132
Fri Oct 13 2023,AMD231013C00102000,3.7,-0.4,3.75,3.8,240,0.4025,0.5677,0.0484,426,102.00,AMD231013P00102000,2.75,-0.24,2.7,2.78,290,0.4036,-0.435,0.0489,623
Fri Oct 13 2023,AMD231013C00103000,3.2,-0.375,3.2,3.3,793,0.4007,0.5187,0.0494,797,103.00,AMD231013P00103000,3.2,-0.25,3.15,3.25,894,0.3998,-0.4844,0.0499,678
Fri Oct 13 2023,AMD231013C00104000,2.76,-0.34,2.74,2.79,2556,0.3978,0.4694,0.0496,1937,104.00,AMD231013P00104000,3.8,-0.175,3.65,3.75,447,0.3948,-0.5344,0.0502,858
Fri Oct 13 2023,AMD231013C00105000,2.33,-0.325,2.31,2.36,5414,0.3956,0.4205,0.049,2477,105.00,AMD231013P00105000,4.3,-0.25,4.2,4.35,146,0.393,-0.5839,0.0497,1001
Fri Oct 13 2023,AMD231013C00106000,1.93,-0.33,1.93,1.99,788,0.3945,0.3729,0.0476,1048,106.00,AMD231013P00106000,4.8,-0.35,4.85,4.95,94,0.3914,-0.6323,0.0484,274
Fri Oct 13 2023,AMD231013C00107000,1.61,-0.295,1.6,1.64,374,0.3919,0.3273,0.0456,669,107.00,AMD231013P00107000,5.56,-0.24,5.5,5.65,5,0.3903,-0.6787,0.0464,318
Fri Oct 13 2023,AMD231013C00108000,1.32,-0.27,1.32,1.35,403,0.3909,0.2843,0.043,584,108.00,AMD231013P00108000,5.68,-0.82,6.2,6.35,2,0.3863,-0.7226,0.0439,297
Fri Oct 13 2023,AMD231013C00109000,1.07,-0.26,1.07,1.11,200,0.3899,0.2445,0.0399,606,109.00,AMD231013P00109000,7.66,0,7,7.25,0,0.3994,-0.7634,0.0409,133
Fri Oct 13 2023,AMD231013C00110000,0.89,-0.205,0.84,0.89,2330,0.386,0.2081,0.0365,1991,110.00,AMD231013P00110000,7.9,-0.1,7.8,8.05,32,0.3998,-0.8008,0.0376,361
