Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Fri Oct 06 2023,AMZN231006C00119000,8.62,0.87,8,8.9,85,0.3463,0.9196,0.0244,109,119.00,AMZN231006P00119000,0.22,-0.245,0.2,0.22,742,0.3442,-0.0809,0.0245,11973
Fri Oct 06 2023,AMZN231006C00120000,7.7,0.8,7.3,7.7,299,0.3375,0.8962,0.0303,1119,120.00,AMZN231006P00120000,0.29,-0.305,0.27,0.29,4904,0.336,-0.1044,0.0305,5752
Fri Oct 06 2023,AMZN231006C00121000,7.05,1,6.2,6.8,151,0.3293,0.8662,0.0372,389,121.00,AMZN231006P00121000,0.38,-0.375,0.36,0.38,1289,0.3256,-0.1344,0.0374,1130
Fri Oct 06 2023,AMZN231006C00122000,5.65,0.4,5.15,6.2,168,0.3145,0.8288,0.0449,421,122.00,AMZN231006P00122000,0.51,-0.445,0.48,0.52,3394,0.3182,-0.1721,0.0451,2747
Fri Oct 06 2023,AMZN231006C00123000,5.1,0.6,4.9,5.05,198,0.3138,0.7831,0.053,969,123.00,AMZN231006P00123000,0.68,-0.52,0.64,0.68,2464,0.3112,-0.218,0.0533,3028
Fri Oct 06 2023,AMZN231006C00124000,3.91,0.11,4.1,4.25,483,0.3036,0.7289,0.0611,968,124.00,AMZN231006P00124000,0.9,-0.6,0.84,0.9,3854,0.3039,-0.2726,0.0615,3338
Fri Oct 06 2023,AMZN231006C00125000,3.5,0.35,3.35,3.5,2833,0.301,0.6663,0.0685,2283,125.00,AMZN231006P00125000,1.14,-0.71,1.12,1.16,7471,0.2981,-0.3357,0.069,7128
Fri Oct 06 2023,AMZN231006C00126000,2.7,0.13,2.73,2.82,3665,0.2951,0.5963,0.0744,1988,126.00,AMZN231006P00126000,1.52,-0.75,1.45,1.51,10776,0.2937,-0.4064,0.0751,3614
Fri Oct 06 2023,AMZN231006C00127000,2.18,0.11,2.16,2.22,5465,0.2903,0.5206,0.078,4612,127.00,AMZN231006P00127000,1.96,-0.805,1.86,1.92,8004,0.2894,-0.4829,0.0789,3472
Fri Oct 06 2023,AMZN231006C00128000,1.64,0.02,1.65,1.71,12572,0.286,0.4418,0.0787,4586,128.00,AMZN231006P00128000,2.4,-0.925,2.35,2.42,8013,0.2847,-0.5628,0.0798,3172
Fri Oct 06 2023,AMZN231006C00129000,1.25,0.005,1.24,1.29,9844,0.282,0.3637,0.076,5042,129.00,AMZN231006P00129000,3.04,-0.91,2.92,3,3626,0.2792,-0.6423,0.0774,2196
Fri Oct 06 2023,AMZN231006C00130000,0.91,-0.03,0.9,0.94,22416,0.2801,0.2901,0.07,18229,130.00,AMZN231006P00130000,3.64,-1.01,3.55,3.7,3375,0.2761,-0.7174,0.0716,3264
Fri Oct 06 2023,AMZN231006C00131000,0.64,-0.055,0.63,0.67,7060,0.2766,0.2249,0.0616,5493,131.00,AMZN231006P00131000,4.4,-1.025,4.25,4.45,429,0.2734,-0.7844,0.0635,1713
Fri Oct 06 2023,AMZN231006C00132000,0.43,-0.085,0.43,0.47,9474,0.2768,0.1703,0.052,6640,132.00,AMZN231006P00132000,5.2,-1.05,4.75,5.6,1225,0.2732,-0.841,0.0541,2235
Fri Oct 06 2023,AMZN231006C00133000,0.31,-0.065,0.31,0.32,5346,0.2763,0.1264,0.0423,6361,133.00,AMZN231006P00133000,6.15,-0.95,5.85,6.55,229,0.265,-0.8867,0.0446,2159
Fri Oct 06 2023,AMZN231006C00134000,0.2,-0.075,0.2,0.23,3416,0.2794,0.0926,0.0335,3224,134.00,AMZN231006P00134000,6.7,-1.35,6.75,7.5,86,0.2765,-0.9225,0.0359,1604
Fri Oct 06 2023,AMZN231006C00135000,0.15,-0.055,0.14,0.15,5838,0.2845,0.0673,0.026,10464,135.00,AMZN231006P00135000,7.92,-1.03,7.75,8.4,222,0.2792,-0.9496,0.0285,1971
Fri Oct 06 2023,AMZN231006C00136000,0.11,-0.045,0.1,0.12,1613,0.2912,0.0489,0.0199,3197,136.00,AMZN231006P00136000,8.66,-1.29,8.45,9.4,84,0,-0.9696,0.0224,2438
Fri Oct 06 2023,AMZN231006C00137000,0.08,-0.035,0.07,0.09,1116,0.2971,0.0358,0.0151,4146,137.00,AMZN231006P00137000,9.76,-1.115,9.45,10.4,36,0,-0.9843,0.0177,263
Fri Oct 06 2023,AMZN231006C00138000,0.06,-0.025,0.05,0.07,1783,0.3128,0.0267,0.0116,4018,138.00,AMZN231006P00138000,10.01,-1.89,10.5,11.15,13,0.3341,-0.9934,0.0121,290
Fri Oct 13 2023,AMZN231013C00119000,9.15,0.75,8.95,9.25,10,0.3345,0.8538,0.0274,54,119.00,AMZN231013P00119000,0.62,-0.35,0.6,0.64,195,0.3346,-0.147,0.0276,423
Fri Oct 13 2023,AMZN231013C00120000,8.28,0.73,8.1,8.4,27,0.33,0.8268,0.0312,98,120.00,AMZN231013P00120000,0.78,-0.38,0.73,0.78,1449,0.3288,-0.1741,0.0314,1837
Fri Oct 13 2023,AMZN231013C00121000,7.3,0.5,7.2,7.6,4,0.3216,0.7958,0.0351,104,121.00,AMZN231013P00121000,0.98,-0.4,0.89,0.93,406,0.322,-0.2053,0.0354,797
Fri Oct 13 2023,AMZN231013C00122000,6.5,0.45,6.4,6.75,47,0.3161,0.7606,0.0391,254,122.00,AMZN231013P00122000,1.01,-0.625,1.08,1.15,909,0.3173,-0.2409,0.0394,965
Fri Oct 13 2023,AMZN231013C00123000,6.15,0.8,5.7,6,37,0.3124,0.7211,0.043,109,123.00,AMZN231013P00123000,1.36,-0.565,1.32,1.39,544,0.3124,-0.2807,0.0434,512
Fri Oct 13 2023,AMZN231013C00124000,5.4,0.725,4.95,5.1,629,0.3098,0.6775,0.0466,995,124.00,AMZN231013P00124000,1.74,-0.51,1.59,1.66,1662,0.3081,-0.3248,0.0471,1817
Fri Oct 13 2023,AMZN231013C00125000,4.65,0.6,4.3,4.45,472,0.3049,0.6302,0.0498,504,125.00,AMZN231013P00125000,1.97,-0.67,1.91,1.99,650,0.3032,-0.3727,0.0504,1839
Fri Oct 13 2023,AMZN231013C00126000,3.65,0.175,3.65,3.8,994,0.3003,0.5797,0.0522,472,126.00,AMZN231013P00126000,2.43,-0.645,2.28,2.36,1384,0.2991,-0.4238,0.0529,2965
Fri Oct 13 2023,AMZN231013C00127000,3.1,0.125,3.1,3.25,973,0.2956,0.5269,0.0539,764,127.00,AMZN231013P00127000,2.76,-0.79,2.7,2.79,690,0.2958,-0.4774,0.0547,764
Fri Oct 13 2023,AMZN231013C00128000,2.6,0.105,2.61,2.69,1209,0.2931,0.4727,0.0545,638,128.00,AMZN231013P00128000,3.2,-0.875,3.15,3.3,471,0.2915,-0.5326,0.0554,770
