Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Fri Jul 21 2023,ARES230721C00045000,0,0,46.5,50.2,0,0,0.9968,0.0003,0,45.00,ARES230721P00045000,0,0,0,0.35,0,1.2305,-0.0023,0.0003,0
Fri Jul 21 2023,ARES230721C00050000,0,0,41.9,45.9,0,1.2454,0.9956,0.0005,0,50.00,ARES230721P00050000,0,0,0,0.35,0,1.0699,-0.0035,0.0005,0
Fri Jul 21 2023,ARES230721C00055000,0,0,36.5,40.3,0,0,0.9936,0.0008,0,55.00,ARES230721P00055000,0,0,0,0.35,0,0.9239,-0.0055,0.0008,0
Fri Jul 21 2023,ARES230721C00060000,0,0,32.4,35.3,0,0.8824,0.9904,0.0013,0,60.00,ARES230721P00060000,0,0,0,0.35,0,0.7897,-0.0087,0.0013,0
Fri Jul 21 2023,ARES230721C00065000,30.4,0,27.4,30.2,0,0.7113,0.9851,0.0022,0,65.00,ARES230721P00065000,0,0,0,0.4,0,0.6806,-0.0141,0.0022,0
Fri Jul 21 2023,ARES230721C00070000,0,0,22.7,25.1,0,0.62,0.9757,0.0039,0,70.00,ARES230721P00070000,0.28,0,0,0.45,0,0.5735,-0.0234,0.0039,37
Fri Jul 21 2023,ARES230721C00075000,0,0,17.6,20.5,0,0.5362,0.9586,0.007,0,75.00,ARES230721P00075000,0.2,0,0,0.55,0,0.4773,-0.0406,0.007,8
Fri Jul 21 2023,ARES230721C00080000,13.5,0,12.9,15.4,0,0.429,0.9254,0.0132,5,80.00,ARES230721P00080000,0.27,0,0.05,0.75,0,0.3964,-0.074,0.0133,58
Fri Jul 21 2023,ARES230721C00085000,11.22,0,8.5,10.2,0,0.3316,0.8561,0.0254,10,85.00,ARES230721P00085000,0.7,0,0.15,2.25,0,0.4014,-0.1438,0.0256,27
Fri Jul 21 2023,ARES230721C00090000,6.77,0,4.5,6.7,0,0.3247,0.706,0.0464,13,90.00,ARES230721P00090000,1.3,0,1.05,2.4,0,0.3015,-0.2957,0.047,18
Fri Jul 21 2023,ARES230721C00095000,3.1,0,1.5,2.85,0,0.2538,0.4342,0.0602,345,95.00,ARES230721P00095000,2.75,0,2.9,5.2,0,0.3022,-0.574,0.062,20
Fri Jul 21 2023,ARES230721C00100000,1.1,0,0.2,1.1,0,0.2409,0.1916,0.0406,16,100.00,ARES230721P00100000,0,0,5.2,8.3,0,0.1859,-0.827,0.0435,0
Fri Jul 21 2023,ARES230721C00105000,0,0,0,0.5,0,0.268,0.0836,0.0205,0,105.00,ARES230721P00105000,0,0,10.5,13.1,0,0.2918,-0.9425,0.0235,0
Fri Jul 21 2023,ARES230721C00110000,0,0,0,0.35,0,0.3231,0.0414,0.0105,0,110.00,ARES230721P00110000,0,0,14.7,18.6,0,0,-0.9884,0.012,0
Fri Jul 21 2023,ARES230721C00115000,0,0,0,0.35,0,0.3928,0.0227,0.0058,0,115.00,ARES230721P00115000,0,0,20.1,23.6,0,0.4691,-0.9999,0.0001,0
Fri Jul 21 2023,ARES230721C00120000,0.2,0,0,0.3,0,0.4452,0.0136,0.0034,2,120.00,ARES230721P00120000,0,0,25.5,28.3,0,0.5581,-1,0,0
