,dia,cot_commercial,cot_noncommercial,cot_dealer,cot_institutional,cot_leveragedfunds,cot_other
0,01/03/2022,-152.356,109.032,-455.368,731.685,-98.875,-220.766
1,01/10/2022,-133.856,77.406,-488.594,729.222,-57.767,-239.311
2,01/17/2022,-188.504,125.229,-549.195,723.521,-12.99,-224.611
3,01/24/2022,-289.134,226.847,-614.374,648.105,107.149,-203.167
4,01/31/2022,-196.541,158.752,-514.453,634.289,48.829,-206.454
5,02/07/2022,-200.467,177.587,-460.065,558.497,58.542,-179.854
6,02/14/2022,-205.622,195.123,-408.456,517.19,30.528,-149.761
7,02/21/2022,-239.541,236.443,-432.364,497.48,73.418,-141.632
8,02/28/2022,-154.853,161.019,-291.358,463.645,-23.846,-142.275
9,03/07/2022,-120.684,127.653,-292.229,417.928,15.942,-134.672
10,03/14/2022,-111.881,102.201,-257.495,441.548,-46.92,-146.813
11,03/21/2022,55.533,-54.168,-89.884,514.978,-270.293,-153.436
12,03/28/2022,58.322,-50.855,-89.558,559.971,-282.408,-180.538
13,04/04/2022,20.045,-31.659,-117.669,533.517,-248.763,-178.699
14,04/11/2022,-65.151,62.964,-193.708,477.979,-100.759,-185.699
15,04/18/2022,-65.946,68.429,-157.924,473.193,-116.483,-196.303
16,04/25/2022,-125.848,122.75,-183.661,359.922,-6.72,-172.639
17,05/02/2022,-58.797,52.207,-104.958,365.946,-83.501,-184.077
18,05/09/2022,-116.81,121.775,-125.661,277.173,-8.652,-137.895
19,05/16/2022,-52.662,66.646,-89.995,307.484,-97.523,-105.982
20,05/23/2022,-28.82,48.888,-82.52,290.816,-146.369,-41.859
21,05/30/2022,2.732,21.907,-86.154,354.619,-203.422,-40.404
22,06/06/2022,51.858,-17.024,-28.059,341.381,-231.338,-47.15
23,06/13/2022,-28.864,34.278,8.142,206.523,-175.912,-33.339
24,06/20/2022,144.197,-114.319,90.428,188.135,-204.836,-43.849
25,06/27/2022,168.405,-139.226,128.581,195.019,-265.565,-28.856
26,07/04/2022,221.625,-183.682,136.353,205.591,-317.976,13.975
27,07/11/2022,247.687,-215.528,171.366,223.16,-369.516,7.149
28,07/18/2022,266.346,-208.148,241.494,247.528,-425.568,-5.256
29,07/25/2022,290.09,-237.635,212.833,295.674,-454.343,-1.709
30,08/01/2022,293.137,-231.885,286.092,320.914,-505.957,-39.797
31,08/08/2022,312.241,-244.261,339.89,295.919,-503.6,-64.229
32,08/15/2022,354.217,-287.984,370.427,376.09,-598.669,-81.615
33,08/22/2022,328.415,-262.276,333.016,338.348,-513.698,-91.527
34,08/29/2022,311.815,-239.632,316.908,326.682,-490.807,-80.6
35,09/05/2022,301.282,-238.72,338.069,271.344,-452.569,-94.282
36,09/12/2022,370.284,-281.004,392.375,313.478,-525.354,-91.219
37,09/19/2022,313.698,-219.451,235.697,283.947,-346.646,-78.751
38,09/26/2022,232.967,-150.201,186.12,218.119,-286.836,-34.637
39,10/03/2022,247.141,-209.297,191.631,197.432,-340.474,-10.745
40,10/10/2022,195.229,-164.057,208.096,180.188,-346.985,-10.127
41,10/17/2022,258.615,-223.198,226.286,223.363,-413.282,-950.0
42,10/24/2022,247.652,-219.102,194.26,279.614,-445.837,513.0
43,10/31/2022,197.34,-175.063,55.727,320.832,-395.894,41.612
44,11/07/2022,198.237,-177.059,65.321,322.809,-392.104,25.152
45,11/14/2022,203.138,-202.645,32.149,425.048,-471.274,14.57
46,11/21/2022,195.187,-191.492,-17.892,454.673,-435.987,2.901
47,11/28/2022,201.684,-204.176,-61.985,481.928,-419.34,-3.095
48,12/05/2022,196.622,-203.719,-28.954,463.748,-431.367,-10.524
49,12/12/2022,212.726,-230.122,-9.472,488.157,-476.53,-19.551
50,12/19/2022,160.719,-159.752,-192.542,443.979,-218.488,-31.982
51,12/26/2022,178.986,-174.281,-155.754,446.279,-246.774,-39.046
52,01/03/2023,166.552,-167.301,-115.434,436.461,-276.214,-45.562
53,01/09/2023,202.933,-213.174,-114.11,463.091,-315.325,-43.897
54,01/16/2023,231.163,-226.818,-109.33,529.272,-386.243,-29.354
