,dia,cot_commercial,cot_noncommercial,cot_dealer,cot_institutional,cot_leveragedfunds,cot_other
0,12/05/2022,-5.021,13.517,29.238,20.324,-32.147,-8.919
1,12/12/2022,-12.779,19.198,29.124,19.644,-30.771,-11.578
2,12/19/2022,-1.285,4.516,10.824,11.004,-8.082,-10.515
3,12/26/2022,2.914,1.172,17.244,9.385,-15.305,-7.238
4,01/03/2023,4.177,1.362,8.321,5.745,-1.815,-6.712
5,01/09/2023,13.928,-8.151,11.092,17.457,-12.278,-10.494
6,01/16/2023,30.544,-20.633,21.592,28.152,-17.978,-21.855
7,01/23/2023,37.079,-25.261,24.382,36.085,-29.309,-19.34
8,01/30/2023,32.053,-15.858,24.406,38.031,-28.329,-17.913
9,02/06/2023,30.152,-14.919,19.92,48.899,-38.967,-14.619
10,02/13/2023,43.337,-22.824,35.913,45.978,-45.846,-15.532
11,02/20/2023,34.62,-14.069,35.786,33.475,-34.836,-13.874
12,02/27/2023,42.004,-23.829,39.837,24.183,-31.196,-14.649
13,03/06/2023,36.075,-12.425,38.199,24.251,-27.856,-10.944
14,03/13/2023,35.052,-6.472,30.679,20.055,-6.028,-16.126
15,03/20/2023,16.858,-5.12,24.975,24.341,-30.429,-7.149
16,03/27/2023,14.846,-7.348,28.525,24.32,-40.894,-4.453
17,04/03/2023,12.556,-18.385,13.94,32.673,-44.341,-8.101
18,04/10/2023,7.92,-2.13,3.067,40.255,-36.211,1.321
19,04/17/2023,6.417,2.673,3.89,38.613,-31.625,-1.788
20,04/24/2023,3.469,5.13,-1.485,41.15,-35.992,4.926
21,05/01/2023,-501.0,13.29,-4.932,42.971,-34.805,9.555
22,05/08/2023,-10.922,21.387,-10.058,44.308,-30.682,6.897
23,05/15/2023,-7.158,19.964,-10.327,50.828,-31.406,3.711
24,05/22/2023,-5.669,14.509,-12.007,58.582,-37.153,-582.0
25,05/29/2023,4.884,8.512,-15.856,64.444,-45.016,9.824
26,06/05/2023,2.471,8.848,-24.916,72.127,-43.066,7.174
27,06/13/2023,-1.252,15.68,-9.786,70.414,-44.042,-2.158
28,06/20/2023,-8.872,-239.331,-36.609,66.927,-17.387,-5.81
29,06/27/2023,-11.371,17.242,-31.401,64.759,-25.634,-1.853
30,07/03/2023,-3.883,5.458,-28.111,62.258,-33.505,933.0
31,07/11/2023,-8.013,10.948,-27.892,63.694,-36.835,3.968
32,07/18/2023,4.393,1.199,-37.675,71.046,-32.11,4.331
