Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Fri Oct 06 2023,CVNA231006C00037500,4.9,0.125,5,5.15,7,0.935,0.8239,0.0469,19,37.50,CVNA231006P00037500,0.58,-0.23,0.52,0.56,88,0.9365,-0.1757,0.047,116
Fri Oct 06 2023,CVNA231006C00038000,4.25,-0.1,4.55,4.8,8,0.912,0.7989,0.0515,79,38.00,CVNA231006P00038000,0.7,-0.235,0.61,0.66,637,0.9261,-0.2008,0.0516,709
Fri Oct 06 2023,CVNA231006C00038500,4.3,0.325,4.2,4.35,38,0.9264,0.7714,0.0561,33,38.50,CVNA231006P00038500,0.78,-0.285,0.71,0.78,52,0.9197,-0.2283,0.0561,55
Fri Oct 06 2023,CVNA231006C00039000,3.7,0.075,3.8,3.95,388,0.9033,0.7415,0.0605,231,39.00,CVNA231006P00039000,0.87,-0.365,0.84,0.9,1873,0.9079,-0.2583,0.0606,1945
Fri Oct 06 2023,CVNA231006C00039500,3.4,0.075,3.45,3.6,105,0.8992,0.7093,0.0646,72,39.50,CVNA231006P00039500,1.07,-0.345,0.98,1.05,34,0.9012,-0.2904,0.0647,91
Fri Oct 06 2023,CVNA231006C00040000,3.15,0.115,3.1,3.25,431,0.8867,0.6752,0.0683,2357,40.00,CVNA231006P00040000,1.17,-0.435,1.14,1.2,3543,0.8937,-0.3246,0.0684,3188
Fri Oct 06 2023,CVNA231006C00040500,2.8,0.06,2.81,3.05,208,0.8827,0.6393,0.0715,212,40.50,CVNA231006P00040500,1.38,-0.43,1.32,1.4,450,0.8895,-0.3605,0.0716,591
Fri Oct 06 2023,CVNA231006C00041000,2.49,-0.015,2.52,2.65,160,0.8881,0.6022,0.074,509,41.00,CVNA231006P00041000,1.57,-0.48,1.52,1.62,292,0.8882,-0.3977,0.0741,351
Fri Oct 06 2023,CVNA231006C00041500,2.39,0.135,2.26,2.35,260,0.8803,0.5643,0.0758,198,41.50,CVNA231006P00041500,1.86,-0.43,1.74,1.84,163,0.8827,-0.4357,0.0759,148
Fri Oct 06 2023,CVNA231006C00042000,2.07,0.06,2.01,2.11,523,0.8773,0.526,0.0767,666,42.00,CVNA231006P00042000,2.02,-0.555,1.99,2.09,4167,0.8712,-0.474,0.0768,701
Fri Oct 06 2023,CVNA231006C00042500,1.81,0.015,1.78,1.88,443,0.881,0.4879,0.0769,718,42.50,CVNA231006P00042500,2.43,-0.415,2.26,2.37,307,0.8815,-0.5122,0.077,164
Fri Oct 06 2023,CVNA231006C00043000,1.6,-0.005,1.6,1.67,920,0.8896,0.4504,0.0763,904,43.00,CVNA231006P00043000,2.63,-0.545,2.53,2.65,82,0.8837,-0.5498,0.0764,602
Fri Oct 06 2023,CVNA231006C00043500,1.3,-0.13,1.39,1.47,213,0.8837,0.414,0.0749,156,43.50,CVNA231006P00043500,3.03,-0.495,2.83,3,24,0.891,-0.5863,0.0751,57
Fri Oct 06 2023,CVNA231006C00044000,1.25,-0.02,1.23,1.33,373,0.8877,0.3789,0.073,777,44.00,CVNA231006P00044000,3.32,-0.555,3.15,3.3,195,0.8885,-0.6214,0.0731,300
Fri Oct 06 2023,CVNA231006C00044500,1.1,-0.03,1.07,1.15,124,0.8888,0.3456,0.0704,145,44.50,CVNA231006P00044500,3.64,-0.585,3.5,3.65,19,0.9037,-0.6548,0.0706,63
Fri Oct 06 2023,CVNA231006C00045000,0.98,-0.03,0.93,1.02,3765,0.8872,0.3142,0.0675,2748,45.00,CVNA231006P00045000,4,-0.6,3.85,4,159,0.9004,-0.6863,0.0677,228
Fri Oct 06 2023,CVNA231006C00045500,0.84,-0.05,0.83,0.9,125,0.9008,0.2849,0.0642,134,45.50,CVNA231006P00045500,5.08,0.105,4.25,4.45,85,0.9019,-0.7157,0.0644,92
Fri Oct 06 2023,CVNA231006C00046000,0.72,-0.07,0.73,0.8,2569,0.9058,0.2577,0.0607,3508,46.00,CVNA231006P00046000,4.83,-0.545,4.65,4.8,88,0.8962,-0.743,0.0609,188
Fri Oct 06 2023,CVNA231006C00046500,0.72,0.015,0.63,0.71,93,0.907,0.2327,0.0571,193,46.50,CVNA231006P00046500,5.2,-0.575,5.05,5.25,26,0.8968,-0.7681,0.0573,72
Fri Oct 06 2023,CVNA231006C00047000,0.59,-0.03,0.56,0.6,162,0.9135,0.2097,0.0534,302,47.00,CVNA231006P00047000,5.76,-0.465,5.45,5.7,54,0.9208,-0.7912,0.0536,135
Fri Oct 06 2023,CVNA231006C00047500,0.51,-0.035,0.48,0.54,39,0.9203,0.1888,0.0498,351,47.50,CVNA231006P00047500,6.25,-0.375,5.9,6.15,12,0.9086,-0.8122,0.05,47
Fri Oct 13 2023,CVNA231013C00037500,0,0,0,0,0,0,0,0,0,37.50,CVNA231013P00037500,0,0,0,0,0,0,0,0,0
Fri Oct 13 2023,CVNA231013C00038000,5.3,0.225,5.35,5.55,2,0.9579,0.7332,0.0409,5,38.00,CVNA231013P00038000,1.54,-0.1,1.37,1.49,44,0.9719,-0.2662,0.041,499
Fri Oct 13 2023,CVNA231013C00038500,0,0,0,0,0,0,0,0,0,38.50,CVNA231013P00038500,0,0,0,0,0,0,0,0,0
Fri Oct 13 2023,CVNA231013C00039000,4.7,0.25,4.7,4.85,7,0.956,0.6882,0.0446,212,39.00,CVNA231013P00039000,1.78,-0.215,1.67,1.76,44,0.9472,-0.3113,0.0446,236
Fri Oct 13 2023,CVNA231013C00039500,4.3,0,4.4,4.55,0,0.9486,0.6645,0.0462,44,39.50,CVNA231013P00039500,2.05,-0.145,1.87,1.94,5,0.9471,-0.335,0.0463,38
Fri Oct 13 2023,CVNA231013C00040000,4,0.125,4.1,4.3,52,0.9456,0.6401,0.0476,38,40.00,CVNA231013P00040000,2.15,-0.24,2.06,2.13,75,0.941,-0.3594,0.0477,527
Fri Oct 13 2023,CVNA231013C00040500,4.05,0.475,3.8,3.95,5,0.9385,0.6152,0.0488,24,40.50,CVNA231013P00040500,2.4,-0.24,2.26,2.34,7,0.9375,-0.3844,0.049,66
Fri Oct 13 2023,CVNA231013C00041000,3.65,0.3,3.5,3.65,473,0.9353,0.59,0.0499,291,41.00,CVNA231013P00041000,2.6,-0.285,2.48,2.64,95,0.9471,-0.4097,0.05,252
Fri Oct 13 2023,CVNA231013C00041500,3.23,0.155,3.25,3.4,7,0.9358,0.5645,0.0506,59,41.50,CVNA231013P00041500,2.95,-0.225,2.74,2.89,104,0.9446,-0.4352,0.0508,53
Fri Oct 13 2023,CVNA231013C00042000,3,0.14,3.05,3.15,190,0.9324,0.5389,0.0512,98,42.00,CVNA231013P00042000,3.05,-0.4,2.97,3.1,680,0.9322,-0.4609,0.0513,302
Fri Oct 13 2023,CVNA231013C00042500,2.85,0.19,2.8,2.94,35,0.9388,0.5133,0.0515,28,42.50,CVNA231013P00042500,3.05,-0.65,3.25,3.4,10,0.9372,-0.4865,0.0516,18
Fri Oct 13 2023,CVNA231013C00043000,2.41,-0.05,2.6,2.71,1143,0.9368,0.488,0.0516,1139,43.00,CVNA231013P00043000,3.75,-0.275,3.5,3.7,127,0.9415,-0.5119,0.0517,225
Fri Oct 13 2023,CVNA231013C00043500,2.6,0.325,2.38,2.51,5,0.9295,0.463,0.0514,2,43.50,CVNA231013P00043500,3.7,-0.625,3.8,3.95,5,0.9267,-0.537,0.0516,10
Fri Oct 13 2023,CVNA231013C00044000,2.19,0.1,2.16,2.36,1873,0.9291,0.4384,0.051,1899,44.00,CVNA231013P00044000,3.95,-0.725,4.1,4.25,12,0.9312,-0.5617,0.0512,276
Fri Oct 13 2023,CVNA231013C00044500,2.22,0.275,2.02,2.16,18,0.9329,0.4144,0.0504,29,44.50,CVNA231013P00044500,4.75,-0.275,4.45,4.6,8,0.932,-0.5857,0.0506,11
Fri Oct 13 2023,CVNA231013C00045000,1.83,0.045,1.85,1.96,71,0.9269,0.3911,0.0497,221,45.00,CVNA231013P00045000,4.5,-0.875,4.75,4.95,8,0.9373,-0.6092,0.0498,178
Fri Oct 13 2023,CVNA231013C00045500,1.71,0.055,1.7,1.81,43,0.9365,0.3685,0.0487,35,45.50,CVNA231013P00045500,5.4,-0.325,5.1,5.3,6,0.9311,-0.6318,0.0489,22
Fri Oct 13 2023,CVNA231013C00046000,1.58,0.05,1.56,1.66,268,0.9349,0.3467,0.0476,193,46.00,CVNA231013P00046000,6.3,0.225,5.45,5.7,20,0.946,-0.6537,0.0478,92
Fri Oct 13 2023,CVNA231013C00046500,1.5,0.095,1.43,1.54,16,0.9383,0.3258,0.0464,121,46.50,CVNA231013P00046500,6.48,0.03,5.85,6,9,0.9328,-0.6747,0.0466,14
Fri Oct 13 2023,CVNA231013C00047000,1.25,-0.035,1.33,1.41,39,0.9385,0.3058,0.0451,63,47.00,CVNA231013P00047000,6.55,-0.275,6.2,6.4,19,0.933,-0.6949,0.0453,101
Fri Oct 13 2023,CVNA231013C00047500,1.4,0.215,1.22,1.29,25,0.9409,0.2867,0.0436,25,47.50,CVNA231013P00047500,7.45,0,6.6,6.85,0,0.93,-0.7141,0.0439,4
