Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
SPLK,Splunk 144.43,24.84,+20.77%,25.731M,1.959M,24.339B,
MRTX,Mirati Therapeutics, 36.5,4.01,+12.34%,3.582M,1.193M,2.551B,
ADEVF,Adevinta ASA,8.6,0.6,+7.50%,15100,431,9.953B,
PBCRF,PT Bank Central Asia Tbk,0.5879,0.0311,+5.59%,725112,86134,73.115B,29.4
TLKMF,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,0.245,0.0118,+5.06%,800,18960,24.532B,24.5
RLLCF,Rolls-Royce Holdings plc,0.0066,0.0003,+4.76%,61630,1.606M,143.885B,0.37
FDX,FedEx Corporation,261.85,11.33,+4.52%,7.059M,1.916M,65.858B,16.92
BKEAY,The Bank of East Asia, Limited,1.2,0.0484,+4.20%,52442,1711,3.478B,5.22
GPS,The Gap, 10.23,0.41,+4.18%,9.431M,7.785M,3.784B,35.28
NPPXF,Nippon Telegraph and Telephone Corporation,1.233,0.047,+3.96%,55009,239463,105.126B,12.33
PAYO,Payoneer Global 6.08,0.23,+3.93%,4.39M,2.931M,2.184B,152
CIBEY,Commercial International Bank (Egypt) S.A.E,1.33,0.05,+3.91%,39129,51073,5.751B,6.05
EURN,Euronav NV,17.2,0.63,+3.80%,2.909M,1.05M,3.473B,5.89
CALM,Cal-Maine Foods, 48.63,1.75,+3.72%,641864,745155,2.382B,3.13
PCVX,Vaxcyte, 52.19,1.84,+3.65%,739172,556277,4.898B,
TBVPF,Thai Beverage Public Company Limited,0.4146,0.0146,+3.65%,43034,160188,10.879B,13.82
IMCR,Immunocore Holdings plc,51.3,1.8,+3.64%,391461,205798,2.511B,
BKRIY,Bank of Ireland Group plc,9.7,0.34,+3.63%,25758,35506,10.249B,7.19
VST,Vistra Corp.,33.45,1.11,+3.43%,4.735M,4.68M,12.295B,9.7
BBSEY,BB Seguridade Participa S.A.,6.84,0.21,+3.24%,258800,94428,13.646B,9.37
INSM,Insmed Incorporated,26.34,0.82,+3.21%,993630,1.3M,3.788B,
FOXA,Fox Corporation,32.14,0.99,+3.18%,5.345M,4.081M,15.137B,13.79
IMVT,Immunovant, 21.25,0.65,+3.16%,1.128M,1.11M,2.777B,
CNK,Cinemark Holdings, 17.77,0.54,+3.13%,4.73M,2.698M,2.161B,
UNCRY,UniCredit S.p.A.,12.56,0.38,+3.12%,159266,297292,44.831B,5.48
