Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Fri Oct 06 2023,GOOG231006C00123000,9.5,-0.95,7.05,9.25,52,0.3214,0.9465,0.0184,57,123.00,GOOG231006P00123000,0.14,0.005,0.12,0.16,357,0.3229,-0.0539,0.0185,268
Fri Oct 06 2023,GOOG231006C00124000,8.15,-1.35,6,9.55,4,0.3134,0.9302,0.0234,34,124.00,GOOG231006P00124000,0.21,0.035,0.17,0.2,359,0.315,-0.0703,0.0236,554
Fri Oct 06 2023,GOOG231006C00125000,7.65,-0.9,5,8.65,50,0.2997,0.9085,0.0297,606,125.00,GOOG231006P00125000,0.24,0.015,0.23,0.26,531,0.3047,-0.092,0.0298,1452
Fri Oct 06 2023,GOOG231006C00126000,6.2,-1.425,5.85,6.45,8,0.2957,0.8802,0.0372,141,126.00,GOOG231006P00126000,0.32,0.025,0.19,0.38,444,0.2958,-0.1204,0.0374,828
Fri Oct 06 2023,GOOG231006C00127000,5.55,-1.15,3.55,6.95,46,0.2839,0.8437,0.0459,146,127.00,GOOG231006P00127000,0.43,0.045,0.43,0.49,715,0.2875,-0.1571,0.0462,1189
Fri Oct 06 2023,GOOG231006C00128000,4.62,-1.23,4.55,5.4,110,0.2758,0.7978,0.0556,317,128.00,GOOG231006P00128000,0.6,0.085,0.57,0.62,728,0.2799,-0.2034,0.0559,1119
Fri Oct 06 2023,GOOG231006C00129000,3.85,-1.15,3.75,4.6,64,0.2684,0.7414,0.0655,277,129.00,GOOG231006P00129000,0.81,0.135,0.68,0.87,675,0.2737,-0.2602,0.066,1317
Fri Oct 06 2023,GOOG231006C00130000,3.15,-1.05,3,3.2,782,0.2675,0.6745,0.0748,938,130.00,GOOG231006P00130000,1.04,0.16,0.99,1.11,1273,0.2653,-0.3277,0.0756,1308
Fri Oct 06 2023,GOOG231006C00131000,2.38,-1.095,2.37,2.54,784,0.2582,0.5981,0.0825,1411,131.00,GOOG231006P00131000,1.46,0.32,1.21,1.47,841,0.2574,-0.4051,0.0835,1108
Fri Oct 06 2023,GOOG231006C00132000,1.86,-0.93,1.37,1.93,1599,0.2515,0.5139,0.0874,1198,132.00,GOOG231006P00132000,1.8,0.345,1,1.88,2316,0.2504,-0.4904,0.0887,3662
Fri Oct 06 2023,GOOG231006C00133000,1.37,-0.815,1.24,1.38,2325,0.2426,0.4248,0.0886,1943,133.00,GOOG231006P00133000,2.28,0.435,2.16,2.66,1283,0.2423,-0.5812,0.0902,918
Fri Oct 06 2023,GOOG231006C00134000,0.91,-0.74,0.85,0.98,4195,0.2357,0.3344,0.0851,1810,134.00,GOOG231006P00134000,2.88,0.565,2.13,3.05,992,0.2352,-0.6738,0.0872,635
Fri Oct 06 2023,GOOG231006C00135000,0.61,-0.585,0.53,0.65,2639,0.2296,0.2481,0.0765,2484,135.00,GOOG231006P00135000,3.75,0.88,3.45,4.15,428,0.2257,-0.7631,0.0793,1188
Fri Oct 06 2023,GOOG231006C00136000,0.36,-0.465,0.33,0.45,2322,0.2237,0.1738,0.0636,3331,136.00,GOOG231006P00136000,4.35,0.85,2.78,6.45,206,0.2239,-0.8411,0.067,719
