Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Fri Sep 22 2023,HYG230922C00069500,0,0,4.6,4.7,0,0,0.9966,0.0055,0,69.50,HYG230922P00069500,0,0,0,0.47,0,0.9436,-0.0033,0.0055,0
Fri Sep 22 2023,HYG230922C00070000,0,0,4.1,4.2,0,0,0.9953,0.008,0,70.00,HYG230922P00070000,0.01,0,0,0.46,0,0.8628,-0.0046,0.008,30091
Fri Sep 22 2023,HYG230922C00070500,0,0,3.6,3.7,0,0,0.9934,0.0119,0,70.50,HYG230922P00070500,0.09,0,0,0.47,0,0.7923,-0.0065,0.012,64
Fri Sep 22 2023,HYG230922C00071000,3.45,0,3.1,3.2,0,0,0.9903,0.0185,1,71.00,HYG230922P00071000,0.22,0,0,0.01,0,0.3237,-0.0096,0.0185,270
Fri Sep 22 2023,HYG230922C00071500,0,0,2.61,2.7,0,0,0.9852,0.0298,0,71.50,HYG230922P00071500,0.02,0,0,0.17,0,0.4683,-0.0147,0.0297,1026
Fri Sep 22 2023,HYG230922C00072000,0,0,2.11,2.22,0,0.225,0.9764,0.0499,0,72.00,HYG230922P00072000,0.06,0,0,0.07,0,0.3229,-0.0235,0.05,291
Fri Sep 22 2023,HYG230922C00072500,1.78,0,1.61,1.73,0,0.2013,0.96,0.089,0,72.50,HYG230922P00072500,0.02,0,0,0.33,0,0.4112,-0.0399,0.0893,2143
Fri Sep 22 2023,HYG230922C00073000,1.54,0,1.12,1.22,0,0.1488,0.9266,0.1716,125,73.00,HYG230922P00073000,0.02,0,0,0.03,0,0.1644,-0.0733,0.1719,5888
Fri Sep 22 2023,HYG230922C00073500,1.01,0,0.63,0.71,0,0.0939,0.851,0.3625,0,73.50,HYG230922P00073500,0.03,0,0.02,0.04,0,0.1262,-0.149,0.363,1637
Fri Sep 22 2023,HYG230922C00074000,0.2,-0.315,0.21,0.27,500,0.0838,0.6387,0.818,15208,74.00,HYG230922P00074000,0.15,0.11,0.08,0.11,47,0.094,-0.362,0.8208,37521
Fri Sep 22 2023,HYG230922C00074500,0.04,-0.12,0.01,0.05,884,0.0794,0.2322,0.665,8356,74.50,HYG230922P00074500,0.46,0.275,0.35,0.42,136,0.0926,-0.7705,0.6712,17914
Fri Sep 22 2023,HYG230922C00075000,0.03,0,0,0.11,0,0.1772,0.1249,0.2854,25526,75.00,HYG230922P00075000,0.87,0.31,0.81,0.9,5,0.1237,-0.8773,0.288,1423
Fri Sep 22 2023,HYG230922C00075500,0.03,0,0.01,0.13,0,0.2628,0.0877,0.1635,576,75.50,HYG230922P00075500,0.98,0,1.31,1.39,0,0.1631,-0.9141,0.1652,5
Fri Sep 22 2023,HYG230922C00076000,0.02,0,0,0.18,0,0.3529,0.0682,0.1084,89,76.00,HYG230922P00076000,1.39,0,1.81,1.9,0,0.2303,-0.9334,0.1094,1
Fri Sep 22 2023,HYG230922C00076500,0.01,0,0,0.05,0,0.3115,0.0558,0.0781,647,76.50,HYG230922P00076500,0,0,2.31,2.4,0,0.2799,-0.9456,0.0789,0
Fri Sep 22 2023,HYG230922C00077000,0.05,0,0,0.18,0,0.4804,0.047,0.0594,2,77.00,HYG230922P00077000,2.24,0,2.81,2.9,0,0.3279,-0.9542,0.0599,0
Fri Sep 22 2023,HYG230922C00077500,0.02,0,0,0.18,0,0.5406,0.0404,0.0467,13,77.50,HYG230922P00077500,0,0,3.3,3.4,0,0.3476,-0.9607,0.0472,0
Fri Sep 22 2023,HYG230922C00078000,0.02,0,0,0.18,0,0.5991,0.0352,0.0378,1,78.00,HYG230922P00078000,0,0,3.8,3.9,0,0.3907,-0.9659,0.0381,0
Fri Sep 22 2023,HYG230922C00078500,0,0,0,0.32,0,0.7567,0.0309,0.0311,0,78.50,HYG230922P00078500,0,0,4.3,4.4,0,0.433,-0.9701,0.0315,0
Fri Sep 22 2023,HYG230922C00079000,0,0,0,0.32,0,0.8173,0.0273,0.026,0,79.00,HYG230922P00079000,0,0,4.8,4.9,0,0.4744,-0.9736,0.0263,0
Fri Sep 29 2023,HYG230929C00069500,0,0,4.55,4.8,0,0,0.9688,0.0263,0,69.50,HYG230929P00069500,0.03,0,0,0.11,0,0.2606,-0.0305,0.0264,5005
Fri Sep 29 2023,HYG230929C00070000,0,0,4.15,4.3,0,0.2135,0.9642,0.0321,0,70.00,HYG230929P00070000,0.03,0,0,0.11,0,0.2373,-0.0351,0.0322,4553
Fri Sep 29 2023,HYG230929C00070500,0,0,3.6,3.8,0,0.191,0.9584,0.0399,0,70.50,HYG230929P00070500,0.03,0,0,0.12,0,0.2178,-0.041,0.04,1553
Fri Sep 29 2023,HYG230929C00071000,0,0,3.05,3.3,0,0,0.9507,0.0507,0,71.00,HYG230929P00071000,0.07,0,0,0.09,0,0.1817,-0.0489,0.0511,1916
Fri Sep 29 2023,HYG230929C00071500,0,0,2.54,2.82,0,0,0.9401,0.0664,0,71.50,HYG230929P00071500,0.06,0,0,0.07,0,0.1506,-0.0594,0.0666,640
Fri Sep 29 2023,HYG230929C00072000,0,0,2.11,2.36,0,0.1306,0.9248,0.0904,0,72.00,HYG230929P00072000,0.04,0,0.01,0.04,0,0.1191,-0.0748,0.0908,26807
Fri Sep 29 2023,HYG230929C00072500,0,0,1.67,1.95,0,0.1411,0.9006,0.1295,0,72.50,HYG230929P00072500,0.05,0.03,0.02,0.06,1,0.1073,-0.0991,0.1302,286
Fri Sep 29 2023,HYG230929C00073000,1.6,0,1.21,1.31,0,0.0933,0.8571,0.1979,125,73.00,HYG230929P00073000,0.04,0,0.05,0.09,0,0.0964,-0.143,0.1994,5579
Fri Sep 29 2023,HYG230929C00073500,1.22,0,0.79,0.86,0,0.0854,0.7685,0.3166,136,73.50,HYG230929P00073500,0.14,0.075,0.1,0.16,7503,0.086,-0.2326,0.32,1926
Fri Sep 29 2023,HYG230929C00074000,0.38,-0.28,0.42,0.47,1,0.0757,0.5959,0.4643,19822,74.00,HYG230929P00074000,0.31,0.17,0.22,0.29,12100,0.0772,-0.4081,0.4729,50774
