Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Fri Sep 22 2023,INTC230922C00033000,4.9,0,4.5,4.6,0,0,0.985,0.0167,501,33.00,INTC230922P00033000,0.01,0,0,0.01,0,0.572,-0.0152,0.0167,2929
Fri Sep 22 2023,INTC230922C00033500,4.49,0,4.05,4.1,0,0.5195,0.9803,0.0226,243,33.50,INTC230922P00033500,0.01,0.005,0.01,0.02,61,0.5956,-0.0199,0.0227,1608
Fri Sep 22 2023,INTC230922C00034000,3.9,0,3.55,3.65,10,0.596,0.9725,0.032,492,34.00,INTC230922P00034000,0.02,0.005,0.01,0.02,12,0.5292,-0.0278,0.0321,8805
Fri Sep 22 2023,INTC230922C00034500,3.3,-0.1,3.05,3.15,1,0.5225,0.9592,0.047,102,34.50,INTC230922P00034500,0.03,0.005,0.02,0.03,35,0.505,-0.0411,0.0471,741
Fri Sep 22 2023,INTC230922C00035000,2.53,-0.4,2.58,2.63,14,0.463,0.937,0.0701,4417,35.00,INTC230922P00035000,0.04,0.005,0.04,0.05,259,0.4889,-0.0633,0.0702,3944
Fri Sep 22 2023,INTC230922C00035500,2.05,-0.41,2.11,2.16,7,0.4485,0.9013,0.1035,443,35.50,INTC230922P00035500,0.07,0.015,0.07,0.08,153,0.4664,-0.0991,0.1038,626
Fri Sep 22 2023,INTC230922C00036000,1.58,-0.425,1.67,1.72,542,0.4447,0.8456,0.1478,4450,36.00,INTC230922P00036000,0.14,0.035,0.13,0.14,112,0.4572,-0.1548,0.1482,3084
Fri Sep 22 2023,INTC230922C00036500,1.29,-0.285,1.29,1.31,13,0.4472,0.762,0.1974,307,36.50,INTC230922P00036500,0.25,0.075,0.22,0.24,170,0.4477,-0.2387,0.198,2031
Fri Sep 22 2023,INTC230922C00037000,0.95,-0.25,0.95,0.96,180,0.4476,0.6498,0.2344,2873,37.00,INTC230922P00037000,0.39,0.085,0.38,0.39,1125,0.4479,-0.3513,0.2354,5154
Fri Sep 22 2023,INTC230922C00037500,0.67,-0.21,0.66,0.68,733,0.4482,0.5265,0.2486,1753,37.50,INTC230922P00037500,0.64,0.165,0.59,0.61,1796,0.4482,-0.4752,0.2498,4002
Fri Sep 22 2023,INTC230922C00038000,0.45,-0.165,0.44,0.45,2138,0.4471,0.4042,0.2411,6544,38.00,INTC230922P00038000,0.87,0.155,0.87,0.89,646,0.4504,-0.5981,0.2427,9014
