Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Fri Jul 07 2023,KO230707C00051000,9.6,0,9.5,9.7,0,1.1959,0.9987,0.0012,1,51.00,KO230707P00051000,0,0,0,0.12,0,1.7378,-0.0012,0.0012,0
Fri Jul 07 2023,KO230707C00052000,9,0,8.5,8.7,0,1.0677,0.997,0.0027,5,52.00,KO230707P00052000,0,0,0,0.12,0,1.5712,-0.003,0.0027,0
Fri Jul 07 2023,KO230707C00053000,8.9,0,7.5,7.65,0,0.9415,0.9949,0.0046,1,53.00,KO230707P00053000,0.11,0,0,0.06,0,1.2524,-0.005,0.0046,1
Fri Jul 07 2023,KO230707C00054000,7.96,0,6.5,6.65,0,0.8173,0.9925,0.0071,2,54.00,KO230707P00054000,0.32,0,0,0.02,0,0.942,-0.0074,0.0071,8
Fri Jul 07 2023,KO230707C00055000,5.43,0,5.5,5.65,0,0.6947,0.9896,0.0108,3,55.00,KO230707P00055000,0.01,0,0,0.02,0,0.8085,-0.0104,0.0108,69
Fri Jul 07 2023,KO230707C00056000,4.55,0,4.5,4.65,0,0.5735,0.9857,0.0165,1,56.00,KO230707P00056000,0.01,0,0,0.02,0,0.6752,-0.0143,0.0165,85
Fri Jul 07 2023,KO230707C00057000,4.15,0,3.5,3.85,0,0.4534,0.9803,0.0265,4,57.00,KO230707P00057000,0.03,0,0,0.01,0,0.4933,-0.0197,0.0265,572
Fri Jul 07 2023,KO230707C00058000,2.85,-0.2,2.49,2.67,5,0.3871,0.9718,0.0466,7,58.00,KO230707P00058000,0.01,0,0,0.01,0,0.3674,-0.0282,0.0466,525
Fri Jul 07 2023,KO230707C00059000,1.64,-0.415,1.52,1.69,2,0.3355,0.9554,0.0998,75,59.00,KO230707P00059000,0.01,-0.005,0,0.01,58,0.2386,-0.0446,0.0998,909
Fri Jul 07 2023,KO230707C00060000,0.63,-0.415,0.55,0.65,161,0.1653,0.815,0.4138,745,60.00,KO230707P00060000,0.04,0.015,0.03,0.04,1548,0.1623,-0.1852,0.4146,2089
Fri Jul 07 2023,KO230707C00061000,0.03,-0.22,0.03,0.04,2930,0.1321,0.2095,0.5508,2597,61.00,KO230707P00061000,0.45,0.24,0.42,0.51,421,0.1271,-0.794,0.5568,1784
Fri Jul 07 2023,KO230707C00062000,0.01,-0.005,0,0.01,134,0.2142,0.0056,0.0286,3374,62.00,KO230707P00062000,1.39,0.4,1.33,1.49,45,0,-1,0,304
Fri Jul 07 2023,KO230707C00062500,0.01,-0.005,0,0.01,2,0.2758,0.0026,0.0119,524,62.50,KO230707P00062500,1.85,0.36,1.84,2.01,2,0,-1,0,102
Fri Jul 07 2023,KO230707C00063000,0.01,0.005,0,0.01,38,0.3352,0.0014,0.0057,1674,63.00,KO230707P00063000,2.81,0,2.38,2.51,0,0,-1,0,0
Fri Jul 07 2023,KO230707C00064000,0.01,0,0,0.01,0,0.4489,0.0005,0.0016,1041,64.00,KO230707P00064000,3.55,0,3.3,3.5,0,0,-1,0,1
Fri Jul 07 2023,KO230707C00065000,0.01,0.005,0,0.01,1,0.5575,0.0002,0.0006,396,65.00,KO230707P00065000,3.65,0,4.3,4.5,0,0,-1,0,0
Fri Jul 07 2023,KO230707C00066000,0.02,0,0,0.03,0,0.7626,0.0001,0.0002,68,66.00,KO230707P00066000,4.75,0,5.35,5.5,0,0,-1,0,2
Fri Jul 07 2023,KO230707C00067000,0.01,0,0,0.03,0,0.8752,0,0.0001,53,67.00,KO230707P00067000,5.19,0,6.3,6.5,0,0,-1,0,0
Fri Jul 07 2023,KO230707C00068000,0,0,0,0.12,0,1.2215,0,0,0,68.00,KO230707P00068000,0,0,7.35,7.5,0,0,-1,0,0
Fri Jul 07 2023,KO230707C00069000,0,0,0,0.12,0,1.3451,0,0,0,69.00,KO230707P00069000,7.19,0,8.35,8.5,0,0,-1,0,0
Fri Jul 14 2023,KO230714C00051000,9.9,0,9.55,9.7,0,0.468,0.9943,0.0038,1,51.00,KO230714P00051000,0.03,0,0,0.02,0,0.4828,-0.0056,0.0038,2
Fri Jul 14 2023,KO230714C00052000,9.45,0,8.55,8.75,0,0.413,0.9932,0.0049,3,52.00,KO230714P00052000,0.03,0,0,0.02,0,0.4343,-0.0067,0.0049,31
Fri Jul 14 2023,KO230714C00053000,0,0,7.55,7.95,0,0.3589,0.9917,0.0065,0,53.00,KO230714P00053000,0.11,0,0,0.03,0,0.4068,-0.0082,0.0065,10
Fri Jul 14 2023,KO230714C00054000,0,0,6.55,6.7,0,0.3056,0.9895,0.009,0,54.00,KO230714P00054000,0.09,0,0,0.01,0,0.3115,-0.0104,0.009,23
Fri Jul 14 2023,KO230714C00055000,5.8,0,5.55,5.7,0,0.338,0.9864,0.0128,3,55.00,KO230714P00055000,0.03,0,0,0.01,0,0.267,-0.0135,0.0128,132
Fri Jul 14 2023,KO230714C00056000,0,0,4.55,4.7,0,0.2826,0.9814,0.0195,0,56.00,KO230714P00056000,0.02,0,0.01,0.03,14,0.2692,-0.0186,0.0195,120
Fri Jul 14 2023,KO230714C00057000,4.13,0,3.6,3.7,0,0.2273,0.9694,0.0342,3,57.00,KO230714P00057000,0.02,0,0.02,0.03,23,0.226,-0.0306,0.0343,180
Fri Jul 14 2023,KO230714C00058000,3.06,0,2.61,2.76,0,0.2144,0.9442,0.066,19,58.00,KO230714P00058000,0.04,0.015,0.03,0.04,12,0.1837,-0.056,0.0663,620
Fri Jul 14 2023,KO230714C00059000,1.7,-0.44,1.66,1.74,36,0.1655,0.8919,0.1382,74,59.00,KO230714P00059000,0.07,0.025,0.06,0.08,208,0.1494,-0.1086,0.1391,596
Fri Jul 14 2023,KO230714C00060000,0.85,-0.365,0.79,0.87,158,0.1322,0.708,0.2935,325,60.00,KO230714P00060000,0.21,0.1,0.2,0.22,313,0.126,-0.2949,0.2978,1091
Fri Jul 14 2023,KO230714C00061000,0.25,-0.2,0.25,0.26,1435,0.1168,0.3644,0.3614,3864,61.00,KO230714P00061000,0.62,0.275,0.62,0.65,224,0.1123,-0.6482,0.3761,530
Fri Jul 14 2023,KO230714C00062000,0.05,-0.04,0.05,0.06,242,0.1206,0.1007,0.1675,2387,62.00,KO230714P00062000,1.45,0.445,1.34,1.53,8,0.0961,-0.9311,0.1925,179
Fri Jul 14 2023,KO230714C00062500,0.03,-0.005,0.02,0.04,13,0.1311,0.0544,0.0966,316,62.50,KO230714P00062500,1.93,0.435,1.88,2.04,1,0,-0.9822,0.1194,2
Fri Jul 14 2023,KO230714C00063000,0.01,-0.01,0,0.03,2,0.1385,0.0395,0.0648,1609,63.00,KO230714P00063000,2.12,0.125,2.37,2.51,2,0,-0.9921,0.0656,2
Fri Jul 14 2023,KO230714C00064000,0.01,0.005,0,0.03,8,0.1844,0.0277,0.0374,1461,64.00,KO230714P00064000,3.92,0,3.35,3.5,0,0,-0.996,0.0265,4
Fri Jul 14 2023,KO230714C00065000,0.01,0,0,0.1,0,0.2801,0.0212,0.0246,1080,65.00,KO230714P00065000,3.95,0,4.35,4.5,0,0,-0.9978,0.012,3
