Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Fri Oct 06 2023,LCID231006C00001000,0,0,4.5,4.65,0,0,0.9975,0.0023,0,1.00,LCID231006P00001000,0,0,0,0.21,0,0,-0.0027,0.0021,0
Fri Oct 06 2023,LCID231006C00001500,0,0,4,4.2,0,5.2412,0.996,0.0043,0,1.50,LCID231006P00001500,0,0,0,0.21,0,7.0041,-0.0042,0.004,0
Fri Oct 06 2023,LCID231006C00002000,3.5,0,3.5,3.65,8,0,0.9938,0.0075,0,2.00,LCID231006P00002000,0,0,0,0.03,0,3.7388,-0.0064,0.0071,0
Fri Oct 06 2023,LCID231006C00002500,2.89,0,2.97,3.15,0,0,0.9905,0.0129,1,2.50,LCID231006P00002500,0,0,0,0.03,0,2.9838,-0.0096,0.0124,0
Fri Oct 06 2023,LCID231006C00003000,2.14,0,2.48,2.64,0,0,0.9855,0.0223,1,3.00,LCID231006P00003000,0,0,0,0.02,0,2.2172,-0.0146,0.0217,0
Fri Oct 06 2023,LCID231006C00003500,2.03,0.01,1.99,2.16,10,0,0.9772,0.0398,5,3.50,LCID231006P00003500,0.01,0,0,0.03,0,1.8425,-0.0229,0.0391,2
Fri Oct 06 2023,LCID231006C00004000,1.55,0.03,1.47,1.64,5,0,0.962,0.0755,23,4.00,LCID231006P00004000,0.03,0.015,0,0.02,15,1.2828,-0.0379,0.0747,389
Fri Oct 06 2023,LCID231006C00004500,1,-0.03,1.02,1.16,13,0,0.9304,0.1578,1347,4.50,LCID231006P00004500,0.02,0.005,0.01,0.02,514,0.9591,-0.0693,0.1568,889
Fri Oct 06 2023,LCID231006C00005000,0.61,0.045,0.6,0.64,108,0.7745,0.8488,0.3784,415,5.00,LCID231006P00005000,0.04,-0.015,0.03,0.04,1473,0.7084,-0.1507,0.3773,4530
Fri Oct 06 2023,LCID231006C00005500,0.22,0.005,0.22,0.25,4132,0.6391,0.58,0.8417,5993,5.50,LCID231006P00005500,0.14,-0.06,0.14,0.17,2451,0.6202,-0.4191,0.841,3036
Fri Oct 06 2023,LCID231006C00006000,0.06,-0.005,0.06,0.07,4047,0.6682,0.2421,0.5705,7025,6.00,LCID231006P00006000,0.49,-0.06,0.47,0.53,415,0.7093,-0.7569,0.5707,1363
Fri Oct 06 2023,LCID231006C00006500,0.04,0.015,0.03,0.04,1019,0.8712,0.1218,0.2898,5563,6.50,LCID231006P00006500,0.99,-0.02,0.89,0.98,27,0.6551,-0.8774,0.2905,206
Fri Oct 06 2023,LCID231006C00007000,0.02,0.005,0.01,0.02,257,0.9642,0.0734,0.167,3171,7.00,LCID231006P00007000,1.46,-0.035,1.37,1.52,1,1.0263,-0.926,0.1679,98
Fri Oct 06 2023,LCID231006C00007500,0.01,0,0,0.01,29,0.9976,0.0491,0.1066,1564,7.50,LCID231006P00007500,1.84,0,1.85,2.02,0,1.1212,-0.9505,0.1076,46
Fri Oct 06 2023,LCID231006C00008000,0.01,0,0,0.02,1,1.3015,0.0352,0.073,948,8.00,LCID231006P00008000,2.5,0.02,2.36,2.51,1,1.3205,-0.9647,0.0741,77
Fri Oct 06 2023,LCID231006C00008500,0.02,0,0,0.02,0,1.4776,0.0263,0.0527,96,8.50,LCID231006P00008500,3.1,0,2.85,3.05,0,1.7378,-0.9737,0.0538,1
Fri Oct 06 2023,LCID231006C00009000,0.01,0,0,0.03,0,1.744,0.0204,0.0395,77,9.00,LCID231006P00009000,3.94,0,3.35,3.5,0,1.1535,-0.9798,0.0407,9
Fri Oct 06 2023,LCID231006C00009500,0.02,0.01,0,0.02,16,1.7907,0.0162,0.0306,98,9.50,LCID231006P00009500,0,0,3.85,4,0,1.2882,-0.9842,0.0317,0
Fri Oct 06 2023,LCID231006C00010000,0.02,0,0,0.03,0,2.0475,0.0132,0.0242,51,10.00,LCID231006P00010000,0,0,4.35,4.5,0,1.416,-0.9874,0.0254,0
Fri Oct 06 2023,LCID231006C00010500,0,0,0,0.03,0,2.1847,0.0109,0.0196,0,10.50,LCID231006P00010500,0,0,4.85,5,0,1.5376,-0.9898,0.0208,0
Fri Oct 13 2023,LCID231013C00001000,0,0,4.5,4.65,0,0,1,0,0,1.00,LCID231013P00001000,0,0,0,0.21,0,6.4747,-0.0009,0.0009,0
Fri Oct 13 2023,LCID231013C00001500,0,0,4,4.15,0,0,0.9997,0.0014,0,1.50,LCID231013P00001500,0,0,0,0.21,0,4.9569,-0.0018,0.0021,0
