Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
OCDDY,Ocado Group plc,16.1,-4.36,-21.31%,21747,33765,6.661B,
OCDGF,Ocado Group plc,8.34,-1.81,-17.84%,22609,3269,6.897B,
KNDGF,Kindred Group plc,9.65,-1.5,-13.45%,21350,3342,2.075B,10.6
EVO,Evotec SE,10.21,-1.29,-11.22%,123466,28314,3.623B,
CURLF,Curaleaf Holdings, 4.05,-0.49,-10.79%,1.35M,625671,2.932B,
SLG,SL Green Realty Corp.,37.44,-4.03,-9.72%,4.25M,2.266M,2.422B,
WOLF,Wolfspeed, 35.93,-3.61,-9.13%,5.968M,2.886M,4.501B,
VNO,Vornado Realty Trust,22.94,-2.26,-8.97%,7.749M,3.294M,4.762B,
BBDO,Banco Bradesco S.A.,2.44,-0.23,-8.61%,51006,22968,27.779B,8.71
IONQ,IonQ, 13.53,-1.27,-8.58%,15.119M,13.261M,2.741B,
VFS,VinFast Auto Ltd.,15.75,-1.44,-8.38%,3.254M,6.651M,36.456B,
ARE,Alexandria Real Estate Equities, 102.93,-9.31,-8.29%,2.508M,945073,17.81B,30.36
MPW,Medical Properties Trust, 5.31,-0.48,-8.29%,25.52M,11.928M,3.178B,48.27
AFRM,Affirm Holdings, 21.25,-1.85,-8.01%,20.365M,14.908M,6.36B,
WPC,W. P. Carey 58.84,-5.11,-7.99%,4.735M,1.119M,12.587B,16.48
TXG,10x Genomics, 41.91,-3.53,-7.77%,1.207M,944334,4.921B,
KRC,Kilroy Realty Corporation,32.72,-2.75,-7.75%,1.386M,1.093M,3.872B,15.81
BHF,Brighthouse Financial, 47.42,-3.85,-7.51%,984234,412500,3.106B,
MLTX,MoonLake Immunotherapeutics,53.18,-4.26,-7.42%,462087,771082,2.844B,
AAON,AAON, 56.68,-4.54,-7.42%,542523,439550,4.626B,31.31
OROCF,Allkem Limited,7.2,-0.57,-7.36%,35971,17123,4.669B,10.59
VSAT,Viasat, 20.99,-1.64,-7.25%,1.969M,1.316M,2.604B,
EDR,Endeavor Group Holdings, 20.75,-1.62,-7.24%,12.776M,2.611M,6.303B,37.05
ARGGY,Aston Martin Lagonda Global Holdings plc,3.4804,-0.2696,-7.19%,67409,38126,3.002B,5.12
BXP,Boston Properties,60.88,-4.68,-7.14%,2.001M,1.581M,9.55B,14.39
