Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Fri Oct 06 2023,META231006C00280000,21.5,-3.25,20.65,21.75,408,0.4076,0.9139,0.0099,586,280.00,META231006P00280000,0.63,-0.025,0.61,0.7,3470,0.3801,-0.0865,0.0099,4852
Fri Oct 06 2023,META231006C00282500,19.75,-2.675,18.5,19.35,11,0.3881,0.8897,0.0121,42,282.50,META231006P00282500,0.83,-0.01,0.81,0.91,3919,0.3703,-0.1108,0.0122,3314
Fri Oct 06 2023,META231006C00285000,16.77,-3.43,16.2,17.1,77,0.3805,0.8591,0.0147,686,285.00,META231006P00285000,1.13,0.045,1.1,1.2,3987,0.3646,-0.1416,0.0148,3030
Fri Oct 06 2023,META231006C00287500,15.35,-2.65,13,14.95,28,0.3659,0.821,0.0175,270,287.50,META231006P00287500,1.49,0.085,1.4,1.52,3357,0.3563,-0.1797,0.0176,2223
Fri Oct 06 2023,META231006C00290000,12.5,-3.375,10.75,12.95,176,0.3593,0.7752,0.0204,877,290.00,META231006P00290000,1.93,0.12,1.9,1.97,7232,0.3506,-0.2258,0.0205,7521
Fri Oct 06 2023,META231006C00292500,10.57,-3.355,10.2,11,69,0.3535,0.7216,0.0232,508,292.50,META231006P00292500,2.52,0.225,2.45,2.59,1639,0.3454,-0.2797,0.0233,1209
Fri Oct 06 2023,META231006C00295000,8.79,-3.235,8.7,9,1005,0.3486,0.6612,0.0255,1436,295.00,META231006P00295000,3.23,0.33,3.25,3.45,5249,0.3395,-0.3405,0.0257,3027
Fri Oct 06 2023,META231006C00297500,7.2,-3.05,7.15,7.4,359,0.3405,0.5954,0.0273,777,297.50,META231006P00297500,4.17,0.52,4.05,4.25,2808,0.3349,-0.4068,0.0275,1332
Fri Oct 06 2023,META231006C00300000,5.85,-2.75,5.7,5.95,4820,0.3347,0.5259,0.0284,3541,300.00,META231006P00300000,5.2,0.7,5.25,5.35,13352,0.3275,-0.4769,0.0287,4721
Fri Oct 06 2023,META231006C00302500,4.6,-2.55,4.45,4.65,5027,0.3288,0.4544,0.0287,1768,302.50,META231006P00302500,6.6,1.1,6.35,6.6,3754,0.3228,-0.5492,0.029,1837
Fri Oct 06 2023,META231006C00305000,3.43,-2.32,3.4,3.6,9656,0.3257,0.3828,0.028,3359,305.00,META231006P00305000,7.95,1.3,7.75,8.05,5736,0.3173,-0.6217,0.0284,1828
Fri Oct 06 2023,META231006C00307500,2.6,-2,2.53,2.68,5793,0.3208,0.3136,0.0264,2030,307.50,META231006P00307500,9.51,1.56,9.1,9.65,3365,0.3128,-0.6921,0.0269,1292
Fri Oct 06 2023,META231006C00310000,1.94,-1.61,1.85,1.96,13363,0.3182,0.2494,0.024,5797,310.00,META231006P00310000,11.4,1.95,10.95,12.5,3187,0.3062,-0.7576,0.0245,946
Fri Oct 06 2023,META231006C00312500,1.38,-1.33,1.33,1.41,2972,0.3153,0.1928,0.0209,2319,312.50,META231006P00312500,13.43,2.305,12.8,13.8,1243,0.2998,-0.8158,0.0215,322
Fri Oct 06 2023,META231006C00315000,0.93,-1.09,0.92,0.99,6396,0.3128,0.1453,0.0175,4862,315.00,META231006P00315000,15.4,2.475,14.2,16.6,1250,0.2962,-0.865,0.0182,540
Fri Oct 06 2023,META231006C00317500,0.63,-0.845,0.64,0.7,3054,0.3124,0.1075,0.0142,1813,317.50,META231006P00317500,17.36,2.435,15.95,19.35,303,0.2936,-0.9045,0.015,170
Fri Oct 06 2023,META231006C00320000,0.46,-0.605,0.45,0.48,7509,0.3152,0.0787,0.0112,6289,320.00,META231006P00320000,19.83,2.83,18.25,21.65,111,0.2791,-0.935,0.012,337
Fri Oct 06 2023,META231006C00322500,0.31,-0.45,0.26,0.35,3917,0.317,0.0575,0.0087,1985,322.50,META231006P00322500,20.45,1.2,20.65,24,23,0,-0.9578,0.0095,55
Fri Oct 06 2023,META231006C00325000,0.23,-0.31,0.2,0.23,3246,0.3196,0.0422,0.0067,2764,325.00,META231006P00325000,24.76,3.21,23.2,26.5,6,0.421,-0.9744,0.0075,454
Fri Oct 06 2023,META231006C00327500,0.16,-0.23,0.13,0.17,884,0.3257,0.0314,0.0052,1062,327.50,META231006P00327500,26.65,2.75,25.55,28.95,8,0,-0.9864,0.006,646
Fri Oct 13 2023,META231013C00280000,22.91,-3.115,21.05,24.35,23,0.3744,0.8447,0.0108,116,280.00,META231013P00280000,1.83,0.18,1.78,1.93,920,0.3735,-0.1561,0.0109,1592
Fri Oct 13 2023,META231013C00282500,21.9,-1.925,18.95,22.15,7,0.3743,0.8171,0.0122,22,282.50,META231013P00282500,2.21,0.22,2.17,2.32,596,0.368,-0.1838,0.0122,674
Fri Oct 13 2023,META231013C00285000,19.45,-2.325,18.1,20.95,14,0.3693,0.7858,0.0136,128,285.00,META231013P00285000,2.67,0.28,2.6,2.8,602,0.3631,-0.2153,0.0136,1462
Fri Oct 13 2023,META231013C00287500,17.7,-2.05,16.2,17,5,0.3641,0.7508,0.0149,17,287.50,META231013P00287500,3.2,0.335,3.15,3.35,444,0.3583,-0.2506,0.015,565
Fri Oct 13 2023,META231013C00290000,14.3,-3.475,14.35,15.15,79,0.3596,0.7123,0.0162,579,290.00,META231013P00290000,4,0.6,3.8,4,1561,0.3543,-0.2894,0.0163,1253
Fri Oct 13 2023,META231013C00292500,13.58,-2.37,12.6,13.35,87,0.3553,0.6705,0.0174,136,292.50,META231013P00292500,4.4,0.35,4.55,4.75,148,0.3503,-0.3316,0.0175,839
Fri Oct 13 2023,META231013C00295000,12.5,-1.675,11.15,11.55,153,0.3497,0.6261,0.0184,580,295.00,META231013P00295000,5.55,0.75,5.4,5.65,506,0.3472,-0.3765,0.0185,862
Fri Oct 13 2023,META231013C00297500,9.6,-2.925,9.65,10,359,0.347,0.5794,0.0191,288,297.50,META231013P00297500,6.35,0.75,6.3,6.65,267,0.3423,-0.4237,0.0193,425
Fri Oct 13 2023,META231013C00300000,8.5,-2.45,8.25,8.6,2468,0.3434,0.531,0.0196,2881,300.00,META231013P00300000,7.52,0.97,7.4,7.75,1873,0.3387,-0.4727,0.0199,1327
Fri Oct 13 2023,META231013C00302500,7.2,-2.3,6.95,7.3,752,0.339,0.4816,0.0199,646,302.50,META231013P00302500,8.85,1.25,8.6,9,540,0.3341,-0.5228,0.0202,446
