Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Fri Oct 06 2023,MSFT231006C00295000,21.75,2.375,20.75,22.45,2,0.2973,0.9539,0.0074,34,295.00,MSFT231006P00295000,0.24,-0.285,0.21,0.24,1646,0.2964,-0.0464,0.0074,1951
Fri Oct 06 2023,MSFT231006C00297500,19.45,2.4,18.3,20.05,9,0.2875,0.9385,0.0097,43,297.50,MSFT231006P00297500,0.32,-0.38,0.29,0.35,1069,0.2844,-0.0619,0.0097,923
Fri Oct 06 2023,MSFT231006C00300000,16.7,1.9,15.95,17.65,160,0.2756,0.9173,0.0127,534,300.00,MSFT231006P00300000,0.45,-0.5,0.41,0.51,2179,0.2735,-0.0831,0.0127,4475
Fri Oct 06 2023,MSFT231006C00302500,14.6,1.975,13.7,15.35,20,0.2641,0.8884,0.0165,96,302.50,MSFT231006P00302500,0.6,-0.68,0.58,0.76,542,0.2633,-0.1122,0.0166,644
Fri Oct 06 2023,MSFT231006C00305000,12.3,1.725,11.45,13.1,106,0.2535,0.849,0.0211,518,305.00,MSFT231006P00305000,0.85,-0.875,0.82,1,1378,0.2544,-0.1519,0.0213,3172
Fri Oct 06 2023,MSFT231006C00307500,10.03,1.355,9.3,10.95,108,0.2454,0.7959,0.0265,275,307.50,MSFT231006P00307500,1.19,-1.115,1.16,1.36,1103,0.2458,-0.2053,0.0267,1121
Fri Oct 06 2023,MSFT231006C00310000,8.02,1.095,7.25,8.95,462,0.2382,0.7271,0.0319,919,310.00,MSFT231006P00310000,1.79,-1.26,1.69,1.88,4027,0.2385,-0.2748,0.0322,3663
Fri Oct 06 2023,MSFT231006C00312500,6.2,0.85,6,7.15,1074,0.2324,0.6436,0.0365,1209,312.50,MSFT231006P00312500,2.5,-1.5,2.32,2.52,2265,0.231,-0.3592,0.0369,2834
Fri Oct 06 2023,MSFT231006C00315000,4.7,0.675,4.45,4.8,2992,0.2257,0.5493,0.0396,2453,315.00,MSFT231006P00315000,3.3,-1.85,3.3,4,5713,0.2261,-0.4546,0.0401,4297
Fri Oct 06 2023,MSFT231006C00317500,3.2,0.29,3.15,3.45,6722,0.2209,0.4488,0.0405,3034,317.50,MSFT231006P00317500,4.4,-2.15,4.45,4.9,4172,0.2193,-0.5568,0.0412,2702
Fri Oct 06 2023,MSFT231006C00320000,2.24,0.215,2.11,2.29,11630,0.2153,0.3474,0.0388,4693,320.00,MSFT231006P00320000,6.1,-2.1,5.75,6.15,2385,0.2145,-0.6606,0.0398,2188
Fri Oct 06 2023,MSFT231006C00322500,1.42,0.055,1.34,1.44,3782,0.2108,0.2525,0.0344,3598,322.50,MSFT231006P00322500,7.5,-2.575,7.4,8.4,1144,0.209,-0.7587,0.0356,1591
Fri Oct 06 2023,MSFT231006C00325000,0.85,-0.05,0.75,0.91,9028,0.2083,0.1726,0.0279,5304,325.00,MSFT231006P00325000,9.55,-2.6,8.7,10.4,472,0.2087,-0.8424,0.0294,1534
Fri Oct 06 2023,MSFT231006C00327500,0.52,-0.065,0.46,0.55,3081,0.2077,0.1127,0.021,2095,327.50,MSFT231006P00327500,11.8,-2.575,11.4,12.5,270,0.2085,-0.9063,0.0227,814
