Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Mon Oct 02 2023,NDXP231002C14630000,195.83,0,136.7,151.1,0,0.1532,0.6689,0.0018,1,14630.00,NDXP231002P14630000,41.6,-35.8,30.9,33.6,28,0.149,-0.3308,0.0018,17
Mon Oct 02 2023,NDXP231002C14640000,146.72,-3.93,129.5,144.6,4,0.1519,0.6506,0.0019,4,14640.00,NDXP231002P14640000,44.57,-36.53,33.4,36.2,20,0.1492,-0.3491,0.0019,13
Mon Oct 02 2023,NDXP231002C14650000,131.18,-12.67,122.5,137.3,24,0.1514,0.632,0.0019,13,14650.00,NDXP231002P14650000,48.92,-35.58,36.1,39,114,0.1484,-0.3677,0.0019,79
Mon Oct 02 2023,NDXP231002C14660000,116.29,-22.01,115.7,130.2,3,0.1514,0.6129,0.0019,3,14660.00,NDXP231002P14660000,49.99,-39.01,39,42,12,0.1478,-0.3868,0.0019,7
Mon Oct 02 2023,NDXP231002C14670000,102.13,-29.92,109.1,123.2,4,0.1507,0.5936,0.002,4,14670.00,NDXP231002P14670000,59.83,-32.42,40.6,48.6,26,0.1468,-0.4061,0.002,16
Mon Oct 02 2023,NDXP231002C14675000,99.01,-29.99,105.8,119.8,5,0.1502,0.5838,0.002,6,14675.00,NDXP231002P14675000,48.19,-46.16,42.2,50.2,30,0.1466,-0.4158,0.002,39
Mon Oct 02 2023,NDXP231002C14680000,103.71,-21.39,102.6,116.4,6,0.1495,0.574,0.002,5,14680.00,NDXP231002P14680000,60.79,-36.56,43.9,52.3,8,0.1464,-0.4257,0.002,4
Mon Oct 02 2023,NDXP231002C14690000,90.16,-30.19,96.3,109.8,3,0.1493,0.5542,0.002,3,14690.00,NDXP231002P14690000,64.2,-36.45,47.3,55.8,8,0.1456,-0.4454,0.002,4
Mon Oct 02 2023,NDXP231002C14700000,89.55,-25.05,90,103.2,26,0.1489,0.5343,0.002,31,14700.00,NDXP231002P14700000,63.75,-41.45,51,59.2,34,0.1454,-0.4654,0.002,29
Mon Oct 02 2023,NDXP231002C14710000,84,-25.3,84.4,97.2,2,0.1476,0.5142,0.002,16,14710.00,NDXP231002P14710000,61.76,-47.89,54.8,63.2,39,0.1444,-0.4856,0.002,22
Mon Oct 02 2023,NDXP231002C14720000,85.63,-18.47,78.7,91.2,19,0.1472,0.4939,0.002,16,14720.00,NDXP231002P14720000,81.4,-33.6,58.1,65,22,0.1442,-0.5058,0.002,16
Mon Oct 02 2023,NDXP231002C14725000,82,-19.4,75.9,88.2,5,0.1471,0.4837,0.002,5,14725.00,NDXP231002P14725000,79.62,-37.13,60.1,71.6,25,0.1439,-0.516,0.002,18
Mon Oct 02 2023,NDXP231002C14730000,64.45,-34.35,73.2,85.3,9,0.1468,0.4735,0.002,9,14730.00,NDXP231002P14730000,86.4,-32.85,62.2,69.3,18,0.1434,-0.5262,0.002,15
Mon Oct 02 2023,NDXP231002C14740000,67.18,-26.62,67.9,79.7,6,0.1465,0.4531,0.002,6,14740.00,NDXP231002P14740000,86.6,-38,66.6,78.4,13,0.1433,-0.5466,0.002,13
Mon Oct 02 2023,NDXP231002C14750000,62.41,-26.54,62.8,74.3,33,0.1458,0.4326,0.002,17,14750.00,NDXP231002P14750000,76.73,-53.22,71.2,78.6,38,0.1434,-0.5671,0.002,31
Mon Oct 02 2023,NDXP231002C14760000,57.94,-26.51,59,67.5,9,0.1447,0.412,0.002,13,14760.00,NDXP231002P14760000,103,-32,76,83.7,29,0.1415,-0.5877,0.002,27
Mon Oct 02 2023,NDXP231002C14770000,59.68,-20.07,54.2,62.7,13,0.1441,0.3915,0.002,12,14770.00,NDXP231002P14770000,104.01,-36.14,81,88.9,1,0.1412,-0.6082,0.002,1
Mon Oct 02 2023,NDXP231002C14775000,48.47,-29.03,51.9,60.3,6,0.1435,0.3813,0.002,5,14775.00,NDXP231002P14775000,100,-45.4,83.6,97.6,15,0.14,-0.6184,0.002,16
Mon Oct 02 2023,NDXP231002C14780000,46.5,-28.9,49.6,57.9,19,0.1432,0.371,0.002,16,14780.00,NDXP231002P14780000,88.17,-59.13,86.3,100.4,5,0.1397,-0.6286,0.002,1
Mon Oct 02 2023,NDXP231002C14790000,50.08,-21.12,45.2,53.6,8,0.1433,0.3507,0.002,5,14790.00,NDXP231002P14790000,219.55,0,91.7,106.3,0,0.1397,-0.649,0.002,4
Tue Oct 03 2023,NDXP231003C14630000,99.9,0,163.5,177,0,0.1807,0.6243,0.0014,2,14630.00,NDXP231003P14630000,164.65,0,55.9,65.4,0,0.1786,-0.3753,0.0014,5
Tue Oct 03 2023,NDXP231003C14640000,126.8,0,156.7,170,0,0.1798,0.6106,0.0014,1,14640.00,NDXP231003P14640000,69.9,-31.65,59.3,67.6,6,0.1785,-0.3891,0.0014,2
Tue Oct 03 2023,NDXP231003C14650000,0,0,150,163.1,0,0.1788,0.5966,0.0014,0,14650.00,NDXP231003P14650000,0,0,65.4,68.6,0,0.1776,-0.403,0.0014,0
Tue Oct 03 2023,NDXP231003C14660000,135,0,143.5,156.4,0,0.1795,0.5825,0.0014,2,14660.00,NDXP231003P14660000,76.7,-32,65.8,74.2,12,0.1756,-0.4171,0.0014,10
Tue Oct 03 2023,NDXP231003C14670000,0,0,141.9,146.8,0,0.1768,0.5682,0.0014,0,14670.00,NDXP231003P14670000,47.8,-65.25,72.2,79.1,1,0.1764,-0.4314,0.0014,4
Tue Oct 03 2023,NDXP231003C14675000,110.3,0,138.7,144.1,0,0.1785,0.561,0.0015,2,14675.00,NDXP231003P14675000,52.7,-62,73.9,77.2,2,0.1748,-0.4386,0.0015,4
Tue Oct 03 2023,NDXP231003C14680000,120,-24.45,135.6,140.8,3,0.1785,0.5538,0.0015,8,14680.00,NDXP231003P14680000,71,-46.25,75.8,79,1,0.1753,-0.4459,0.0015,2
Tue Oct 03 2023,NDXP231003C14690000,112.77,-26.68,125,134.6,1,0.1764,0.5392,0.0015,1,14690.00,NDXP231003P14690000,290.64,0,79.5,86.9,0,0.1748,-0.4605,0.0015,1
Tue Oct 03 2023,NDXP231003C14700000,222.75,88.75,123.8,130.9,4,0.1772,0.5245,0.0015,4,14700.00,NDXP231003P14700000,84.67,-40.93,83.5,86.7,10,0.173,-0.4752,0.0015,13
Tue Oct 03 2023,NDXP231003C14710000,103.8,0,118,122.2,0,0.1759,0.5097,0.0015,1,14710.00,NDXP231003P14710000,96.05,-33.75,87.5,90.8,5,0.1723,-0.49,0.0015,7
