Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Fri Oct 06 2023,NVDA231006C00417500,21.4,2.725,20.2,21.2,256,0.3639,0.8051,0.0125,713,417.50,NVDA231006P00417500,2.4,-2.35,2.29,2.53,2239,0.3621,-0.1958,0.0125,1222
Fri Oct 06 2023,NVDA231006C00420000,18.5,1.575,18.3,19.15,1841,0.3618,0.7726,0.0137,2051,420.00,NVDA231006P00420000,2.92,-2.58,2.81,3,9695,0.3593,-0.2284,0.0138,8133
Fri Oct 06 2023,NVDA231006C00422500,16.75,1.5,16.35,17.3,428,0.3591,0.737,0.015,930,422.50,NVDA231006P00422500,3.47,-2.88,3.35,3.65,2910,0.3576,-0.2643,0.015,1952
Fri Oct 06 2023,NVDA231006C00425000,14.8,1.15,14.5,15,2934,0.3568,0.6983,0.0161,4391,425.00,NVDA231006P00425000,4.13,-3.12,4.05,4.35,6097,0.3554,-0.3031,0.0162,3955
Fri Oct 06 2023,NVDA231006C00427500,13.15,0.975,12.95,13.5,560,0.3545,0.657,0.0171,1519,427.50,NVDA231006P00427500,5.05,-3.2,4.85,5.05,2332,0.352,-0.3447,0.0172,1164
Fri Oct 06 2023,NVDA231006C00430000,11.51,0.735,11.25,12.05,5620,0.353,0.6135,0.0179,3959,430.00,NVDA231006P00430000,5.92,-3.43,5.85,6,13671,0.3495,-0.3886,0.018,5707
Fri Oct 06 2023,NVDA231006C00432500,10,0.5,9.9,10.2,2534,0.3511,0.5682,0.0185,1473,432.50,NVDA231006P00432500,6.9,-3.675,6.75,7,4676,0.3476,-0.4342,0.0186,1599
Fri Oct 06 2023,NVDA231006C00435000,8.55,0.25,8.55,8.8,10873,0.3474,0.5216,0.0188,6754,435.00,NVDA231006P00435000,8.01,-3.865,7.9,8.2,14717,0.3448,-0.4812,0.019,3827
Fri Oct 06 2023,NVDA231006C00437500,7.45,0.25,7.35,7.55,7062,0.3441,0.4744,0.019,2559,437.50,NVDA231006P00437500,9.3,-3.975,9.1,9.5,7205,0.3423,-0.529,0.0192,1402
Fri Oct 06 2023,NVDA231006C00440000,6.33,0.13,6.2,6.4,20538,0.342,0.4271,0.0188,7224,440.00,NVDA231006P00440000,10.65,-4.15,10.5,10.9,11965,0.34,-0.5768,0.019,5204
Fri Oct 06 2023,NVDA231006C00442500,5.35,0.05,5.15,5.4,3707,0.3403,0.3804,0.0184,1824,442.50,NVDA231006P00442500,12.15,-4.25,11.95,12.35,1770,0.3379,-0.6241,0.0187,674
Fri Oct 06 2023,NVDA231006C00445000,4.35,-0.15,4.3,4.5,11448,0.3379,0.3349,0.0177,6694,445.00,NVDA231006P00445000,13.71,-4.39,13.4,14.2,1565,0.3349,-0.6703,0.018,1964
Fri Oct 06 2023,NVDA231006C00447500,3.57,-0.23,3.5,3.7,5172,0.3362,0.2914,0.0168,3914,447.50,NVDA231006P00447500,15.55,-4.375,15.2,15.95,954,0.3312,-0.7146,0.0172,801
Fri Oct 06 2023,NVDA231006C00450000,2.95,-0.2,2.81,2.91,23633,0.3334,0.2504,0.0157,14455,450.00,NVDA231006P00450000,17.31,-4.49,17.05,17.85,5759,0.3294,-0.7564,0.0161,2481
Fri Oct 06 2023,NVDA231006C00452500,2.36,-0.29,2.22,2.42,4065,0.3317,0.2128,0.0144,3355,452.50,NVDA231006P00452500,18.3,-5.475,18.75,19.85,171,0.3261,-0.795,0.0148,389
Fri Oct 06 2023,NVDA231006C00455000,1.87,-0.325,1.77,1.91,4171,0.3304,0.1789,0.013,3386,455.00,NVDA231006P00455000,21,-4.825,20.8,21.85,764,0.3245,-0.8298,0.0134,1073
Fri Oct 06 2023,NVDA231006C00457500,1.48,-0.32,1.45,1.54,2018,0.3295,0.1491,0.0116,2221,457.50,NVDA231006P00457500,23.2,-4.775,22.9,23.95,333,0.3223,-0.8607,0.012,575
Fri Oct 06 2023,NVDA231006C00460000,1.19,-0.295,1.1,1.24,7896,0.3292,0.1234,0.0102,5420,460.00,NVDA231006P00460000,24.55,-5.6,24.9,26.4,523,0.32,-0.8874,0.0106,1312
Fri Oct 06 2023,NVDA231006C00462500,0.93,-0.285,0.86,0.98,1572,0.3304,0.1017,0.0088,1351,462.50,NVDA231006P00462500,26.05,-6.4,27.1,28.65,98,0.3212,-0.91,0.0093,266
Fri Oct 06 2023,NVDA231006C00465000,0.72,-0.27,0.71,0.78,4212,0.3323,0.0837,0.0076,2968,465.00,NVDA231006P00465000,30.2,-4.5,29.6,31,245,0.3231,-0.9291,0.0081,501
Fri Oct 13 2023,NVDA231013C00417500,24.2,1.925,23.5,24.9,91,0.3749,0.7337,0.0102,186,417.50,NVDA231013P00417500,5.4,-2.575,5.25,5.55,180,0.3753,-0.2678,0.0103,130
