,dia,oi,volume,cambio
1,2023-05-12,2304479,1440520,1049.0
2,2023-05-15,2317662,1182279,13183.0
3,2023-05-16,2306298,1320165,-11364.0
4,2023-05-17,2360500,1589569,54202.0
5,2023-05-18,2395377,1766804,34877.0
6,2023-05-19,2400077,1720441,4700.0
7,2023-05-22,2397941,1309726,-2136.0
8,2023-05-23,2385936,1694866,-12005.0
9,2023-05-24,2399697,1921338,13761.0
10,2023-05-25,2418846,1975508,19149.0
11,2023-05-26,2462164,1754037,43318.0
12,2023-05-30,2494943,1970749,32779.0
13,2023-05-31,2450957,2164670,-43986.0
14,2023-06-01,2459295,1888885,8338.0
15,2023-06-02,2489291,1983813,29996.0
16,2023-06-05,2498625,1701217,9334.0
17,2023-06-06,2500232,1589684,1607.0
18,2023-06-07,2507877,2003501,7645.0
19,2023-06-08,2544324,1924912,36447.0
20,2023-06-09,2642614,3378488,98290.0
21,2023-06-12,2766399,3878584,123785.0
22,2023-06-13,2907468,3838442,141069.0
23,2023-06-14,2924249,2901646,16781.0
24,2023-06-15,2890134,2511555,-34115.0
25,2023-06-16,2846557,1936989,-43577.0
26,2023-06-20,2224431,1541877,-622126.0
27,2023-06-21,2222576,1469962,-1855.0
28,2023-06-22,2209954,1385425,-12622.0
29,2023-06-23,2206706,1552317,-3248.0
30,2023-06-26,2197573,1624452,-9133.0
31,2023-06-27,2188200,1513792,-9373.0
32,2023-06-28,2207897,1691481,19697.0
33,2023-06-29,2219236,1631018,11339.0
34,2023-06-30,2217777,1777470,-1459.0
35,2023-07-03,2214090,642178,-3687.0
36,2023-07-05,2225362,1195252,11272.0
37,2023-07-06,2221065,1744200,-4297.0
38,2023-07-07,2196125,1693641,-24940.0
39,2023-07-10,2200206,1362185,4081.0
40,2023-07-11,2209607,1341515,9401.0
41,2023-07-12,2251206,1787001,41599.0
42,2023-07-13,2271617,1160740,20411.0
43,2023-07-14,2259405,1382974,-12212.0
44,2023-07-17,2264639,1059249,5234.0
45,2023-07-18,2280677,1302733,16038.0
46,2023-07-19,2264966,1540190,-15711.0
47,2023-07-20,2239957,1529723,-25009.0
48,2023-07-21,2218078,1435282,-21879.0
49,2023-07-24,2232256,1208701,14178.0
50,2023-07-25,2243361,1221978,11105.0
51,2023-07-26,2230359,1376201,-13002.0
52,2023-07-27,2222871,1928206,-7488.0
53,2023-07-28,2224965,1576081,2094.0
54,2023-07-31,2234537,1300927,9572.0
55,2023-08-01,2241749,1216054,7212.0
56,2023-08-02,2243018,1921353,1269.0
57,2023-08-03,2217475,1769650,-25543.0
58,2023-08-04,2212651,2053256,-4824.0
59,2023-08-07,2230125,1399508,17474.0
60,2023-08-08,2221709,1704086,-8416.0
61,2023-08-09,2216431,1643877,-5278.0
62,2023-08-10,2235737,2231589,19306.0
63,2023-08-11,2233870,1512915,-1867.0
64,2023-08-14,2233009,1278927,-861.0
65,2023-08-15,2220084,1495366,-12925.0
66,2023-08-16,2227895,1502803,7811.0
67,2023-08-17,2261387,1635678,33492.0
68,2023-08-18,2247312,1752145,-14075.0
69,2023-08-21,2232352,1365912,-14960.0
70,2023-08-22,2232226,1380991,-126.0
71,2023-08-23,2260360,1312008,28134.0
72,2023-08-24,2245391,1792452,-14969.0
73,2023-08-25,2231840,1862843,-13551.0
74,2023-08-28,2237417,1270790,5577.0
75,2023-08-29,2267572,1455146,30155.0
76,2023-08-30,2279194,1412445,11622.0
77,2023-08-31,2274164,1408857,-5030.0
78,2023-09-01,2262421,1436560,-11743.0
79,2023-09-05,2259160,1422661,-3261.0
80,2023-09-06,2261225,1647009,2065.0
81,2023-09-07,2272426,1798997,11201.0
82,2023-09-08,2340638,2574270,68212.0
83,2023-09-11,2483358,3759361,142720.0
84,2023-09-12,2520164,3026620,36806.0
85,2023-09-13,2586643,2464820,66479.0
86,2023-09-14,2610845,2099438,24202.0
87,2023-09-15,2538237,1873486,-72608.0
88,2023-09-18,2106413,1156055,-431824.0
89,2023-09-19,2097946,1424242,-8467.0
90,2023-09-20,2110767,1483626,12821.0
91,2023-09-21,2145497,2000607,34730.0
92,2023-09-22,2126722,1738300,-18775.0
93,2023-09-25,2139738,1563182,13016.0
94,2023-09-26,2139184,1761339,-554.0
95,2023-09-27,2123842,1970402,-15342.0
96,2023-09-28,2108537,2014667,-15305.0
97,2023-09-29,2117920,2109353,9383.0
98,2023-10-02,2124043,1954541,6123.0
99,2023-10-03,2140413,2259354,16370.0
