Symbol,Call/Put,Expiration,Strike Price,Volume,Matched,Routed,Bid Size,Bid Price,Ask Size,Ask Price,Last Price
IWM,P,2023-10-20,185.0000,100765,100765,0,0,0.0,0,0.0,14.3500
SPXW,C,2023-10-04,4260.0000,91058,91058,0,0,0.0,0,0.0,4.3400
SPXW,C,2023-10-04,4270.0000,86447,86447,0,0,0.0,0,0.0,0.0500
GLD,P,2023-10-20,180.0000,80372,80372,0,0,0.0,0,0.0,11.3600
SPXW,C,2023-10-04,4265.0000,79383,79383,0,0,0.0,0,0.0,0.1900
SPXW,C,2023-10-04,4250.0000,76607,76607,0,0,0.0,0,0.0,12.5000
SPY,P,2023-10-20,445.0000,71176,71176,0,0,0.0,0,0.0,20.5500
SPXW,P,2023-10-04,4220.0000,65768,65768,0,0,0.0,0,0.0,0.0500
SPXW,P,2023-10-04,4230.0000,64080,64080,0,0,0.0,0,0.0,0.0500
SPXW,C,2023-10-04,4255.0000,63434,63434,0,0,0.0,0,0.0,9.9000
VIX,P,2023-10-18,17.0000,63153,63153,0,0,0.0,0,0.0,0.5600
SPXW,C,2023-10-04,4275.0000,59849,59849,0,0,0.0,0,0.0,0.0500
SPXW,P,2023-10-04,4240.0000,58484,58484,0,0,0.0,0,0.0,0.0500
SPXW,P,2023-10-04,4200.0000,56934,56934,0,0,0.0,0,0.0,0.0500
SPY,P,2023-10-04,422.0000,56666,55990,676,0,0.0,0,0.0,0.0100
SPY,C,2023-10-04,423.0000,55239,54379,860,0,0.0,0,0.0,1.4800
VIX,P,2023-10-18,18.0000,53215,53215,0,0,0.0,0,0.0,1.0400
SPXW,P,2023-10-04,4225.0000,52535,52535,0,0,0.0,0,0.0,0.0500
IWM,P,2024-01-19,200.0000,51278,51278,0,0,0.0,0,0.0,29.8100
SPY,C,2023-10-04,424.0000,50597,49762,835,0,0.0,0,0.0,0.5000
SPXW,P,2023-10-04,4235.0000,49623,49623,0,0,0.0,0,0.0,0.0500
SPXW,C,2023-10-04,4245.0000,49223,49223,0,0,0.0,0,0.0,20.4000
SPY,C,2023-10-04,425.0000,48719,47305,1414,0,0.0,0,0.0,0.0200
IWM,P,2023-12-15,195.0000,48623,48623,0,0,0.0,0,0.0,24.8300
SPY,P,2023-10-04,421.0000,48197,47327,870,0,0.0,0,0.0,0.0100
SPXW,C,2023-10-04,4280.0000,48169,48169,0,0,0.0,0,0.0,0.0500
VIX,P,2023-10-18,15.0000,48106,48106,0,0,0.0,0,0.0,0.1000
SPXW,C,2023-10-04,4240.0000,44899,44899,0,0,0.0,0,0.0,21.1500
SPXW,P,2023-10-04,4250.0000,43674,43674,0,0,0.0,0,0.0,0.0500
IWM,P,2023-12-15,200.0000,42990,42990,0,0,0.0,0,0.0,29.8100
SPY,P,2023-10-04,423.0000,39811,39534,277,0,0.0,0,0.0,0.0100
SPXW,P,2023-10-04,4210.0000,38865,38865,0,0,0.0,0,0.0,0.0500
SPXW,P,2023-10-04,4245.0000,38691,38691,0,0,0.0,0,0.0,0.0500
SPY,P,2023-10-04,420.0000,38358,37239,1119,0,0.0,0,0.0,0.0100
SPY,P,2023-10-20,450.0000,37533,37533,0,0,0.0,0,0.0,27.4500
SPXW,P,2023-10-04,4215.0000,35650,35650,0,0,0.0,0,0.0,0.0500
SPXW,P,2023-10-04,4190.0000,35391,35391,0,0,0.0,0,0.0,0.0500
IWM,P,2023-10-20,190.0000,35366,35366,0,0,0.0,0,0.0,19.4200
SPY,P,2023-10-20,448.0000,33773,33773,0,0,0.0,0,0.0,23.5100
SPY,C,2023-10-04,422.0000,33241,32952,289,0,0.0,0,0.0,2.4900
VIX,P,2023-12-20,16.0000,32337,32337,0,0,0.0,0,0.0,0.8300
VIX,P,2023-11-15,17.0000,30516,30516,0,0,0.0,0,0.0,1.0000
SPXW,P,2023-10-04,4195.0000,30490,30490,0,0,0.0,0,0.0,0.0500
VIX,P,2023-10-18,16.0000,30368,30368,0,0,0.0,0,0.0,0.2500
SPXW,P,2023-10-04,4205.0000,30208,30208,0,0,0.0,0,0.0,0.0500
HYG,P,2023-10-20,75.0000,30000,30000,0,0,0.0,0,0.0,2.0600
SPXW,C,2023-10-04,4285.0000,29297,29297,0,0,0.0,0,0.0,0.0500
EFA,P,2024-01-19,75.0000,29122,29122,0,0,0.0,0,0.0,8.1000
SPXW,P,2023-10-04,4255.0000,27407,27407,0,0,0.0,0,0.0,0.0500
GLD,P,2023-10-20,178.0000,26782,26782,0,0,0.0,0,0.0,9.3500
GLD,P,2024-03-15,190.0000,25671,25671,0,0,0.0,0,0.0,21.3600
SPY,P,2023-10-05,422.0000,25661,25470,191,0,0.0,0,0.0,0.6200
SPY,P,2023-10-04,424.0000,25639,25547,92,0,0.0,0,0.0,0.0200
SPXW,C,2023-10-04,4290.0000,25116,25116,0,0,0.0,0,0.0,0.0500
SPXW,P,2023-10-04,4180.0000,24616,24616,0,0,0.0,0,0.0,0.0500
SPXW,P,2023-10-04,4185.0000,24602,24602,0,0,0.0,0,0.0,0.0500
VIX,C,2023-10-18,25.0000,24595,24595,0,0,0.0,0,0.0,0.4000
SPXW,P,2023-10-04,4260.0000,23866,23866,0,0,0.0,0,0.0,0.0500
SPXW,P,2023-10-04,4175.0000,23451,23451,0,0,0.0,0,0.0,0.0500
TLT,P,2023-10-20,95.0000,23439,23439,0,0,0.0,0,0.0,9.1000
VIX,C,2023-10-18,28.0000,23207,23207,0,0,0.0,0,0.0,0.2900
EFA,P,2023-10-20,71.0000,22828,22828,0,0,0.0,0,0.0,4.1000
SPXW,C,2023-10-04,4235.0000,22657,22657,0,0,0.0,0,0.0,32.0800
VIX,C,2023-10-18,20.0000,22009,22009,0,0,0.0,0,0.0,0.9300
SPY,P,2023-10-04,419.0000,20731,20156,575,0,0.0,0,0.0,0.0100
IWM,P,2023-10-20,188.0000,20378,20378,0,0,0.0,0,0.0,17.8200
SPXW,P,2023-10-05,3550.0000,20123,20123,0,0,0.0,0,0.0,0.0500
SPXW,P,2023-10-04,4170.0000,20114,20114,0,0,0.0,0,0.0,0.0500
VIX,C,2024-01-17,45.0000,20023,20023,0,0,0.0,0,0.0,0.6500
SPY,P,2023-10-04,418.0000,19580,19439,141,0,0.0,0,0.0,0.0100
SPY,P,2023-10-05,423.0000,19234,19062,172,0,0.0,0,0.0,0.8900
SPXW,C,2023-10-04,4230.0000,19014,19014,0,0,0.0,0,0.0,35.5200
SPXW,C,2023-10-04,4300.0000,18799,18799,0,0,0.0,0,0.0,0.0500
SPY,C,2023-10-04,426.0000,18267,18230,37,0,0.0,0,0.0,0.0100
SPXW,P,2023-10-04,4165.0000,17352,17352,0,0,0.0,0,0.0,0.0500
SPXW,C,2023-10-05,4300.0000,17000,17000,0,0,0.0,0,0.0,2.6500
IWM,P,2023-11-17,190.0000,16290,16290,0,0,0.0,0,0.0,19.2500
VIX,P,2023-12-20,15.0000,16243,16243,0,0,0.0,0,0.0,0.4400
VIX,C,2023-10-18,21.0000,15922,15922,0,0,0.0,0,0.0,0.7300
VIX,C,2023-10-18,26.0000,15856,15856,0,0,0.0,0,0.0,0.3600
SPY,C,2023-10-05,423.0000,15717,15269,448,0,0.0,0,0.0,2.5800
SPXW,P,2023-10-04,4150.0000,15375,15375,0,0,0.0,0,0.0,0.0500
SPXW,P,2023-10-05,3600.0000,15131,15131,0,0,0.0,0,0.0,0.0500
QQQ,P,2023-10-04,356.0000,15103,14975,128,0,0.0,0,0.0,0.0100
TLT,P,2023-10-20,94.0000,15094,15094,0,0,0.0,0,0.0,8.1000
LQD,P,2023-10-20,107.0000,15000,15000,0,0,0.0,0,0.0,6.8300
EFA,P,2023-12-15,73.0000,14472,14472,0,0,0.0,0,0.0,6.1000
SPXW,P,2023-10-04,4265.0000,14023,14023,0,0,0.0,0,0.0,2.2000
SPY,C,2023-10-04,421.0000,14012,13973,39,0,0.0,0,0.0,3.5300
SPY,P,2023-10-05,421.0000,13920,13849,71,0,0.0,0,0.0,0.4300
QQQ,P,2023-10-04,357.0000,13341,13149,192,0,0.0,0,0.0,0.0100
SPXW,P,2023-10-20,4300.0000,13330,13330,0,0,0.0,0,0.0,69.6000
VIX,C,2023-10-18,23.0000,13118,13118,0,0,0.0,0,0.0,0.5200
SPY,C,2023-10-05,424.0000,13112,12636,476,0,0.0,0,0.0,1.9600
TLT,P,2023-10-20,100.0000,13098,13098,0,0,0.0,0,0.0,14.1000
SPXW,C,2023-10-04,4295.0000,12698,12698,0,0,0.0,0,0.0,0.0500
NEE,P,2023-11-17,65.0000,12671,12671,0,0,0.0,0,0.0,14.2000
SPXW,P,2023-10-20,4315.0000,12664,12664,0,0,0.0,0,0.0,82.6000
SPXW,P,2023-12-15,4400.0000,12638,12638,0,0,0.0,0,0.0,173.7000
SPXW,P,2023-12-15,4415.0000,12615,12615,0,0,0.0,0,0.0,199.9000
MMM,P,2023-10-20,100.0000,12538,12538,0,0,0.0,0,0.0,12.2800
SPX,P,2024-01-19,1400.0000,12501,12501,0,0,0.0,0,0.0,0.4000
HYG,P,2023-10-20,74.5000,12500,12500,0,0,0.0,0,0.0,2.9800
SPY,P,2023-10-06,420.0000,12406,12309,97,0,0.0,0,0.0,0.8600
XSP,P,2023-10-31,385.0000,12281,12281,0,0,0.0,0,0.0,0.6200
TSLA,C,2023-10-06,260.0000,12261,12048,213,0,0.0,0,0.0,4.6800
SPY,P,2023-10-04,415.0000,12237,12237,0,0,0.0,0,0.0,0.0100
XLU,P,2023-10-20,64.0000,12187,12187,0,0,0.0,0,0.0,7.3000
VIX,P,2023-10-18,19.0000,12145,12145,0,0,0.0,0,0.0,1.6100
VIX,C,2023-10-18,30.0000,12136,12136,0,0,0.0,0,0.0,0.2400
SPY,P,2023-10-04,417.0000,12006,11979,27,0,0.0,0,0.0,0.0100
QQQ,C,2023-10-04,359.0000,11897,11828,69,0,0.0,0,0.0,0.6300
SPY,C,2023-10-05,425.0000,11889,11705,184,0,0.0,0,0.0,1.4000
VIX,C,2023-10-18,19.0000,11784,11784,0,0,0.0,0,0.0,1.2300
QQQ,P,2023-10-04,355.0000,11760,11579,181,0,0.0,0,0.0,0.0100
VIX,P,2023-11-15,19.0000,11740,11740,0,0,0.0,0,0.0,2.2200
IWM,P,2023-11-17,161.0000,11724,11724,0,0,0.0,0,0.0,1.6900
SPXW,C,2023-10-04,4310.0000,11699,11699,0,0,0.0,0,0.0,0.0500
SPXW,P,2023-10-05,4230.0000,11626,11626,0,0,0.0,0,0.0,5.4000
IWM,P,2023-11-17,163.0000,11510,11510,0,0,0.0,0,0.0,2.0700
SPY,P,2023-10-05,420.0000,11409,11298,111,0,0.0,0,0.0,0.3000
QQQ,P,2023-10-04,358.0000,11191,8738,2453,0,0.0,0,0.0,0.0100
IWM,P,2023-10-20,165.0000,11184,11184,0,0,0.0,0,0.0,1.0900
VIX,C,2023-11-15,20.0000,11163,11163,0,0,0.0,0,0.0,1.8300
QQQ,C,2023-10-04,358.0000,11006,10555,451,0,0.0,0,0.0,1.4200
VIX,C,2024-05-22,60.0000,11000,11000,0,0,0.0,0,0.0,0.7800
VIX,P,2023-11-15,18.0000,10686,10686,0,0,0.0,0,0.0,1.5500
