Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Fri Oct 06 2023,PLTR231006C00011500,4.55,0.25,4.45,4.6,34,1.1542,0.9903,0.0112,45,11.50,PLTR231006P00011500,0.01,0,0,0.01,0,0.9965,-0.0098,0.0112,560
Fri Oct 06 2023,PLTR231006C00012000,4.1,0.3,3.95,4.1,56,1.0178,0.988,0.0149,262,12.00,PLTR231006P00012000,0.01,-0.005,0,0.01,20,0.8807,-0.0121,0.0149,1133
Fri Oct 06 2023,PLTR231006C00012500,3.66,0.36,3.45,3.6,28,0.8864,0.9846,0.0206,166,12.50,PLTR231006P00012500,0.01,-0.005,0,0.02,783,0.8438,-0.0156,0.0206,2345
Fri Oct 06 2023,PLTR231006C00013000,3.04,0.23,3,3.1,142,0.9168,0.9785,0.0305,539,13.00,PLTR231006P00013000,0.02,-0.005,0.01,0.02,373,0.7734,-0.0216,0.0305,5295
Fri Oct 06 2023,PLTR231006C00013500,2.5,0.17,2.49,2.58,299,0.7031,0.9662,0.0489,679,13.50,PLTR231006P00013500,0.03,-0.005,0.02,0.03,430,0.7151,-0.034,0.049,4818
Fri Oct 06 2023,PLTR231006C00014000,2.03,0.17,2,2.06,589,0.5476,0.9406,0.0834,1204,14.00,PLTR231006P00014000,0.04,-0.035,0.03,0.04,1609,0.6306,-0.0597,0.0835,7808
Fri Oct 06 2023,PLTR231006C00014500,1.66,0.24,1.57,1.62,1955,0.6236,0.8912,0.14,2791,14.50,PLTR231006P00014500,0.07,-0.065,0.06,0.07,1810,0.5831,-0.1091,0.1403,3308
Fri Oct 06 2023,PLTR231006C00015000,1.16,0.13,1.14,1.18,2313,0.5804,0.8071,0.2168,6510,15.00,PLTR231006P00015000,0.14,-0.105,0.13,0.14,5162,0.5616,-0.1935,0.2174,5009
Fri Oct 06 2023,PLTR231006C00015500,0.78,0.075,0.77,0.8,2573,0.557,0.6798,0.294,10148,15.50,PLTR231006P00015500,0.26,-0.155,0.26,0.27,5590,0.5493,-0.3211,0.295,5890
Fri Oct 06 2023,PLTR231006C00016000,0.48,0.035,0.48,0.5,9697,0.5453,0.5202,0.33,9867,16.00,PLTR231006P00016000,0.47,-0.185,0.47,0.48,9164,0.544,-0.4814,0.3317,3361
Fri Oct 06 2023,PLTR231006C00016500,0.29,0.015,0.28,0.3,14471,0.551,0.363,0.3066,7574,16.50,PLTR231006P00016500,0.76,-0.215,0.76,0.78,3650,0.5429,-0.6396,0.309,1503
Fri Oct 06 2023,PLTR231006C00017000,0.16,0.005,0.16,0.17,12827,0.5637,0.231,0.2473,7925,17.00,PLTR231006P00017000,1.14,-0.225,1.12,1.16,1723,0.5448,-0.7729,0.2504,767
Fri Oct 06 2023,PLTR231006C00017500,0.1,0.015,0.09,0.1,12472,0.5866,0.1394,0.1758,10582,17.50,PLTR231006P00017500,1.51,-0.29,1.55,1.6,163,0.5684,-0.8657,0.1793,219
Fri Oct 06 2023,PLTR231006C00018000,0.05,-0.005,0.05,0.06,7234,0.6111,0.0905,0.1204,6581,18.00,PLTR231006P00018000,1.98,-0.28,2,2.06,84,0.5617,-0.9154,0.1237,1103
Fri Oct 06 2023,PLTR231006C00018500,0.03,-0.005,0.03,0.04,1894,0.6471,0.062,0.0838,1983,18.50,PLTR231006P00018500,2.51,-0.245,2.48,2.57,120,0.6391,-0.9443,0.0869,1093
Fri Oct 06 2023,PLTR231006C00019000,0.03,0.005,0.02,0.03,530,0.6931,0.0441,0.0597,1940,19.00,PLTR231006P00019000,2.95,-0.3,2.98,3.05,14,0.6738,-0.9625,0.0626,24
Fri Oct 06 2023,PLTR231006C00019500,0.02,0.005,0.01,0.02,491,0.7134,0.0329,0.044,2380,19.50,PLTR231006P00019500,3.75,0,3.45,3.55,0,0,-0.9739,0.0466,0
Fri Oct 06 2023,PLTR231006C00020000,0.01,-0.005,0.01,0.02,797,0.7887,0.0259,0.0337,1077,20.00,PLTR231006P00020000,3.75,-0.5,3.95,4.05,14,0,-0.9809,0.0361,7
Fri Oct 06 2023,PLTR231006C00020500,0.02,0.005,0.01,0.02,1,0.861,0.0212,0.0268,534,20.50,PLTR231006P00020500,5.25,0,4.45,4.55,0,0,-0.9856,0.029,0
Fri Oct 06 2023,PLTR231006C00021000,0.01,-0.005,0.01,0.02,226,0.9305,0.0177,0.0217,850,21.00,PLTR231006P00021000,5.8,0,4.95,5.05,0,0,-0.9889,0.0238,16
