Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Fri Sep 08 2023,PYPL230908C00053000,7,0,9.75,9.9,0,0,0.9954,0.0034,2,53.00,PYPL230908P00053000,0.02,0,0,0.01,0,0.8746,-0.0049,0.0034,100
Fri Sep 08 2023,PYPL230908C00054000,8.39,0,8.75,8.9,0,0,0.9941,0.0045,19,54.00,PYPL230908P00054000,0.01,0,0,0.03,0,0.8962,-0.0062,0.0045,664
Fri Sep 08 2023,PYPL230908C00055000,8.7,0,7.75,7.9,0,0,0.9924,0.0062,687,55.00,PYPL230908P00055000,0.01,0.005,0,0.01,2,0.7012,-0.0079,0.0062,552
Fri Sep 08 2023,PYPL230908C00056000,8.02,0,6.75,6.9,0,0,0.9899,0.0087,43,56.00,PYPL230908P00056000,0.01,0.005,0,0.01,8,0.6156,-0.0104,0.0087,421
Fri Sep 08 2023,PYPL230908C00057000,6.1,-0.8,5.75,5.9,2,0,0.9863,0.0126,328,57.00,PYPL230908P00057000,0.01,-0.005,0,0.01,12,0.5304,-0.014,0.0126,1573
Fri Sep 08 2023,PYPL230908C00058000,5.1,-0.8,4.75,4.9,7,0,0.9808,0.0192,115,58.00,PYPL230908P00058000,0.01,-0.005,0.01,0.02,210,0.5148,-0.0195,0.0192,936
Fri Sep 08 2023,PYPL230908C00059000,3.96,-0.94,3.75,3.9,216,0,0.9715,0.0312,698,59.00,PYPL230908P00059000,0.02,-0.005,0.01,0.03,47,0.4388,-0.0288,0.0312,590
Fri Sep 08 2023,PYPL230908C00060000,2.85,-1.05,2.8,2.91,50,0.3229,0.9521,0.0567,527,60.00,PYPL230908P00060000,0.04,0.005,0.03,0.04,63,0.3761,-0.0482,0.0569,2048
Fri Sep 08 2023,PYPL230908C00061000,1.87,-1.06,1.87,1.99,69,0.3016,0.8953,0.121,1711,61.00,PYPL230908P00061000,0.08,0.025,0.07,0.08,387,0.3203,-0.1053,0.1214,1916
Fri Sep 08 2023,PYPL230908C00062000,1.06,-0.945,1.02,1.13,188,0.2907,0.7347,0.2391,2353,62.00,PYPL230908P00062000,0.22,0.105,0.21,0.23,3346,0.2939,-0.2666,0.2404,5872
Fri Sep 08 2023,PYPL230908C00063000,0.45,-0.735,0.43,0.46,3000,0.2815,0.4571,0.2975,3759,63.00,PYPL230908P00063000,0.62,0.325,0.57,0.62,4384,0.2832,-0.5464,0.3005,3468
Fri Sep 08 2023,PYPL230908C00064000,0.14,-0.445,0.14,0.15,8044,0.2853,0.2095,0.2058,6485,64.00,PYPL230908P00064000,1.33,0.635,1.26,1.35,208,0.2802,-0.7972,0.2102,1254
Fri Sep 08 2023,PYPL230908C00065000,0.05,-0.195,0.05,0.06,3040,0.3224,0.0938,0.105,5453,65.00,PYPL230908P00065000,2.12,0.765,2.15,2.31,59,0.3544,-0.915,0.1092,576
Fri Sep 08 2023,PYPL230908C00066000,0.03,-0.065,0.03,0.04,1243,0.3906,0.0525,0.0569,2705,66.00,PYPL230908P00066000,3.16,0.95,3.15,3.3,21,0.4229,-0.9564,0.06,362
