Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Fri Oct 06 2023,RIVN231006C00020500,3.9,1.03,3.85,3.95,106,0.8274,0.9357,0.0443,665,20.50,RIVN231006P00020500,0.07,-0.135,0.07,0.08,222,0.8249,-0.0647,0.0443,3212
Fri Oct 06 2023,RIVN231006C00021000,3.55,1.115,3.35,3.45,280,0.733,0.9116,0.0581,594,21.00,RIVN231006P00021000,0.11,-0.18,0.1,0.11,1364,0.795,-0.0888,0.0582,1394
Fri Oct 06 2023,RIVN231006C00021500,2.92,0.855,2.88,3.05,301,0.8016,0.8797,0.0748,507,21.50,RIVN231006P00021500,0.14,-0.26,0.14,0.15,5615,0.7637,-0.1208,0.0749,3551
Fri Oct 06 2023,RIVN231006C00022000,2.52,0.82,2.51,2.57,936,0.7519,0.8384,0.0937,2521,22.00,RIVN231006P00022000,0.21,-0.34,0.21,0.22,1400,0.7524,-0.1622,0.0939,1813
Fri Oct 06 2023,RIVN231006C00022500,2.17,0.78,2.08,2.16,905,0.7405,0.7865,0.1139,2485,22.50,RIVN231006P00022500,0.32,-0.41,0.3,0.32,3901,0.7413,-0.2141,0.1141,2858
Fri Oct 06 2023,RIVN231006C00023000,1.8,0.685,1.74,1.79,958,0.7338,0.724,0.1332,3733,23.00,RIVN231006P00023000,0.45,-0.5,0.43,0.46,3143,0.7348,-0.2768,0.1336,2670
Fri Oct 06 2023,RIVN231006C00023500,1.42,0.545,1.41,1.45,1329,0.7266,0.6521,0.1493,3416,23.50,RIVN231006P00023500,0.61,-0.6,0.6,0.63,2617,0.7317,-0.3489,0.1498,1800
Fri Oct 06 2023,RIVN231006C00024000,1.15,0.47,1.15,1.17,8741,0.7394,0.5736,0.1598,8585,24.00,RIVN231006P00024000,0.81,-0.71,0.81,0.84,3146,0.733,-0.4276,0.1603,1926
Fri Oct 06 2023,RIVN231006C00024500,0.88,0.36,0.89,0.91,2834,0.7289,0.4927,0.163,3228,24.50,RIVN231006P00024500,1.08,-0.775,1.07,1.09,2698,0.7336,-0.5089,0.1638,1671
Fri Oct 06 2023,RIVN231006C00025000,0.69,0.29,0.69,0.71,5778,0.7336,0.4137,0.159,4808,25.00,RIVN231006P00025000,1.38,-0.86,1.36,1.39,343,0.7345,-0.5883,0.1598,347
Fri Oct 06 2023,RIVN231006C00025500,0.53,0.235,0.52,0.54,1869,0.7331,0.3406,0.1487,1817,25.50,RIVN231006P00025500,1.67,-0.96,1.69,1.73,63,0.7337,-0.6618,0.1497,48
Fri Oct 06 2023,RIVN231006C00026000,0.4,0.17,0.39,0.4,1523,0.7338,0.2759,0.1342,2782,26.00,RIVN231006P00026000,2.08,-0.995,2.05,2.11,120,0.7383,-0.727,0.1353,70
Fri Oct 06 2023,RIVN231006C00026500,0.31,0.135,0.29,0.31,1109,0.7453,0.2208,0.1176,1008,26.50,RIVN231006P00026500,2.51,-0.99,2.41,2.52,4,0.7547,-0.7825,0.1188,14
Fri Oct 06 2023,RIVN231006C00027000,0.23,0.095,0.22,0.23,4935,0.7491,0.1752,0.1007,5883,27.00,RIVN231006P00027000,2.93,-1.045,2.86,2.93,14,0.7471,-0.8286,0.102,21
Fri Oct 06 2023,RIVN231006C00027500,0.16,0.055,0.16,0.17,273,0.7608,0.1383,0.0847,407,27.50,RIVN231006P00027500,3.45,-1,3.25,3.4,11,0.7708,-0.8659,0.086,14
Fri Oct 06 2023,RIVN231006C00028000,0.12,0.045,0.12,0.13,2626,0.775,0.1089,0.0704,2624,28.00,RIVN231006P00028000,4.13,-0.795,3.75,3.85,110,0.7681,-0.8958,0.0718,43
Fri Oct 06 2023,RIVN231006C00028500,0.09,0.025,0.09,0.1,349,0.7896,0.0857,0.058,313,28.50,RIVN231006P00028500,4.6,-0.8,4.2,4.35,1,0.7888,-0.9193,0.0594,2
Fri Oct 06 2023,RIVN231006C00029000,0.07,0.025,0.07,0.08,413,0.8102,0.0676,0.0474,360,29.00,RIVN231006P00029000,4.95,-0.95,4.7,4.8,2,0.7932,-0.9379,0.0489,2
Fri Oct 06 2023,RIVN231006C00029500,0.05,0.015,0.05,0.06,215,0.8176,0.0534,0.0387,304,29.50,RIVN231006P00029500,6.55,0,5.2,5.3,0,0.8525,-0.9524,0.0402,1
Fri Oct 06 2023,RIVN231006C00030000,0.05,0.015,0.04,0.05,921,0.8417,0.0424,0.0315,1454,30.00,RIVN231006P00030000,6.4,-0.475,5.65,5.8,8,0.8231,-0.9638,0.033,11
Fri Oct 13 2023,RIVN231013C00020500,4.15,1.1,3.95,4.05,86,0.7062,0.8932,0.0516,169,20.50,RIVN231013P00020500,0.21,-0.16,0.17,0.19,49,0.7331,-0.1071,0.0517,163
Fri Oct 13 2023,RIVN231013C00021000,3.56,0.91,3.55,3.65,147,0.7353,0.8641,0.0624,338,21.00,RIVN231013P00021000,0.25,-0.23,0.24,0.25,142,0.7238,-0.1363,0.0625,1188
Fri Oct 13 2023,RIVN231013C00021500,3.2,0.905,3.1,3.2,94,0.6964,0.8291,0.074,7763,21.50,RIVN231013P00021500,0.31,-0.315,0.31,0.34,2169,0.7166,-0.1714,0.0742,2060
Fri Oct 13 2023,RIVN231013C00022000,2.82,0.855,2.74,2.8,175,0.7015,0.7879,0.0859,702,22.00,RIVN231013P00022000,0.43,-0.36,0.42,0.44,1246,0.7051,-0.2127,0.0861,1230
Fri Oct 13 2023,RIVN231013C00022500,2.37,0.7,2.37,2.44,92,0.6948,0.7405,0.0974,561,22.50,RIVN231013P00022500,0.55,-0.445,0.54,0.57,2202,0.6953,-0.2602,0.0977,2612
Fri Oct 13 2023,RIVN231013C00023000,2.05,0.65,2.03,2.08,464,0.6874,0.6876,0.1076,1504,23.00,RIVN231013P00023000,0.7,-0.525,0.7,0.73,948,0.6912,-0.3134,0.1081,664
Fri Oct 13 2023,RIVN231013C00023500,1.8,0.63,1.72,1.76,763,0.6811,0.6302,0.1158,1389,23.50,RIVN231013P00023500,0.87,-0.62,0.89,0.92,1159,0.6877,-0.371,0.1164,1078
Fri Oct 13 2023,RIVN231013C00024000,1.47,0.505,1.45,1.47,1893,0.6775,0.5699,0.1213,1794,24.00,RIVN231013P00024000,1.11,-0.68,1.11,1.14,827,0.6841,-0.4316,0.122,567
Fri Oct 13 2023,RIVN231013C00024500,1.23,0.435,1.2,1.24,452,0.6788,0.5086,0.1237,1114,24.50,RIVN231013P00024500,1.4,-0.715,1.37,1.39,144,0.6775,-0.4934,0.1244,234
Fri Oct 13 2023,RIVN231013C00025000,1.01,0.36,0.99,1.02,1169,0.6773,0.448,0.1228,4623,25.00,RIVN231013P00025000,1.68,-0.795,1.65,1.68,152,0.6787,-0.5543,0.1237,84
Fri Oct 13 2023,RIVN231013C00025500,0.8,0.265,0.8,0.84,313,0.6764,0.39,0.119,425,25.50,RIVN231013P00025500,1.89,-0.96,1.97,2,24,0.6805,-0.6128,0.12,82
Fri Oct 13 2023,RIVN231013C00026000,0.65,0.22,0.65,0.68,139,0.6772,0.336,0.1127,2412,26.00,RIVN231013P00026000,2.35,-0.9,2.3,2.35,1,0.6812,-0.6673,0.1138,19
Fri Oct 13 2023,RIVN231013C00026500,0.53,0.175,0.52,0.55,92,0.6782,0.2869,0.1046,174,26.50,RIVN231013P00026500,2.68,-1.02,2.67,2.73,21,0.6822,-0.7169,0.1059,11
Fri Oct 13 2023,RIVN231013C00027000,0.42,0.13,0.42,0.44,241,0.6815,0.2433,0.0955,447,27.00,RIVN231013P00027000,3.35,-0.725,3.05,3.15,24,0.6921,-0.7611,0.0969,5
Fri Oct 13 2023,RIVN231013C00027500,0.36,0.12,0.33,0.37,179,0.6897,0.2051,0.0859,5092,27.50,RIVN231013P00027500,4.15,0,3.45,3.55,0,0.6855,-0.7998,0.0874,1
Fri Oct 13 2023,RIVN231013C00028000,0.28,0.085,0.27,0.29,46,0.6941,0.1722,0.0764,342,28.00,RIVN231013P00028000,5.15,0,3.9,4,0,0.7053,-0.8333,0.0779,2
Fri Oct 13 2023,RIVN231013C00028500,0.22,0.06,0.22,0.23,3,0.7003,0.1442,0.0672,111,28.50,RIVN231013P00028500,5.65,0,4.35,4.45,0,0.7164,-0.8618,0.0689,2
Fri Oct 13 2023,RIVN231013C00029000,0.18,0.045,0.17,0.19,35,0.7061,0.1206,0.0588,70,29.00,RIVN231013P00029000,4.85,-1.1,4.8,4.9,22,0.7173,-0.886,0.0604,20
Fri Oct 13 2023,RIVN231013C00029500,0,0,0,0,0,0,0,0,0,29.50,RIVN231013P00029500,0,0,0,0,0,0,0,0,0
Fri Oct 13 2023,RIVN231013C00030000,0.13,0.035,0.11,0.13,67,0.7251,0.0842,0.0442,1746,30.00,RIVN231013P00030000,7,0,5.75,5.85,0,0.7495,-0.9234,0.0459,2
Fri Oct 20 2023,RIVN231020C00020500,4.15,0.925,4.1,4.2,16,0.7002,0.8645,0.0527,203,20.50,RIVN231020P00020500,0.29,-0.245,0.28,0.3,326,0.6964,-0.1356,0.0528,576
Fri Oct 20 2023,RIVN231020C00021000,3.8,0.93,3.65,3.8,105,0.7021,0.8347,0.0612,526,21.00,RIVN231020P00021000,0.37,-0.295,0.36,0.38,245,0.6859,-0.1655,0.0614,2277
Fri Oct 20 2023,RIVN231020C00021500,3.41,0.89,3.3,3.4,68,0.6911,0.8003,0.07,419,21.50,RIVN231020P00021500,0.48,-0.35,0.46,0.48,61,0.6776,-0.2,0.0703,1079
Fri Oct 20 2023,RIVN231020C00022000,2.96,0.745,2.9,2.98,272,0.6728,0.7613,0.0786,1138,22.00,RIVN231020P00022000,0.6,-0.415,0.58,0.6,170,0.6697,-0.2391,0.079,1450
Fri Oct 20 2023,RIVN231020C00022500,2.68,0.755,2.55,2.63,550,0.6684,0.7181,0.0867,7830,22.50,RIVN231020P00022500,0.74,-0.485,0.73,0.76,7330,0.6687,-0.2826,0.0871,12868
Fri Oct 20 2023,RIVN231020C00023000,2.28,0.62,2.26,2.28,518,0.6646,0.6712,0.0938,2564,23.00,RIVN231020P00023000,0.89,-0.57,0.91,0.92,165,0.6606,-0.3297,0.0943,379
Fri Oct 20 2023,RIVN231020C00023500,1.97,0.54,1.96,1.99,1008,0.6585,0.6214,0.0994,1915,23.50,RIVN231020P00023500,1.11,-0.615,1.1,1.12,1784,0.6574,-0.3798,0.1,1673
Fri Oct 20 2023,RIVN231020C00024000,1.7,0.485,1.69,1.71,2495,0.6544,0.5698,0.1032,5221,24.00,RIVN231020P00024000,1.35,-0.665,1.33,1.35,651,0.6559,-0.4317,0.1039,397
Fri Oct 20 2023,RIVN231020C00024500,1.44,0.41,1.44,1.48,739,0.6565,0.5177,0.105,586,24.50,RIVN231020P00024500,1.53,-0.8,1.58,1.61,66,0.6517,-0.4842,0.1058,29
Fri Oct 20 2023,RIVN231020C00025000,1.24,0.365,1.23,1.25,2266,0.6518,0.4661,0.1049,14410,25.00,RIVN231020P00025000,1.87,-0.795,1.88,1.89,85,0.6515,-0.5362,0.1058,4764
Fri Oct 20 2023,RIVN231020C00025500,1.05,0.31,1.04,1.06,173,0.6516,0.4163,0.1028,380,25.50,RIVN231020P00025500,2.2,-0.85,2.18,2.2,121,0.6535,-0.5865,0.1038,129
Fri Oct 20 2023,RIVN231020C00026000,0.86,0.24,0.87,0.9,488,0.6545,0.3692,0.0992,2600,26.00,RIVN231020P00026000,2.47,-0.955,2.5,2.54,8,0.6519,-0.6341,0.1003,7
Fri Oct 20 2023,RIVN231020C00026500,0.75,0.23,0.73,0.76,172,0.6521,0.3253,0.0942,881,26.50,RIVN231020P00026500,3,-0.825,2.85,2.9,4,0.6516,-0.6784,0.0954,21
Fri Oct 20 2023,RIVN231020C00027000,0.61,0.17,0.61,0.63,163,0.6545,0.2853,0.0883,999,27.00,RIVN231020P00027000,3.1,-1.15,3.2,3.3,2,0.6512,-0.719,0.0897,1
Fri Oct 20 2023,RIVN231020C00027500,0.5,0.13,0.51,0.53,3962,0.6585,0.2492,0.0819,14610,27.50,RIVN231020P00027500,3.86,-0.815,3.6,3.7,15,0.6545,-0.7557,0.0833,1095
Fri Oct 20 2023,RIVN231020C00028000,0.41,0.1,0.42,0.45,65,0.6595,0.2171,0.0752,1015,28.00,RIVN231020P00028000,0,0,4,4.1,0,0.6484,-0.7884,0.0767,0
Fri Oct 20 2023,RIVN231020C00028500,0.36,0.095,0.35,0.37,49,0.6645,0.1887,0.0685,183,28.50,RIVN231020P00028500,6.55,0,4.45,4.55,0,0.6649,-0.8173,0.0702,2
Fri Oct 20 2023,RIVN231020C00029000,0.29,0.065,0.3,0.31,97,0.6723,0.1639,0.062,151,29.00,RIVN231020P00029000,0,0,4.9,5,0,0.6755,-0.8427,0.0637,0
Fri Oct 20 2023,RIVN231020C00029500,0.27,0.075,0.25,0.27,43,0.6773,0.1423,0.0559,214,29.50,RIVN231020P00029500,6.25,0,5.35,5.45,0,0.6795,-0.8649,0.0577,1
Fri Oct 20 2023,RIVN231020C00030000,0.22,0.055,0.21,0.22,2825,0.684,0.1236,0.0502,10613,30.00,RIVN231020P00030000,5.75,-1.225,5.8,5.9,3,0.6756,-0.8842,0.052,718
Fri Oct 27 2023,RIVN231027C00020500,2.91,0,4.2,4.35,0,0.6723,0.8439,0.0518,24,20.50,RIVN231027P00020500,0.39,-0.285,0.39,0.42,9,0.6818,-0.1567,0.052,63
Fri Oct 27 2023,RIVN231027C00021000,3.7,0.65,3.8,3.95,11,0.6661,0.8141,0.0587,52,21.00,RIVN231027P00021000,0.48,-0.345,0.49,0.52,16,0.6755,-0.1867,0.059,131
Fri Oct 27 2023,RIVN231027C00021500,3.09,0.385,3.45,3.55,5,0.6638,0.7808,0.0655,57,21.50,RIVN231027P00021500,0.68,-0.315,0.6,0.63,10,0.6656,-0.2202,0.0659,95
