Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Fri Oct 06 2023,SOFI231006C00003500,4.3,0,4.4,4.6,0,2.0096,0.999,0.0015,15,3.50,SOFI231006P00003500,0,0,0,0.75,0,6.147,-0.001,0.0016,0
Fri Oct 06 2023,SOFI231006C00004000,3.6,0,3.85,4.1,0,0,0.9982,0.0029,24,4.00,SOFI231006P00004000,0.02,0,0,0.03,0,2.4708,-0.0018,0.0029,20
Fri Oct 06 2023,SOFI231006C00004500,3.5,0.25,3.4,3.6,1,0,0.9969,0.0054,27,4.50,SOFI231006P00004500,0.01,0,0,0.03,0,2.0912,-0.0032,0.0054,2
Fri Oct 06 2023,SOFI231006C00005000,3.15,0.4,2.94,3.1,1,0,0.9945,0.0103,86,5.00,SOFI231006P00005000,0.01,0,0,0.01,0,1.491,-0.0056,0.0103,16
Fri Oct 06 2023,SOFI231006C00005500,2.51,0.26,2.44,2.58,5,1.3103,0.9901,0.0198,33,5.50,SOFI231006P00005500,0.03,0,0,0.03,0,1.4363,-0.01,0.0199,17
Fri Oct 06 2023,SOFI231006C00006000,2.01,0.255,1.93,2.1,44,1.1158,0.9815,0.0397,140,6.00,SOFI231006P00006000,0.01,0.005,0,0.01,14,0.9634,-0.0186,0.0397,2774
Fri Oct 06 2023,SOFI231006C00006500,1.52,0.255,1.46,1.6,58,0.897,0.9634,0.0834,111,6.50,SOFI231006P00006500,0.01,-0.005,0,0.01,9,0.725,-0.0367,0.0835,1030
Fri Oct 06 2023,SOFI231006C00007000,1.02,0.225,1.02,1.07,291,0,0.921,0.1874,390,7.00,SOFI231006P00007000,0.02,-0.025,0.01,0.02,937,0.6087,-0.0792,0.1876,2024
Fri Oct 06 2023,SOFI231006C00007500,0.56,0.155,0.56,0.57,1143,0.5389,0.8069,0.4364,1713,7.50,SOFI231006P00007500,0.06,-0.095,0.06,0.07,2479,0.5513,-0.1936,0.4374,3742
Fri Oct 06 2023,SOFI231006C00008000,0.24,0.075,0.23,0.24,6280,0.5264,0.5169,0.7348,6109,8.00,SOFI231006P00008000,0.22,-0.185,0.22,0.24,8543,0.535,-0.4848,0.7389,3575
