Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Fri Jul 21 2023,SPCE230721C00000500,3.34,0,3.45,3.5,0,0,0.9987,0.0014,1,0.50,SPCE230721P00000500,0,0,0,0.01,0,0,-0.0013,0.0014,0
Fri Jul 21 2023,SPCE230721C00001000,2.84,0,2.97,3.05,0,0,0.9969,0.0041,17,1.00,SPCE230721P00001000,0.01,0,0,0.01,0,8.1196,-0.003,0.0041,1721
Fri Jul 21 2023,SPCE230721C00001500,2.53,0.24,2.48,2.51,1,0,0.9941,0.0098,2,1.50,SPCE230721P00001500,0.01,0,0,0.02,0,6.4645,-0.0058,0.0098,2086
Fri Jul 21 2023,SPCE230721C00002000,2.01,0.215,1.97,2.01,15,0,0.9891,0.022,147,2.00,SPCE230721P00002000,0.01,0,0,0.01,0,4.2379,-0.0108,0.022,6016
Fri Jul 21 2023,SPCE230721C00002500,1.35,0,1.47,1.51,0,0,0.9792,0.0511,735,2.50,SPCE230721P00002500,0.02,0,0,0.01,0,2.9869,-0.0208,0.0511,771
Fri Jul 21 2023,SPCE230721C00003000,0.99,0.19,0.98,1.02,282,1.8954,0.956,0.1313,874,3.00,SPCE230721P00003000,0.01,0.005,0,0.01,75,1.9425,-0.0439,0.1313,32187
Fri Jul 21 2023,SPCE230721C00003500,0.48,0.155,0.49,0.51,420,0.9793,0.8852,0.419,1801,3.50,SPCE230721P00003500,0.01,-0.015,0.01,0.02,734,1.2922,-0.1148,0.4192,5695
Fri Jul 21 2023,SPCE230721C00004000,0.1,0.045,0.09,0.1,11264,0.7998,0.5084,1.4285,16730,4.00,SPCE230721P00004000,0.11,-0.15,0.1,0.11,6009,0.849,-0.4918,1.4299,11231
Fri Jul 21 2023,SPCE230721C00004500,0.02,0.005,0.02,0.03,5061,1.3259,0.14,0.5317,11495,4.50,SPCE230721P00004500,0.54,-0.18,0.51,0.55,192,1.3402,-0.8605,0.5329,3419
Fri Jul 21 2023,SPCE230721C00005000,0.01,0.005,0,0.01,873,1.5162,0.0721,0.235,17149,5.00,SPCE230721P00005000,1.05,-0.16,1,1.03,27,1.7406,-0.9284,0.2358,8588
