Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Thu Oct 05 2023,SPXW231005C04205000,47.5,-15.6,47.6,49,6,0.3257,0.8895,0.0051,57,4205.00,SPXW231005P04205000,1.8,0.025,1.65,1.75,2611,0.3237,-0.1105,0.0051,769
Thu Oct 05 2023,SPXW231005C04210000,43.44,-15.01,43.8,44.8,14,0.3223,0.8633,0.006,91,4210.00,SPXW231005P04210000,2.25,0.125,2.15,2.2,3189,0.3205,-0.1367,0.006,1696
Thu Oct 05 2023,SPXW231005C04215000,40.32,-13.58,39.3,40.4,27,0.3196,0.8326,0.0069,1096,4215.00,SPXW231005P04215000,2.9,0.325,2.75,2.8,2887,0.3181,-0.1674,0.0069,1878
Thu Oct 05 2023,SPXW231005C04220000,33.97,-15.48,35.1,35.9,74,0.3199,0.7973,0.0079,359,4220.00,SPXW231005P04220000,3.7,0.55,3.5,3.7,4083,0.3154,-0.2027,0.0079,2408
Thu Oct 05 2023,SPXW231005C04225000,30.37,-14.68,31.1,31.6,125,0.3173,0.7572,0.0088,401,4225.00,SPXW231005P04225000,4.8,1,4.5,4.6,2777,0.3118,-0.2428,0.0088,1746
Thu Oct 05 2023,SPXW231005C04230000,26.99,-13.86,27.2,27.7,89,0.3146,0.7125,0.0097,521,4230.00,SPXW231005P04230000,5.9,1.35,5.6,5.8,3391,0.3096,-0.2875,0.0097,6764
Thu Oct 05 2023,SPXW231005C04235000,22.5,-14.2,23.6,24,254,0.3114,0.6635,0.0104,866,4235.00,SPXW231005P04235000,7.3,1.75,7,7.1,2473,0.3067,-0.3365,0.0104,5695
Thu Oct 05 2023,SPXW231005C04240000,19.4,-13.45,20.2,20.6,376,0.307,0.6107,0.0111,2123,4240.00,SPXW231005P04240000,8.9,2.3,8.6,8.7,2758,0.3049,-0.3893,0.0111,1256
Thu Oct 05 2023,SPXW231005C04245000,16.5,-12.75,17.3,17.5,476,0.3058,0.5549,0.0115,536,4245.00,SPXW231005P04245000,11,3.05,10.3,10.5,1569,0.3015,-0.4451,0.0115,1001
Thu Oct 05 2023,SPXW231005C04250000,14.2,-11.4,14.5,14.6,864,0.3028,0.497,0.0117,1098,4250.00,SPXW231005P04250000,13.1,3.65,12.6,12.7,3273,0.3008,-0.503,0.0117,2837
Thu Oct 05 2023,SPXW231005C04255000,11.6,-10.75,11.9,12.1,1917,0.3011,0.4382,0.0117,749,4255.00,SPXW231005P04255000,15.8,4.6,15,15.1,2805,0.2968,-0.5618,0.0117,902
Thu Oct 05 2023,SPXW231005C04260000,9.4,-9.95,9.6,9.7,2631,0.2985,0.3797,0.0114,1724,4260.00,SPXW231005P04260000,18.7,5.5,17.8,17.9,3230,0.2952,-0.6203,0.0114,1174
Thu Oct 05 2023,SPXW231005C04265000,7.5,-9,7.6,7.8,3156,0.2961,0.3229,0.0108,1569,4265.00,SPXW231005P04265000,21.8,6.5,20.8,21,956,0.2926,-0.6771,0.0108,941
Thu Oct 05 2023,SPXW231005C04270000,5.7,-8.3,5.9,6,2474,0.293,0.269,0.01,2105,4270.00,SPXW231005P04270000,25.5,7.7,23.8,24.4,616,0.2892,-0.731,0.01,898
Thu Oct 05 2023,SPXW231005C04275000,4.35,-7.35,4.5,4.7,3989,0.2893,0.2192,0.0091,1907,4275.00,SPXW231005P04275000,28.63,8.08,27.4,28.2,412,0.2866,-0.7808,0.0091,1309
Thu Oct 05 2023,SPXW231005C04280000,3.25,-6.35,3.3,3.4,3105,0.2872,0.1744,0.008,3428,4280.00,SPXW231005P04280000,31.29,7.84,30.9,31.8,281,0.2841,-0.8256,0.008,543
Thu Oct 05 2023,SPXW231005C04285000,2.4,-5.4,2.45,2.5,3649,0.2825,0.1354,0.0068,1294,4285.00,SPXW231005P04285000,35.87,9.17,34.9,36.2,142,0.2808,-0.8646,0.0068,489
Thu Oct 05 2023,SPXW231005C04290000,1.65,-4.55,1.65,1.75,4519,0.2786,0.1024,0.0056,3249,4290.00,SPXW231005P04290000,40.02,10.07,39.1,40,126,0.2728,-0.8976,0.0056,2002
Thu Oct 05 2023,SPXW231005C04295000,1.1,-3.75,1.1,1.2,4515,0.2749,0.0754,0.0045,6359,4295.00,SPXW231005P04295000,43.1,9.5,43.8,45.2,19,0.2707,-0.9246,0.0045,267
