Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Wed Oct 04 2023,SPXW231004C01200000,0,0,3027.5,3028.6,0,0,1,0,0,1200.00,SPXW231004P01200000,0,0,0,0.05,0,0,0,0,0
Wed Oct 04 2023,SPXW231004C01400000,0,0,2827.5,2828.6,0,0,1,0,0,1400.00,SPXW231004P01400000,0,0,0,0.05,0,0,0,0,0
Wed Oct 04 2023,SPXW231004C01600000,0,0,2627.5,2628.6,0,0,1,0,13,1600.00,SPXW231004P01600000,0,0,0,0.05,0,0,0,0,0
Wed Oct 04 2023,SPXW231004C01800000,0,0,2427.5,2428.6,0,0,1,0,11,1800.00,SPXW231004P01800000,0,0,0,0.05,0,0,0,0,0
Wed Oct 04 2023,SPXW231004C02000000,0,0,2227.5,2228.6,0,0,0.9999,0,0,2000.00,SPXW231004P02000000,0,0,0,0.05,0,8.457,-0.0001,0,0
Wed Oct 04 2023,SPXW231004C02200000,0,0,2027.5,2028.6,0,8.3842,0.9999,0,0,2200.00,SPXW231004P02200000,0,0,0,0.05,0,7.4216,-0.0001,0,0
Wed Oct 04 2023,SPXW231004C02400000,0,0,1827.5,1828.6,0,7.2929,0.9999,0,0,2400.00,SPXW231004P02400000,0.05,0,0,0.05,0,6.4742,-0.0001,0,1
Wed Oct 04 2023,SPXW231004C02600000,0,0,1627.5,1628.6,0,6.2891,0.9999,0,0,2600.00,SPXW231004P02600000,0.1,0,0,0.05,0,5.5999,-0.0001,0,1077
Wed Oct 04 2023,SPXW231004C02800000,0,0,1427.5,1428.6,0,5.3593,0.9998,0,0,2800.00,SPXW231004P02800000,0.05,0,0,0.05,0,4.7869,-0.0002,0,636
Wed Oct 04 2023,SPXW231004C03000000,0,0,1227.5,1228.6,0,4.4924,0.9997,0,0,3000.00,SPXW231004P03000000,0.05,0,0,0.05,0,4.0256,-0.0003,0,5904
Wed Oct 04 2023,SPXW231004C03200000,0,0,1027.5,1028.6,0,3.6796,0.9996,0,0,3200.00,SPXW231004P03200000,0.05,0,0,0.05,0,3.3083,-0.0004,0,1078
Wed Oct 04 2023,SPXW231004C03300000,0,0,927.5,928.6,0,3.291,0.9996,0,0,3300.00,SPXW231004P03300000,0.05,0,0,0.05,0,2.9639,-0.0004,0,4854
Wed Oct 04 2023,SPXW231004C03400000,0,0,827.5,828.6,0,2.913,0.9995,0,0,3400.00,SPXW231004P03400000,0.05,0,0,0.05,0,2.6279,-0.0005,0,2470
Wed Oct 04 2023,SPXW231004C03450000,0,0,777.5,778.6,0,2.7278,0.9995,0,0,3450.00,SPXW231004P03450000,0.05,0,0,0.05,0,2.4629,-0.0005,0,1994
Wed Oct 04 2023,SPXW231004C03500000,0,0,727.5,728.6,0,2.5449,0.9994,0,0,3500.00,SPXW231004P03500000,0.05,0,0,0.05,0,2.2997,-0.0006,0,30302
Wed Oct 04 2023,SPXW231004C03550000,0,0,677.5,678.6,0,2.3642,0.9994,0,0,3550.00,SPXW231004P03550000,0.05,0,0,0.05,0,2.1382,-0.0006,0,29053
Wed Oct 04 2023,SPXW231004C03600000,626.85,0,627.5,628.6,0,2.1856,0.9993,0,6,3600.00,SPXW231004P03600000,0.05,0,0,0.05,0,1.9782,-0.0007,0,12007
Wed Oct 04 2023,SPXW231004C03625000,0,0,602.5,603.6,0,2.0971,0.9992,0,0,3625.00,SPXW231004P03625000,0,0,0,0.05,0,1.8988,-0.0008,0,0
Wed Oct 04 2023,SPXW231004C03650000,0,0,577.5,578.6,0,2.009,0.9992,0,0,3650.00,SPXW231004P03650000,0.05,0,0,0.05,0,1.8198,-0.0008,0,2829
Wed Oct 04 2023,SPXW231004C03675000,0,0,552.5,553.6,0,1.9214,0.9992,0,0,3675.00,SPXW231004P03675000,0.1,0,0,0.05,0,1.7411,-0.0008,0,2045
Wed Oct 04 2023,SPXW231004C03700000,0,0,527.5,528.6,0,1.8343,0.9991,0,0,3700.00,SPXW231004P03700000,0.05,0,0,0.05,0,1.6627,-0.0009,0,9289
Wed Oct 04 2023,SPXW231004C03725000,0,0,502.5,503.6,0,1.7476,0.9991,0,0,3725.00,SPXW231004P03725000,0.1,0,0,0.05,0,1.5846,-0.0009,0,1280
Wed Oct 04 2023,SPXW231004C03750000,519.97,0,477.5,478.6,0,1.6613,0.999,0,0,3750.00,SPXW231004P03750000,0.07,0,0,0.05,0,1.5069,-0.001,0,2346
Wed Oct 04 2023,SPXW231004C03775000,0,0,452.5,453.6,0,1.5754,0.9989,0,0,3775.00,SPXW231004P03775000,0.1,0,0,0.05,0,1.4294,-0.0011,0,4219
Wed Oct 04 2023,SPXW231004C03800000,0,0,427.5,428.6,0,1.4898,0.9989,0,0,3800.00,SPXW231004P03800000,0.08,0,0,0.05,0,1.3521,-0.0011,0,4642
Wed Oct 04 2023,SPXW231004C03825000,401.59,0,402.5,403.6,0,1.4046,0.9988,0,2,3825.00,SPXW231004P03825000,0.1,0,0,0.05,0,1.2751,-0.0012,0,733
Wed Oct 04 2023,SPXW231004C03850000,484.65,0,377.5,378.6,0,1.3197,0.9987,0,15,3850.00,SPXW231004P03850000,0.1,0,0,0.05,0,1.1983,-0.0013,0,1594
Wed Oct 04 2023,SPXW231004C03875000,0,0,352.5,353.6,0,1.235,0.9986,0,0,3875.00,SPXW231004P03875000,0.05,-0.075,0,0.05,10,1.1216,-0.0014,0,2547
Wed Oct 04 2023,SPXW231004C03900000,0,0,327.5,328.6,0,1.1507,0.9985,0,0,3900.00,SPXW231004P03900000,0.05,-0.075,0,0.05,10,1.0452,-0.0015,0,6470
Wed Oct 04 2023,SPXW231004C03910000,0,0,317.5,318.6,0,1.117,0.9985,0,0,3910.00,SPXW231004P03910000,0,0,0,0.05,0,1.0146,-0.0015,0,0
Wed Oct 04 2023,SPXW231004C03920000,0,0,307.5,308.6,0,1.0833,0.9984,0,0,3920.00,SPXW231004P03920000,0,0,0,0.05,0,0.9841,-0.0016,0,0
Wed Oct 04 2023,SPXW231004C03925000,0,0,302.5,303.6,0,1.0665,0.9984,0,0,3925.00,SPXW231004P03925000,0.15,0,0,0.05,0,0.9688,-0.0016,0,700
Wed Oct 04 2023,SPXW231004C03930000,0,0,297.5,298.6,0,1.0497,0.9984,0,0,3930.00,SPXW231004P03930000,0.05,0.05,0,0.05,1,0.9535,-0.0016,0,0
