Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Mon Oct 02 2023,SPY231002C00419000,8.68,-1.34,8.8,8.93,5,0.1378,0.9492,0.0192,15,419.00,SPY231002P00419000,0.11,-0.315,0.09,0.1,9133,0.1344,-0.0506,0.0192,6324
Mon Oct 02 2023,SPY231002C00420000,7.86,-1.255,7.84,7.97,417,0.1336,0.9329,0.0247,383,420.00,SPY231002P00420000,0.13,-0.375,0.13,0.14,40410,0.1311,-0.0669,0.0248,14234
Mon Oct 02 2023,SPY231002C00421000,7.12,-1.1,6.9,7.02,153,0.1296,0.9102,0.0317,630,421.00,SPY231002P00421000,0.2,-0.415,0.19,0.2,13625,0.1284,-0.0896,0.0318,6695
Mon Oct 02 2023,SPY231002C00422000,5.87,-1.475,5.99,6.1,780,0.1267,0.8794,0.0404,1316,422.00,SPY231002P00422000,0.28,-0.465,0.27,0.28,25707,0.1252,-0.1206,0.0405,10267
Mon Oct 02 2023,SPY231002C00423000,5.11,-1.385,5.12,5.22,1534,0.1248,0.839,0.0503,991,423.00,SPY231002P00423000,0.39,-0.515,0.39,0.4,41057,0.123,-0.1612,0.0504,21864
Mon Oct 02 2023,SPY231002C00424000,4.36,-1.33,4.29,4.37,1174,0.122,0.7877,0.061,1049,424.00,SPY231002P00424000,0.56,-0.53,0.55,0.56,81772,0.1205,-0.2126,0.0612,27919
Mon Oct 02 2023,SPY231002C00425000,3.54,-1.38,3.51,3.58,9946,0.1195,0.7253,0.0716,3944,425.00,SPY231002P00425000,0.77,-0.545,0.77,0.78,79481,0.1186,-0.2753,0.0718,20357
Mon Oct 02 2023,SPY231002C00426000,2.84,-1.35,2.81,2.84,25021,0.117,0.6519,0.0809,4629,426.00,SPY231002P00426000,1.05,-0.545,1.04,1.05,83410,0.1155,-0.3489,0.0812,9971
Mon Oct 02 2023,SPY231002C00427000,2.16,-1.37,2.17,2.18,57814,0.1142,0.5693,0.0878,5205,427.00,SPY231002P00427000,1.41,-0.505,1.39,1.41,98665,0.113,-0.4319,0.0881,9128
Mon Oct 02 2023,SPY231002C00428000,1.62,-1.285,1.62,1.63,68534,0.1125,0.4799,0.0908,7241,428.00,SPY231002P00428000,1.84,-0.465,1.83,1.85,91284,0.1106,-0.5209,0.0912,10726
Mon Oct 02 2023,SPY231002C00429000,1.16,-1.195,1.16,1.17,71153,0.1105,0.3886,0.089,5762,429.00,SPY231002P00429000,2.4,-0.35,2.37,2.4,81002,0.1088,-0.6127,0.0896,6329
Mon Oct 02 2023,SPY231002C00430000,0.8,-1.075,0.79,0.8,109061,0.1084,0.3002,0.0824,19137,430.00,SPY231002P00430000,3.03,-0.24,3,3.05,91290,0.1071,-0.7019,0.0831,7793
Mon Oct 02 2023,SPY231002C00431000,0.52,-0.935,0.52,0.53,83386,0.1073,0.2198,0.0714,9793,431.00,SPY231002P00431000,3.76,-0.095,3.71,3.79,56877,0.1051,-0.7832,0.0723,10520
Mon Oct 02 2023,SPY231002C00432000,0.33,-0.765,0.32,0.33,93039,0.1057,0.1518,0.0576,16929,432.00,SPY231002P00432000,4.59,0.085,4.47,4.6,21864,0.1008,-0.8523,0.0586,5816
Mon Oct 02 2023,SPY231002C00433000,0.18,-0.625,0.18,0.19,46312,0.1035,0.0988,0.0432,12406,433.00,SPY231002P00433000,5.45,0.25,5.35,5.47,4830,0.098,-0.9066,0.0444,1366
Mon Oct 02 2023,SPY231002C00434000,0.09,-0.485,0.09,0.1,44480,0.1008,0.0613,0.0303,8870,434.00,SPY231002P00434000,6.6,0.63,6.26,6.39,1235,0.0899,-0.9457,0.0315,1456
Mon Oct 02 2023,SPY231002C00435000,0.04,-0.365,0.04,0.05,35942,0.0986,0.0367,0.0201,10980,435.00,SPY231002P00435000,7.35,0.55,6.05,8.47,1189,0,-0.9716,0.0214,5125
Mon Oct 02 2023,SPY231002C00436000,0.03,-0.245,0.02,0.03,14420,0.1001,0.0221,0.013,7574,436.00,SPY231002P00436000,7.69,0.005,7.06,8.91,392,0,-0.9874,0.0144,35
Mon Oct 02 2023,SPY231002C00437000,0.02,-0.175,0.01,0.02,13112,0.1029,0.0138,0.0085,7134,437.00,SPY231002P00437000,10.06,1.46,8.03,10.67,312,0.1338,-0.996,0.0088,27
Mon Oct 02 2023,SPY231002C00438000,0.02,-0.115,0.01,0.02,7640,0.1129,0.0093,0.0058,6720,438.00,SPY231002P00438000,9.58,-0.005,9.07,10.91,172,0,-0.9992,0.0021,14
Tue Oct 03 2023,SPY231003C00419000,7.92,-2.365,9.11,9.23,3,0.1576,0.8943,0.0254,42,419.00,SPY231003P00419000,0.36,-0.265,0.33,0.34,2787,0.1564,-0.1058,0.0255,1440
Tue Oct 03 2023,SPY231003C00420000,9.25,-0.15,8.21,8.32,98,0.155,0.8705,0.0299,161,420.00,SPY231003P00420000,0.43,-0.305,0.43,0.44,13662,0.1546,-0.1295,0.03,3552
Tue Oct 03 2023,SPY231003C00421000,6.72,-1.815,7.33,7.43,60,0.1521,0.8419,0.0349,155,421.00,SPY231003P00421000,0.59,-0.285,0.55,0.56,6090,0.1522,-0.1582,0.035,1667
Tue Oct 03 2023,SPY231003C00422000,6.61,-1.075,6.48,6.57,26,0.1494,0.8081,0.0402,226,422.00,SPY231003P00422000,0.71,-0.325,0.69,0.7,5290,0.149,-0.1923,0.0404,1983
Tue Oct 03 2023,SPY231003C00423000,5.69,-1.185,5.67,5.75,127,0.1472,0.7686,0.0457,407,423.00,SPY231003P00423000,0.88,-0.335,0.88,0.89,10046,0.1472,-0.232,0.0458,4343
Tue Oct 03 2023,SPY231003C00424000,4.9,-1.195,4.89,4.96,803,0.1443,0.7234,0.051,739,424.00,SPY231003P00424000,1.1,-0.335,1.08,1.1,7403,0.1437,-0.2774,0.0513,4117
Tue Oct 03 2023,SPY231003C00425000,4.21,-1.14,4.16,4.21,2279,0.1414,0.6727,0.0561,2076,425.00,SPY231003P00425000,1.36,-0.33,1.34,1.36,19769,0.1408,-0.3284,0.0563,4798
Tue Oct 03 2023,SPY231003C00426000,3.53,-1.115,3.49,3.52,7260,0.1391,0.6166,0.0604,1582,426.00,SPY231003P00426000,1.66,-0.325,1.66,1.67,22445,0.1382,-0.3848,0.0607,7177
Tue Oct 03 2023,SPY231003C00427000,2.87,-1.115,2.87,2.89,11864,0.1368,0.5557,0.0636,2064,427.00,SPY231003P00427000,2.04,-0.285,2.03,2.05,20918,0.1357,-0.4459,0.0641,4621
Tue Oct 03 2023,SPY231003C00428000,2.31,-1.07,2.31,2.33,14218,0.1345,0.4914,0.0655,4314,428.00,SPY231003P00428000,2.48,-0.235,2.47,2.48,17880,0.133,-0.5106,0.066,2795
Tue Oct 03 2023,SPY231003C00429000,1.81,-1.005,1.82,1.83,17747,0.132,0.4251,0.0656,3189,429.00,SPY231003P00429000,3,-0.16,2.97,2.99,21082,0.1304,-0.5776,0.0662,5444
Tue Oct 03 2023,SPY231003C00430000,1.41,-0.905,1.4,1.41,25388,0.13,0.3585,0.0638,6434,430.00,SPY231003P00430000,3.6,-0.06,3.54,3.59,16540,0.1286,-0.6446,0.0645,3551
