Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Fri Oct 06 2023,TSLA231006C00227500,24.2,3.875,23.9,24.65,227,0.6071,0.8808,0.0094,347,227.50,TSLA231006P00227500,1.28,-0.85,1.24,1.29,3660,0.6077,-0.1195,0.0094,1838
Fri Oct 06 2023,TSLA231006C00230000,22.33,4.005,21.95,22.25,839,0.6037,0.8556,0.0108,2925,230.00,TSLA231006P00230000,1.59,-1.05,1.54,1.61,27169,0.6007,-0.1447,0.0108,15054
Fri Oct 06 2023,TSLA231006C00232500,20.15,3.7,19.9,20.15,347,0.5977,0.8264,0.0123,682,232.50,TSLA231006P00232500,1.98,-1.27,1.96,2.02,4837,0.5964,-0.174,0.0124,3070
Fri Oct 06 2023,TSLA231006C00235000,17.9,3.25,17.85,18.15,1974,0.5916,0.7933,0.0139,3097,235.00,TSLA231006P00235000,2.48,-1.47,2.44,2.5,14977,0.5916,-0.2072,0.0139,8965
Fri Oct 06 2023,TSLA231006C00237500,16.05,3.1,15.95,16.2,520,0.589,0.7563,0.0153,2989,237.50,TSLA231006P00237500,3.07,-1.705,3,3.1,9307,0.5869,-0.2443,0.0154,5152
Fri Oct 06 2023,TSLA231006C00240000,14.1,2.75,14.1,14.4,6820,0.5821,0.7158,0.0167,11784,240.00,TSLA231006P00240000,3.7,-1.975,3.65,3.75,36853,0.5803,-0.2849,0.0168,22440
Fri Oct 06 2023,TSLA231006C00242500,12.5,2.6,12.4,12.65,1667,0.5771,0.6721,0.018,3670,242.50,TSLA231006P00242500,4.5,-2.2,4.4,4.55,6413,0.5734,-0.3287,0.018,5337
Fri Oct 06 2023,TSLA231006C00245000,10.85,2.325,10.75,11.05,9428,0.571,0.6258,0.019,6351,245.00,TSLA231006P00245000,5.3,-2.525,5.2,5.45,18340,0.5695,-0.3752,0.0191,11175
Fri Oct 06 2023,TSLA231006C00247500,9.4,2.1,9.25,9.5,9314,0.5656,0.5772,0.0198,4535,247.50,TSLA231006P00247500,6.35,-2.75,6.2,6.4,14880,0.5622,-0.424,0.0199,4518
Fri Oct 06 2023,TSLA231006C00250000,8,1.85,7.9,8.1,37357,0.5548,0.5269,0.0204,13135,250.00,TSLA231006P00250000,7.6,-2.85,7.4,7.55,39673,0.5587,-0.4745,0.0205,13574
Fri Oct 06 2023,TSLA231006C00252500,6.72,1.57,6.65,6.8,21060,0.5529,0.4755,0.0206,5005,252.50,TSLA231006P00252500,8.75,-3.2,8.6,8.8,13430,0.5531,-0.5262,0.0208,4699
Fri Oct 06 2023,TSLA231006C00255000,5.65,1.375,5.55,5.65,41917,0.5453,0.4238,0.0206,11196,255.00,TSLA231006P00255000,10,-3.55,9.95,10.2,6941,0.5454,-0.5782,0.0207,7989
Fri Oct 06 2023,TSLA231006C00257500,4.6,1.1,4.55,4.65,12324,0.5394,0.3726,0.0201,6415,257.50,TSLA231006P00257500,11.6,-3.725,11.4,11.7,2281,0.5392,-0.6298,0.0202,3151
Fri Oct 06 2023,TSLA231006C00260000,3.75,0.905,3.65,3.8,58216,0.5333,0.3229,0.0193,22192,260.00,TSLA231006P00260000,13.2,-3.975,13.05,13.3,3470,0.5308,-0.68,0.0195,5758
Fri Oct 06 2023,TSLA231006C00262500,2.98,0.695,2.94,3,14828,0.5271,0.2757,0.0182,10640,262.50,TSLA231006P00262500,15.07,-4.055,14.8,15.1,495,0.5244,-0.7276,0.0184,2123
Fri Oct 06 2023,TSLA231006C00265000,2.33,0.495,2.32,2.39,33166,0.5229,0.232,0.0168,28229,265.00,TSLA231006P00265000,16.85,-4.3,16.65,16.95,823,0.5213,-0.7718,0.017,3417
