Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Fri Sep 22 2023,VALE230922C00009500,0,0,4.8,4.85,0,1.2167,0.9888,0.0107,0,9.50,VALE230922P00009500,0,0,0,0.03,0,1.4182,-0.0108,0.0107,0
Fri Sep 22 2023,VALE230922C00010000,3.6,0,4.3,4.35,0,1.0627,0.9868,0.0138,7,10.00,VALE230922P00010000,0,0,0,0.02,0,1.1894,-0.0129,0.0138,0
Fri Sep 22 2023,VALE230922C00010500,0,0,3.8,3.85,0,0.9162,0.9841,0.0182,0,10.50,VALE230922P00010500,0,0,0,0.02,0,1.0455,-0.0155,0.0182,0
Fri Sep 22 2023,VALE230922C00011000,2.28,0,3.3,3.35,0,0.7766,0.9807,0.0246,2,11.00,VALE230922P00011000,0.1,0,0,0.02,0,0.9068,-0.019,0.0246,1011
Fri Sep 22 2023,VALE230922C00011500,0,0,2.8,2.85,0,0.6433,0.976,0.0341,0,11.50,VALE230922P00011500,0.05,0,0,0.03,0,0.8233,-0.0237,0.0342,1104
Fri Sep 22 2023,VALE230922C00012000,2.48,0,2.3,2.35,0,0.5156,0.9693,0.0494,8,12.00,VALE230922P00012000,0.01,-0.005,0,0.02,5,0.6416,-0.0304,0.0494,66
Fri Sep 22 2023,VALE230922C00012500,1.28,0,1.81,1.85,0,0.4786,0.9592,0.0759,95,12.50,VALE230922P00012500,0.01,-0.005,0,0.02,1,0.5133,-0.0405,0.076,238
Fri Sep 22 2023,VALE230922C00013000,1.33,0,1.31,1.36,0,0.392,0.9416,0.1285,264,13.00,VALE230922P00013000,0.02,-0.005,0.01,0.03,10,0.4417,-0.0581,0.1287,670
Fri Sep 22 2023,VALE230922C00013500,0.89,-0.08,0.84,0.88,30,0.3481,0.8914,0.2651,1531,13.50,VALE230922P00013500,0.04,0,0.03,0.04,9,0.3471,-0.1085,0.2657,163
Fri Sep 22 2023,VALE230922C00014000,0.41,-0.135,0.42,0.46,191,0.3112,0.7116,0.5582,1013,14.00,VALE230922P00014000,0.12,0.005,0.1,0.12,398,0.3038,-0.2888,0.5603,455
