
,Cboe data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.\n
,To access our full collection of comprehensive historical market data visit CBOE Data Shop at https://datashop.cboe.com.\n
Date,Open,High,Low,Close
7/5/2023,8.23,10.1,7.57,9.99
7/6/2023,9.57,13.96,9.57,13.92
7/7/2023,10.13,11.75,8.38,11.25
7/10/2023,8.68,10.61,7.96,10.48
7/11/2023,8.59,16.33,8.29,15.91
7/12/2023,10.26,11.21,8.43,10.62
7/13/2023,8.59,12.06,7.6,12.06
7/14/2023,8.77,10.57,7.96,10.17
7/17/2023,7.68,9.85,7.19,9.72
7/18/2023,7.51,10.6,6.92,9.63
7/19/2023,8.15,11.74,7.56,10.65
7/20/2023,8.57,12.29,8.18,11.26
7/21/2023,9.03,10.39,8.15,9.73
7/24/2023,7.66,9.54,7.03,9.32
7/25/2023,8.42,16.41,7.87,15.14
7/26/2023,13.14,14.79,10.39,10.42
7/27/2023,8,16.74,7.12,14.81
7/28/2023,8.76,11.39,8.46,10.47
7/31/2023,8.22,9.86,7.65,9.38
8/1/2023,8.39,9.65,7.46,9.42
8/2/2023,9.66,14.2,9.14,13.79
8/3/2023,10.62,16.62,10,15.3
8/4/2023,10.48,16.94,8.86,14.69
8/7/2023,9.22,11.08,8.7,10.49
8/8/2023,9.61,12.05,9.39,11.08
8/9/2023,9.47,18.44,9.03,17.44
8/10/2023,11.78,16.74,10.76,15.26
8/11/2023,12.18,14.19,11.59,12.98
8/14/2023,10.63,11.96,9.45,11.77
8/15/2023,10.15,14.63,9.83,14.2
8/16/2023,10.62,14.91,10.22,14.16
8/17/2023,10.43,16.38,10.43,15.97
8/18/2023,12.25,16.6,11.97,16.14
8/21/2023,10.91,13.66,10.19,13.6
8/22/2023,9.99,13.33,9.87,12.82
8/23/2023,10.18,15.37,10.18,15.34
8/24/2023,10.47,17.83,10.47,17.36
8/25/2023,15.21,16.59,13.85,13.96
8/28/2023,9.82,11.97,9.76,11.35
8/29/2023,9.79,12.31,9.42,12.31
8/30/2023,10.05,12.01,9.65,11.98
8/31/2023,9.85,12.72,9.44,12.72
9/1/2023,10.02,11.24,8.93,10.44
9/5/2023,8.74,9.96,8.17,9.93
9/6/2023,8.81,11.35,8.2,10.64
9/7/2023,9.71,11.05,9.39,11.05
9/8/2023,9.75,11.11,8.41,10.92
9/11/2023,8.11,9.98,7.76,9.98
9/12/2023,8.43,13.82,8.11,13.78
9/13/2023,10.1,11.5,8.61,11.01
9/14/2023,8.58,12.19,8.21,11.93
9/15/2023,9.14,11.67,8.52,10.59
9/18/2023,8.84,10.03,7.89,9.58
9/19/2023,8.39,14.15,8.2,13.79
9/20/2023,13.09,15.29,12.32,13.84
9/21/2023,11.32,19.09,10.51,19.09
9/22/2023,11.52,19.07,10.87,17.49
9/25/2023,12.63,16.28,11.39,14.96
9/26/2023,12.38,17.15,11.46,16.95
9/27/2023,11.66,18.23,11.32,17.53
9/28/2023,14.94,19.47,14.2,19.47
9/29/2023,13.47,18.97,12.43,17.29
10/2/2023,12.55,22.72,11.6,14.64
