Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Wed Oct 04 2023,VIXW231004C00013000,7.23,0,0,0,0,0,0.9983,0.0016,337,13.00,VIXW231004P00013000,0.01,0,0,0,0,0,-0.0017,0.0016,61
Wed Oct 04 2023,VIXW231004C00013500,4.81,0,0,0,0,0,0.998,0.002,79,13.50,VIXW231004P00013500,0.01,0,0,0,0,0,-0.002,0.002,479
Wed Oct 04 2023,VIXW231004C00014000,6.4,0,0,0,0,0,0.9978,0.0024,581,14.00,VIXW231004P00014000,0.01,0,0,0,0,0,-0.0022,0.0024,1799
Wed Oct 04 2023,VIXW231004C00014500,5.64,0,0,0,0,0,0.9974,0.003,307,14.50,VIXW231004P00014500,0.01,0,0,0,0,0,-0.0026,0.003,127
Wed Oct 04 2023,VIXW231004C00015000,5.15,0,0,0,0,0,0.997,0.0038,953,15.00,VIXW231004P00015000,0.01,0,0,0,0,0,-0.003,0.0038,863
Wed Oct 04 2023,VIXW231004C00016000,4,0,0,0,0,0,0.996,0.006,738,16.00,VIXW231004P00016000,0.01,0,0,0,0,0,-0.004,0.006,2294
Wed Oct 04 2023,VIXW231004C00017000,3,0,0,0,0,0,0.9944,0.0101,3508,17.00,VIXW231004P00017000,0.02,0,0,0,0,0,-0.0056,0.0101,1570
Wed Oct 04 2023,VIXW231004C00018000,2.07,0,0,0,0,0,0.9918,0.019,7801,18.00,VIXW231004P00018000,0.01,0,0,0,0,0,-0.0082,0.019,735
Wed Oct 04 2023,VIXW231004C00019000,1,0,0,0,0,0,0.9862,0.046,3017,19.00,VIXW231004P00019000,0.05,0,0,0,0,0,-0.0138,0.046,440
Wed Oct 04 2023,VIXW231004C00020000,0.33,0,0,0,0,0,0.7934,0.3675,3805,20.00,VIXW231004P00020000,0.44,0,0,0,0,0,-0.2066,0.3675,407
Wed Oct 04 2023,VIXW231004C00021000,0.12,0,0,0,0,0,0.3327,0.4279,6920,21.00,VIXW231004P00021000,1.35,0,0,0,0,0,-0.6673,0.4279,2319
Wed Oct 04 2023,VIXW231004C00022000,0.06,0,0,0,0,0,0.1042,0.1727,1650,22.00,VIXW231004P00022000,2.12,0,0,0,0,0,-0.8958,0.1727,274
Wed Oct 04 2023,VIXW231004C00023000,0.05,0,0,0,0,0,0.024,0.0501,883,23.00,VIXW231004P00023000,2.75,0,0,0,0,0,-0.976,0.0501,55
Wed Oct 04 2023,VIXW231004C00024000,0.04,0,0,0,0,0,0.0099,0.0199,1319,24.00,VIXW231004P00024000,3.61,0,0,0,0,0,-0.9901,0.0199,21
Wed Oct 04 2023,VIXW231004C00025000,0.06,0,0,0,0,0,0.0076,0.013,5220,25.00,VIXW231004P00025000,7.18,0,0,0,0,0,-0.9924,0.013,1
Wed Oct 04 2023,VIXW231004C00026000,0.04,0,0,0,0,0,0.0064,0.0095,1085,26.00,VIXW231004P00026000,8.88,0,0,0,0,0,-0.9936,0.0095,3
Wed Oct 04 2023,VIXW231004C00027000,0.05,0,0,0,0,0,0.0055,0.0073,837,27.00,VIXW231004P00027000,7.66,0,0,0,0,0,-0.9945,0.0073,2
Wed Oct 04 2023,VIXW231004C00028000,0.02,0,0,0,0,0,0.0048,0.0059,5569,28.00,VIXW231004P00028000,10.23,0,0,0,0,0,-0.9952,0.0059,11
Wed Oct 04 2023,VIXW231004C00029000,0.02,0,0,0,0,0,0.0043,0.0049,405,29.00,VIXW231004P00029000,0,0,0,0,0,0,-0.9957,0.0049,0
Wed Oct 04 2023,VIXW231004C00030000,0.02,0,0,0,0,0,0.0039,0.0041,1259,30.00,VIXW231004P00030000,11.9,0,0,0,0,0,-0.9961,0.0041,10
Wed Oct 11 2023,VIXW231011C00013000,6.61,0,7.1,7.59,0,2.7664,0.9153,0.0217,44,13.00,VIXW231011P00013000,0.03,0,0,0.06,0,1.5258,-0.0302,0.0141,56
Wed Oct 11 2023,VIXW231011C00013500,4.16,0,6.59,7.1,0,2.5794,0.8978,0.025,57,13.50,VIXW231011P00013500,0.02,0,0,0.06,0,1.4071,-0.0325,0.0162,103
Wed Oct 11 2023,VIXW231011C00014000,5.63,0,6.09,6.61,0,2.4073,0.8785,0.0284,48,14.00,VIXW231011P00014000,0.03,0,0,0.06,0,1.2921,-0.0351,0.0188,189
Wed Oct 11 2023,VIXW231011C00014500,5.44,0,5.58,6.12,0,2.2303,0.8575,0.0317,98,14.50,VIXW231011P00014500,0.05,0,0,0.06,0,1.1803,-0.0381,0.022,86
Wed Oct 11 2023,VIXW231011C00015000,4.7,0,5.08,5.64,0,2.0744,0.835,0.035,654,15.00,VIXW231011P00015000,0.04,0,0.01,0.08,0,1.1516,-0.0502,0.0284,772
Wed Oct 11 2023,VIXW231011C00016000,3.9,0,4.09,4.7,0,1.7895,0.8038,0.0443,1138,16.00,VIXW231011P00016000,0.07,0,0.01,0.15,0,1.0496,-0.0888,0.0464,1044
Wed Oct 11 2023,VIXW231011C00017000,2.92,0,3.18,3.82,0,1.5905,0.7598,0.0558,1141,17.00,VIXW231011P00017000,0.25,0,0.04,0.3,0,1.0028,-0.1566,0.07,1379
Wed Oct 11 2023,VIXW231011C00018000,2.21,0,2.39,3.03,0,1.4726,0.6996,0.0681,285,18.00,VIXW231011P00018000,0.52,0,0.21,0.56,0,1.0211,-0.2504,0.0921,687
Wed Oct 11 2023,VIXW231011C00019000,1.7,0,1.77,2.36,0,1.4292,0.6242,0.0787,4730,19.00,VIXW231011P00019000,0.93,0,0.53,0.95,0,1.0459,-0.3599,0.1063,443
Wed Oct 11 2023,VIXW231011C00020000,1.31,0,1.4,1.83,0,1.4757,0.5406,0.0842,1533,20.00,VIXW231011P00020000,1.57,0,1,1.46,0,1.0632,-0.4716,0.111,514
Wed Oct 11 2023,VIXW231011C00021000,1.1,0,0.94,1.44,0,1.4575,0.4598,0.0835,262,21.00,VIXW231011P00021000,2,0,1.58,2.09,0,1.065,-0.5755,0.1067,86
Wed Oct 11 2023,VIXW231011C00022000,0.72,0,0.68,1.16,0,1.5037,0.3894,0.0785,534,22.00,VIXW231011P00022000,2.82,0,2.31,2.82,0,1.078,-0.6645,0.0964,48
Wed Oct 11 2023,VIXW231011C00023000,0.66,0,0.55,0.96,0,1.5908,0.3316,0.0715,771,23.00,VIXW231011P00023000,3.78,0,3.08,3.66,0,1.075,-0.7295,0.0826,64
Wed Oct 11 2023,VIXW231011C00024000,0.6,0,0.44,0.8,0,1.6633,0.2832,0.0644,1051,24.00,VIXW231011P00024000,4.62,0,3.91,4.54,0,1.0377,-0.7801,0.0702,54
Wed Oct 11 2023,VIXW231011C00025000,0.44,0,0.37,0.68,0,1.7441,0.2442,0.0576,810,25.00,VIXW231011P00025000,5.44,0,4.8,5.45,0,0.9498,-0.8194,0.0595,1
Wed Oct 11 2023,VIXW231011C00026000,0.4,0,0.31,0.59,0,1.8205,0.2132,0.0514,311,26.00,VIXW231011P00026000,10.61,0,5.73,6.38,0,0,-0.8504,0.0505,2
Wed Oct 11 2023,VIXW231011C00027000,0.33,0,0.26,0.53,0,1.9006,0.1902,0.046,778,27.00,VIXW231011P00027000,8.2,0,6.67,7.33,0,0,-0.8735,0.0432,17
Wed Oct 11 2023,VIXW231011C00028000,0.29,0,0.22,0.48,0,1.9764,0.171,0.0414,623,28.00,VIXW231011P00028000,0,0,7.63,8.29,0,0,-0.8921,0.0371,0
Wed Oct 11 2023,VIXW231011C00029000,0.23,0,0.19,0.43,0,2.0437,0.1532,0.0373,127,29.00,VIXW231011P00029000,0,0,8.59,9.25,0,0,-0.9095,0.0317,0
Wed Oct 11 2023,VIXW231011C00030000,0.24,0,0.17,0.39,0,2.1143,0.1386,0.0338,526,30.00,VIXW231011P00030000,0,0,9.56,10.23,0,0,-0.9197,0.0278,0
Wed Oct 18 2023,VIX231018C00013000,6.73,0,7,7.2,0,0,0.9869,0.0071,2477,13.00,VIX231018P00013000,0.02,0,0,0.03,0,1.0026,-0.0109,0.0072,42444
Wed Oct 18 2023,VIX231018C00013500,6.15,0,6.5,6.7,0,0,0.9824,0.0099,841,13.50,VIX231018P00013500,0.02,0,0.02,0.03,0,0.9962,-0.0154,0.0099,76044
