Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Wed Oct 04 2023,VIXW231004C00010000,10.53,0,0,0,0,0,0.9998,0.0002,72,10.00,VIXW231004P00010000,0.01,0,0,0,0,0,-0.0002,0.0002,4
Wed Oct 04 2023,VIXW231004C00010500,7.25,0,0,0,0,0,0.9995,0.0004,0,10.50,VIXW231004P00010500,0,0,0,0,0,0,-0.0005,0.0004,0
Wed Oct 04 2023,VIXW231004C00011000,0,0,0,0,0,0,0.9991,0.0007,0,11.00,VIXW231004P00011000,0,0,0,0,0,0,-0.0009,0.0007,0
Wed Oct 04 2023,VIXW231004C00011500,0,0,0,0,0,0,0.9989,0.0009,0,11.50,VIXW231004P00011500,0,0,0,0,0,0,-0.0011,0.0009,0
Wed Oct 04 2023,VIXW231004C00012000,7.46,0,0,0,0,0,0.9987,0.0011,379,12.00,VIXW231004P00012000,0.01,0,0,0,0,0,-0.0013,0.0011,3
Wed Oct 04 2023,VIXW231004C00012500,6,0,0,0,0,0,0.9985,0.0013,28,12.50,VIXW231004P00012500,0.03,0,0,0,0,0,-0.0015,0.0013,25
Wed Oct 04 2023,VIXW231004C00013000,7.23,0,0,0,0,0,0.9983,0.0016,337,13.00,VIXW231004P00013000,0.01,0,0,0,0,0,-0.0017,0.0016,61
Wed Oct 04 2023,VIXW231004C00013500,4.81,0,0,0,0,0,0.998,0.002,79,13.50,VIXW231004P00013500,0.01,0,0,0,0,0,-0.002,0.002,479
Wed Oct 04 2023,VIXW231004C00014000,6.4,0,0,0,0,0,0.9978,0.0024,581,14.00,VIXW231004P00014000,0.01,0,0,0,0,0,-0.0022,0.0024,1799
Wed Oct 04 2023,VIXW231004C00014500,5.64,0,0,0,0,0,0.9974,0.003,307,14.50,VIXW231004P00014500,0.01,0,0,0,0,0,-0.0026,0.003,127
Wed Oct 04 2023,VIXW231004C00015000,5.15,0,0,0,0,0,0.997,0.0038,953,15.00,VIXW231004P00015000,0.01,0,0,0,0,0,-0.003,0.0038,863
Wed Oct 04 2023,VIXW231004C00016000,4,0,0,0,0,0,0.996,0.006,738,16.00,VIXW231004P00016000,0.01,0,0,0,0,0,-0.004,0.006,2294
Wed Oct 04 2023,VIXW231004C00017000,3,0,0,0,0,0,0.9944,0.0101,3508,17.00,VIXW231004P00017000,0.02,0,0,0,0,0,-0.0056,0.0101,1570
Wed Oct 04 2023,VIXW231004C00018000,2.07,0,0,0,0,0,0.9918,0.019,7801,18.00,VIXW231004P00018000,0.01,0,0,0,0,0,-0.0082,0.019,735
Wed Oct 04 2023,VIXW231004C00019000,1,0,0,0,0,0,0.9862,0.046,3017,19.00,VIXW231004P00019000,0.05,0,0,0,0,0,-0.0138,0.046,440
Wed Oct 04 2023,VIXW231004C00020000,0.33,0,0,0,0,0,0.7934,0.3675,3805,20.00,VIXW231004P00020000,0.44,0,0,0,0,0,-0.2066,0.3675,407
Wed Oct 04 2023,VIXW231004C00021000,0.12,0,0,0,0,0,0.3327,0.4279,6920,21.00,VIXW231004P00021000,1.35,0,0,0,0,0,-0.6673,0.4279,2319
Wed Oct 04 2023,VIXW231004C00022000,0.06,0,0,0,0,0,0.1042,0.1727,1650,22.00,VIXW231004P00022000,2.12,0,0,0,0,0,-0.8958,0.1727,274
Wed Oct 04 2023,VIXW231004C00023000,0.05,0,0,0,0,0,0.024,0.0501,883,23.00,VIXW231004P00023000,2.75,0,0,0,0,0,-0.976,0.0501,55
Wed Oct 04 2023,VIXW231004C00024000,0.04,0,0,0,0,0,0.0099,0.0199,1319,24.00,VIXW231004P00024000,3.61,0,0,0,0,0,-0.9901,0.0199,21
Wed Oct 04 2023,VIXW231004C00025000,0.06,0,0,0,0,0,0.0076,0.013,5220,25.00,VIXW231004P00025000,7.18,0,0,0,0,0,-0.9924,0.013,1
Wed Oct 04 2023,VIXW231004C00026000,0.04,0,0,0,0,0,0.0064,0.0095,1085,26.00,VIXW231004P00026000,8.88,0,0,0,0,0,-0.9936,0.0095,3
Wed Oct 04 2023,VIXW231004C00027000,0.05,0,0,0,0,0,0.0055,0.0073,837,27.00,VIXW231004P00027000,7.66,0,0,0,0,0,-0.9945,0.0073,2
Wed Oct 04 2023,VIXW231004C00028000,0.02,0,0,0,0,0,0.0048,0.0059,5569,28.00,VIXW231004P00028000,10.23,0,0,0,0,0,-0.9952,0.0059,11
Wed Oct 04 2023,VIXW231004C00029000,0.02,0,0,0,0,0,0.0043,0.0049,405,29.00,VIXW231004P00029000,0,0,0,0,0,0,-0.9957,0.0049,0
Wed Oct 04 2023,VIXW231004C00030000,0.02,0,0,0,0,0,0.0039,0.0041,1259,30.00,VIXW231004P00030000,11.9,0,0,0,0,0,-0.9961,0.0041,10
Wed Oct 04 2023,VIXW231004C00031000,0.02,0,0,0,0,0,0.0036,0.0035,2969,31.00,VIXW231004P00031000,11.89,0,0,0,0,0,-0.9964,0.0035,0
Wed Oct 04 2023,VIXW231004C00032000,0.01,0,0,0,0,0,0.0033,0.0031,50,32.00,VIXW231004P00032000,0,0,0,0,0,0,-0.9967,0.0031,0
Wed Oct 04 2023,VIXW231004C00033000,0.01,0,0,0,0,0,0.003,0.0027,1591,33.00,VIXW231004P00033000,0,0,0,0,0,0,-0.997,0.0027,0
Wed Oct 04 2023,VIXW231004C00034000,0.09,0,0,0,0,0,0.0028,0.0024,30,34.00,VIXW231004P00034000,14.24,0,0,0,0,0,-0.9972,0.0024,3
Wed Oct 04 2023,VIXW231004C00035000,0.01,0,0,0,0,0,0.0026,0.0021,105,35.00,VIXW231004P00035000,0,0,0,0,0,0,-0.9974,0.0021,0
Wed Oct 04 2023,VIXW231004C00036000,0.02,0,0,0,0,0,0.0024,0.0019,3952,36.00,VIXW231004P00036000,20.7,0,0,0,0,0,-0.9976,0.0019,6
Wed Oct 04 2023,VIXW231004C00037000,0.04,0,0,0,0,0,0.0023,0.0017,52,37.00,VIXW231004P00037000,0,0,0,0,0,0,-0.9977,0.0017,0
Wed Oct 04 2023,VIXW231004C00038000,0.01,0,0,0,0,0,0.0022,0.0016,110,38.00,VIXW231004P00038000,21.33,0,0,0,0,0,-0.9978,0.0016,6
Wed Oct 04 2023,VIXW231004C00039000,0.03,0,0,0,0,0,0.0018,0.0013,28,39.00,VIXW231004P00039000,0,0,0,0,0,0,-0.9982,0.0013,0
Wed Oct 04 2023,VIXW231004C00040000,0.02,0,0,0,0,0,0.0012,0.0009,7036,40.00,VIXW231004P00040000,21.18,0,0,0,0,0,-0.9988,0.0009,11
Wed Oct 04 2023,VIXW231004C00042500,0.03,0,0,0,0,0,0.0005,0.0004,29,42.50,VIXW231004P00042500,0,0,0,0,0,0,-0.9995,0.0004,0
Wed Oct 04 2023,VIXW231004C00045000,0.03,0,0,0,0,0,0.0002,0.0001,14,45.00,VIXW231004P00045000,28.75,0,0,0,0,0,-0.9998,0.0001,1
Wed Oct 04 2023,VIXW231004C00047500,0.02,0,0,0,0,0,0.0001,0.0001,11,47.50,VIXW231004P00047500,0,0,0,0,0,0,-0.9999,0.0001,0
Wed Oct 04 2023,VIXW231004C00050000,0.01,0,0,0,0,0,0,0,164,50.00,VIXW231004P00050000,0,0,0,0,0,0,-1,0,0
Wed Oct 04 2023,VIXW231004C00055000,0.01,0,0,0,0,0,0,0,1,55.00,VIXW231004P00055000,0,0,0,0,0,0,-1,0,0
Wed Oct 04 2023,VIXW231004C00060000,0.02,0,0,0,0,0,0,0,1,60.00,VIXW231004P00060000,0,0,0,0,0,0,-1,0,0
Wed Oct 04 2023,VIXW231004C00065000,0.02,0,0,0,0,0,0,0,101,65.00,VIXW231004P00065000,0,0,0,0,0,0,-1,0,0
Wed Oct 04 2023,VIXW231004C00070000,0,0,0,0,0,0,0,0,0,70.00,VIXW231004P00070000,0,0,0,0,0,0,-1,0,0
Wed Oct 04 2023,VIXW231004C00075000,0,0,0,0,0,0,0,0,0,75.00,VIXW231004P00075000,0,0,0,0,0,0,-1,0,0
Wed Oct 04 2023,VIXW231004C00080000,0,0,0,0,0,0,0,0,0,80.00,VIXW231004P00080000,65.2,0,0,0,0,0,-1,0,10
Wed Oct 04 2023,VIXW231004C00085000,0,0,0,0,0,0,0,0,0,85.00,VIXW231004P00085000,0,0,0,0,0,0,-1,0,0
Wed Oct 04 2023,VIXW231004C00090000,0,0,0,0,0,0,0,0,0,90.00,VIXW231004P00090000,0,0,0,0,0,0,-1,0,0
Wed Oct 04 2023,VIXW231004C00095000,0,0,0,0,0,0,0,0,0,95.00,VIXW231004P00095000,0,0,0,0,0,0,-1,0,0
Wed Oct 04 2023,VIXW231004C00100000,0,0,0,0,0,0,0,0,0,100.00,VIXW231004P00100000,82.82,0,0,0,0,0,-1,0,35
Wed Oct 11 2023,VIXW231011C00010000,10.03,0,10.11,10.57,0,4.0368,0.955,0.01,70,10.00,VIXW231011P00010000,0,0,0,0.01,0,1.8718,-0.0053,0.0027,0
Wed Oct 11 2023,VIXW231011C00010500,0,0,9.61,10.07,0,3.7993,0.9523,0.0112,0,10.50,VIXW231011P00010500,0,0,0,0.02,0,1.8904,-0.0097,0.0044,0
Wed Oct 11 2023,VIXW231011C00011000,0,0,9.11,9.57,0,3.5729,0.9493,0.0125,0,11.00,VIXW231011P00011000,0.02,0,0,0.02,0,1.764,-0.0103,0.005,10
Wed Oct 11 2023,VIXW231011C00011500,0,0,8.61,9.08,0,3.3682,0.9461,0.014,0,11.50,VIXW231011P00011500,0,0,0,0.02,0,1.6428,-0.0111,0.0057,0
Wed Oct 11 2023,VIXW231011C00012000,6.02,0,8.11,8.58,0,3.16,0.9426,0.0158,1,12.00,VIXW231011P00012000,0.02,0,0,0.06,0,1.7755,-0.0262,0.0108,32
Wed Oct 11 2023,VIXW231011C00012500,6.88,0,7.6,8.08,0,2.9489,0.9311,0.0186,61,12.50,VIXW231011P00012500,0.03,0,0,0.06,0,1.6484,-0.0281,0.0123,33
Wed Oct 11 2023,VIXW231011C00013000,6.61,0,7.1,7.59,0,2.7664,0.9153,0.0217,44,13.00,VIXW231011P00013000,0.03,0,0,0.06,0,1.5258,-0.0302,0.0141,56
Wed Oct 11 2023,VIXW231011C00013500,4.16,0,6.59,7.1,0,2.5794,0.8978,0.025,57,13.50,VIXW231011P00013500,0.02,0,0,0.06,0,1.4071,-0.0325,0.0162,103
Wed Oct 11 2023,VIXW231011C00014000,5.63,0,6.09,6.61,0,2.4073,0.8785,0.0284,48,14.00,VIXW231011P00014000,0.03,0,0,0.06,0,1.2921,-0.0351,0.0188,189
Wed Oct 11 2023,VIXW231011C00014500,5.44,0,5.58,6.12,0,2.2303,0.8575,0.0317,98,14.50,VIXW231011P00014500,0.05,0,0,0.06,0,1.1803,-0.0381,0.022,86
Wed Oct 11 2023,VIXW231011C00015000,4.7,0,5.08,5.64,0,2.0744,0.835,0.035,654,15.00,VIXW231011P00015000,0.04,0,0.01,0.08,0,1.1516,-0.0502,0.0284,772
Wed Oct 11 2023,VIXW231011C00016000,3.9,0,4.09,4.7,0,1.7895,0.8038,0.0443,1138,16.00,VIXW231011P00016000,0.07,0,0.01,0.15,0,1.0496,-0.0888,0.0464,1044
Wed Oct 11 2023,VIXW231011C00017000,2.92,0,3.18,3.82,0,1.5905,0.7598,0.0558,1141,17.00,VIXW231011P00017000,0.25,0,0.04,0.3,0,1.0028,-0.1566,0.07,1379
Wed Oct 11 2023,VIXW231011C00018000,2.21,0,2.39,3.03,0,1.4726,0.6996,0.0681,285,18.00,VIXW231011P00018000,0.52,0,0.21,0.56,0,1.0211,-0.2504,0.0921,687
Wed Oct 11 2023,VIXW231011C00019000,1.7,0,1.77,2.36,0,1.4292,0.6242,0.0787,4730,19.00,VIXW231011P00019000,0.93,0,0.53,0.95,0,1.0459,-0.3599,0.1063,443
Wed Oct 11 2023,VIXW231011C00020000,1.31,0,1.4,1.83,0,1.4757,0.5406,0.0842,1533,20.00,VIXW231011P00020000,1.57,0,1,1.46,0,1.0632,-0.4716,0.111,514
Wed Oct 11 2023,VIXW231011C00021000,1.1,0,0.94,1.44,0,1.4575,0.4598,0.0835,262,21.00,VIXW231011P00021000,2,0,1.58,2.09,0,1.065,-0.5755,0.1067,86
