Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Notification Enabled,Sound Notification Enabled,Notification Is Repeatable,Delay Before Repeating,Subscribing Offset,Notification Sound
MESU0.CME@RITHMIC,3275,Combo L1 3283,#ff0000,#FFFFFF,,,,,,,
MESU0.CME@RITHMIC,3324,Combo L2 3332,#ff0000,#FFFFFF,,,,,,,
MESU0.CME@RITHMIC,3298,Combo L3 3306,#ff0000,#FFFFFF,,,,,,,
MESU0.CME@RITHMIC,3292,L1: 3300,#ff0000,#FFFFFF,,,,,,,
MESU0.CME@RITHMIC,3242,L2: 3250,#ff0000,#FFFFFF,,,,,,,
MESU0.CME@RITHMIC,3192,L3: 3200,#ff0000,#FFFFFF,,,,,,,
MESU0.CME@RITHMIC,3092,L4: 3100,#ff0000,#FFFFFF,,,,,,,
MESU0.CME@RITHMIC,2892,PutWall: 2900,#ff0000,#FFFFFF,,,,,,,
MESU0.CME@RITHMIC,3170,VolTrig,#ff0000,#FFFFFF,,,,,,,
MESU0.CME@RITHMIC,3292,Call Wall: 3300,#ff0000,#FFFFFF,,,,,,,
MESU0.CME@RITHMIC,3168,Zero Gamma,#ff0000,#FFFFFF,,,,,,,
F.US.EPU20@20,3275,Combo L1 3283,#ff0000,#FFFFFF,,,,,,,
F.US.EPU20@20,3324,Combo L2 3332,#ff0000,#FFFFFF,,,,,,,
F.US.EPU20@20,3298,Combo L3 3306,#ff0000,#FFFFFF,,,,,,,
F.US.EPU20@20,3292,L1: 3300,#ff0000,#FFFFFF,,,,,,,
F.US.EPU20@20,3242,L2: 3250,#ff0000,#FFFFFF,,,,,,,
F.US.EPU20@20,3192,L3: 3200,#ff0000,#FFFFFF,,,,,,,
F.US.EPU20@20,3092,L4: 3100,#ff0000,#FFFFFF,,,,,,,
F.US.EPU20@20,2892,PutWall: 2900,#ff0000,#FFFFFF,,,,,,,
F.US.EPU20@20,3170,VolTrig,#ff0000,#FFFFFF,,,,,,,
F.US.EPU20@20,3292,Call Wall: 3300,#ff0000,#FFFFFF,,,,,,,
F.US.EPU20@20,3168,Zero Gamma,#ff0000,#FFFFFF,,,,,,,
F.US.MESU20@CQG,3275,Combo L1 3283,#ff0000,#FFFFFF,,,,,,,
F.US.MESU20@CQG,3324,Combo L2 3332,#ff0000,#FFFFFF,,,,,,,
F.US.MESU20@CQG,3298,Combo L3 3306,#ff0000,#FFFFFF,,,,,,,
F.US.MESU20@CQG,3292,L1: 3300,#ff0000,#FFFFFF,,,,,,,
F.US.MESU20@CQG,3242,L2: 3250,#ff0000,#FFFFFF,,,,,,,
F.US.MESU20@CQG,3192,L3: 3200,#ff0000,#FFFFFF,,,,,,,
F.US.MESU20@CQG,3092,L4: 3100,#ff0000,#FFFFFF,,,,,,,
F.US.MESU20@CQG,2892,PutWall: 2900,#ff0000,#FFFFFF,,,,,,,
F.US.MESU20@CQG,3170,VolTrig,#ff0000,#FFFFFF,,,,,,,
F.US.MESU20@CQG,3292,Call Wall: 3300,#ff0000,#FFFFFF,,,,,,,
F.US.MESU20@CQG,3168,Zero Gamma,#ff0000,#FFFFFF,,,,,,,
