,Yelp URL,Rating,Date,Review Text,Name
9559,https://www.yelp.com/biz/85-c-bakery-cafe-las-vegas-2,4,9/9/2021,"Located inside of the Shanghai plaza, very clean and neat place. The price is reasonable. Cakes: I bought the mango cake. I can't taste too much of the fruit to be honest. Breads: The breads are nice, but the stuffing is too little compares to the overall size of the bread, it's tasty tho. They offer an area to eat and drink after purchase, pretty nice.",85-c-bakery-cafe-las-vegas-2
19841,https://www.yelp.com/biz/churn-homemade-ice-cream-and-coffee-pittsburgh,5,9/9/2021,"Churn is a really nice addition to the businesses on east carson street. They have pastries, coffee, ice cream and Gelato. They probably have more products but I was looking for some good ice cream. I settled on a small cup of coffee with sprinkles. It was a nice scoop. The ice cream was rich and tasty. I also sampled a friend's girl scout thin mint ice cream. It was a winner too. The store is bright and clean. Everything seems to be clearly marked to help the new clientele. Give the place a try.",churn-homemade-ice-cream-and-coffee-pittsburgh
2126,https://www.yelp.com/biz/handels-homemade-ice-cream-and-yogurt-las-vegas-3,5,9/9/2020,"May be the best ice cream in Las Vegas. Butter pecan is the best I've ever had. Expect a line, especially on a hot summer night. Tuesday still offers the $2.50 special.",handels-homemade-ice-cream-and-yogurt-las-vegas-3
6317,https://www.yelp.com/biz/novel-ice-cream-phoenix,5,9/9/2020,Oh dang oh dang. Wish I knew this place sooner! Phoenix is a better place with Novel!,novel-ice-cream-phoenix
4834,https://www.yelp.com/biz/bouchon-bakery-las-vegas-10,5,9/9/2020,"OMG!!!! I'm so glad I tried this place!! I purchased a cheese danish and chocolate almond croissant. Both items were crunchy, flaky, perfection!!! This is definitely a must try when in the Venetian!!!",bouchon-bakery-las-vegas-10
9403,https://www.yelp.com/biz/fatty-daddys-scottsdale-5,1,9/9/2019,"The texture was good, but the taste was absolutely TERRIBLE!!! We tried four different flavors and all of them had a horrible metallic taste to them throughout every single bite. Ended up throwing them out- such a waste of money. Unless you enjoy the taste of licking a metal pan, I highly recommend saving your money and heading to an ice cream shop where they have food handling standards & customer service skills. The owner of the place is who served us; she handled the money with her bare hands & then scooped our ice cream without washing her hands or putting on gloves. MAJOR HEALTH CODE VIOLATION! If that's how the owner is handling the food she serves then I have zero confidence that she trained her staff to have proper food handling skills. Nothing worse than leaving a place feeling ripped off (and wondering what else those dirty hands touched before handling your food). Another review stated that the customer found pieces of plastic in their ice cream- definitely wish I had read the reviews before subjecting myself & my children to this place.",fatty-daddys-scottsdale-5
4828,https://www.yelp.com/biz/bouchon-bakery-las-vegas-10,4,9/9/2019,"Good latte and amazing macarons. Pretty good size, I was expecting it to be around $10, given other Venetian pricing, but at $3.50 for a good-sized macaron, it was practically a steal. The salted Carmel was delicious.",bouchon-bakery-las-vegas-10
18875,https://www.yelp.com/biz/sloans-grand-canal-shoppes-las-vegas,3,9/9/2019,"So when i went here we tried some donuts coz its so tempting and for some reason this day we were just having a sugar craze, we must have went to 3 dessert place trying sweets we do not need. The donuts were hard and the store offer a lot of candies you can typically buy in any store but pretty much 3 times the price. But if you are truly having a sugar fit you can buy it here no complains. The way you can get lured into here is the colorful ambience and the way the store is design. Its almost the candy house of from Hansel and Gretel in the middle of the forest but this one is inside the grand canal shops. They have other nice props that are cute that are for sale at the store too. Oh yeah, they also have the nice Chanticleer that is for sale for 300 something, pretty nice! But where am i going to put it to much my drapes ? :{ happy sweets!",sloans-grand-canal-shoppes-las-vegas
2067,https://www.yelp.com/biz/handels-homemade-ice-cream-and-yogurt-las-vegas-3,4,9/9/2019,"My family and I are always trying places we never been before and we stumbled upon Handel's, glad we did. There banana split is award winning, great priced ($6.25) fresh toppings and large portion. They only have a walk up window to order with usually two windows open, but their is always a line, it's worth waiting for!",handels-homemade-ice-cream-and-yogurt-las-vegas-3
18332,https://www.yelp.com/biz/pages-pittsburgh,4,9/9/2019,What a nice find for ice cream! I visited with my wife and parents on Sunday and was happily surprised to see they had fall seasonal flavors. The pumpkin roll arctic twist was amazing and came with a slice of pumpkin roll on top. I can't wait to visit again soon!,pages-pittsburgh
3260,https://www.yelp.com/biz/am%C3%A9lies-french-bakery-and-caf%C3%A9-charlotte-11,4,9/9/2018,So so so good! The food is great and the desserts are pretty good too! The best part is the atmosphere. Hands down. Had so much just hanging around and people watching. A must stop and see!,am%C3%A9lies-french-bakery-and-caf%C3%A9-charlotte-11
16956,https://www.yelp.com/biz/donut-bar-las-vegas,5,9/9/2018,I'm definitely one that loves donuts and prefers not the traditional style with traditional toppings we came in for Labor Day weekend and saw donut bar. I was able to get a birthday cake donut on my birthday it tasted exactly like birthday cake!!! I also noticed that they have franchise options I had no idea donut bar was a franchise? Maybe one of these will pop up in California close to me soon because their donuts are fantastic!!!! They also have a large selection of drip coffee. Heather just having decaf or regular there were five options that you could choose from even in flavored coffee,donut-bar-las-vegas
11482,https://www.yelp.com/biz/mitchells-homemade-ice-cream-cleveland-cleveland-2,5,9/9/2018,"This place has a solid 5-star and had a consistent line out of the door on a weeknight - file under ""places to try when in the area"". Adding to that, the ice cream was delicious, the decor is nice (there is a model train going around the shop, can't beat that), and service was friendly. Would return if in the area in the future.",mitchells-homemade-ice-cream-cleveland-cleveland-2
13749,https://www.yelp.com/biz/milk-bar-las-vegas-las-vegas-3,4,9/9/2018,This review is for 4.5 stars. Expensive all around but tasty and novel. Come here and just go fill out. Try the milkshakes the pie and the soft serve. Each will run you about $6-15 but well worth it. This will be the best version of whatever you order. We tried the crack pie and the cereal milk soft serve for $6.50 each and an additional $1.50 for the cereal crunch topping (necessary). The soft serves wee large enough for a nice after dinner dessert and they even give you samples of you ask before choosing the soft serve. Line can get log during peak but pretty fast service once ordered. The cereal milk is just so unique of an idea and deserves its infamy. Tastes as it sounds and if you let it melt drinks as it sounds. The crack pie is super buttery and just a very smooth and rich vanilla. Terrific flavors.,milk-bar-las-vegas-las-vegas-3
5445,https://www.yelp.com/biz/bouchon-bakery-las-vegas-10,1,9/9/2018,"Want in for breakfast bough cream cheese danish and coffee everything was just delicious, very next morning we want in for coffee and a Han and cheese crason Turkey baget ,crason tested fine but the turkey baget was unadable, we both agree it must have been sitting there from at least two days, don't serve people food you would not eat yourself, for 40.00 we could have a brakefest buffet at the Cesaers Hotel",bouchon-bakery-las-vegas-10
7071,https://www.yelp.com/biz/novel-ice-cream-phoenix,5,9/9/2017,I love it. Trying not to get diabetes and eat so much that I have to be carted to the hospital is the only negative.,novel-ice-cream-phoenix
16579,https://www.yelp.com/biz/donut-bar-las-vegas,5,9/9/2017,"Good donuts, damn good donuts. What else is there to know? Ah... if you insist... So I guess this place is famous. I didn't know, I just came downtown to pay a ticket and saw a neat little sign for a donut shop. Inside I go and I'm just blown away by the different types of donuts on display! Homer's donut? Matcha donut? Nutella donut? What!? Which should I try? The answer is ALL OF THEM! Haha okay not really, but I did buy a dozen. The french toast donut was my favorite. I believe they make it on request because mine came out hot, and I did have to wait additional time for it. It comes with syrup on the side as well. My only regret is not buying two! It was that good. I loved Homer's donut as well. I believe that was strawberry flavored icing on top? It was simple, but great. The strawberry split was SO good! My partner loved how it wasn't too sweet, and loved having creme and strawberries in the donut. I didn't order the creme brulee donut this time, but I hear it's their signature donut. Heck, they all look and taste like signature donuts! Instead of cooking breakfast I think I'll just order a french toast donut from here instead. It was bigger than all the donuts and very filling. They close when they're out of donuts and trust me, they will run out. I recommend arriving early as there's usually no line. Definitely a must try when you're in Las Vegas! PROTIP: Their menu changes DAILY! You can also order in advance on their website only during THE DAY BEFORE! And it has to be a dozen donuts, minimum. I believe the deadline is 6pm, but I could be mistaken. This saves a lot of time during busy weeks if there's a festival going on in the city.",donut-bar-las-vegas
17783,https://www.yelp.com/biz/masons-creamery-cleveland,4,9/9/2017,"Great icecream! Not a lot of thought enough to gave a decent variety. Prices are ok, but I don't mind supporting local eatery's.",masons-creamery-cleveland
