Scientific_Name,Plant_Name,Coverage,Bamboo,Bulb,Grass,Groundcover,Perennial,Palm,Shrub,Succulent,Tree,Vine,Native,Genetic_Concerns,Potentially_Invasive
"Abies Pinsapo","Spanish Fir",500,No,No,No,No,No,No,No,No,Yes,No,No,No,No
"Abronia Maritima","Sand Verbena4",7,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
"Abutilon Palmeri","Indian Mallow",13,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No
"Acacia Boormanii","Snowy River Wattle",64,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Acacia Cognata 'Cousin Itt'","Cousin Itt Little River Wattle",28,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Acacia Cognata (Acacia Subporosa)","Bower Wattle",500,No,No,No,No,No,No,No,No,Yes,No,No,No,No
"Acacia Cultriformis","Knife Acacia",95,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
"Acacia Decurrens","Green Wattle",500,No,No,No,No,No,No,No,No,Yes,No,No,No,No
"Acacia Glaucoptera","Clay Wattle",38,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Acacia Greggii","Catclaw Acacia",500,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
"Acacia Greggii","Catclaw Acacia (Shrub Form Only)",177,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No
"Acacia Linearifolia","Golden Wattle",33,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Acacia Longifolia","Sydney Golden Wattle",133,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
"Acacia Pendula","Weeping Acacia",254,No,No,No,No,No,No,No,No,Yes,No,No,No,No
"Acacia Podalyriifolia","Pearl Acacia",177,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
"Acacia Podalyriifolia","Pearl Acacia (Shrub Form Only)",113,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
"Acacia Pravissima","Ovens Wattle",133,No,No,No,No,No,No,No,No,Yes,No,No,No,No
"Acacia Redolens","Prostrate Acacia",177,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Acacia Saligna","Blue Leaf Wattle",241,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
"Acacia Stenophylla","Eumong/Shoestring Acacia",254,No,No,No,No,No,No,No,No,Yes,No,No,No,No
"Acacia Subporosa","Subporosa Acacia",500,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
"Acacia Subporosa","Subporosa Acacia (Shrub Form Only)",314,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
"Achillea Ageratifolia","Greek Yarrow",1,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Achillea Clavennae","Silvery Yarrow",1,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Achillea Filipendulina","Fern Leaf Yarrow",7,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Achillea Millefolium (Ca Native Cultivars)","Common Yarrow",4,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No
"Achillea Tomentosa","Woolly Yarrow",2,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
"Achillea X 'Moonshine' ","Moonshine Yarrow ",3,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Acmispon Glaber","Deer Weed",3,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No
"Adenanthos Cuneatus 'Coral Drift'","Flame Bush",13,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Adenanthos Detmoldii 'Metallica'","Yellow Jugflower",13,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Adenanthos Drummondii","Woolly Bush",24,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Adenanthos Meisneri",Woollybush,28,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Adenanthos Sericea","Woolly Bush",133,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Adenostoma Fasciculatum",Chamise,57,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No
"Adenostoma Sparsifolium","Red Shanks Or Ribbonwood (Shrub Form Only)",10,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No
"Adenostoma Sparsifolium","Red Shanks/Ribbonwood",50,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No
"Aechmea Recurvata Var. Recurvata","False Tillandsia",2,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Aeonium 'Alice Keck Park'",Aeonium,5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'Blackbeard'","Blackbeard Aeonium",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'Blushing Beauty'","Blushing Aeonium",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'Cabernet'",Aeonium,5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'Carol'",Aeonium,5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'Chocolate'",Aeonium,5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'Cornish Tribute'","Ipomea Indica (Acuminata)",10,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'Cyclops'","Giant Red Aeonium",10,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'Durango'","Cyclops Aeonium",10,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'Emerald Ice'",Aeonium,10,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'Garnet'",Aeonium,5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'Gary's Shadow'",Aeonium,5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'Glenn Davidson'",Aeonium,2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'Irish Bouquet'",Aeonium,2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'Jack Catlin'","Red Aeonium",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'Jolly Clusters'",Aeonium,2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'Jolly Green'",Aeonium,2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'Jolly Towers'",Aeonium,2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'Kiwi'","Kiwi  Aeonium",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'Kokino'",Aeonium,2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'Lily Pad'",Aeonium,1,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'Mardi Gras'",Aeonium,1,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'Mint Saucer'","Green Aeonium",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'Plum Petals'","Plum Petals Pinwheel",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'Plum Purdy'","Plum Purdy Aeonium",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'Pseudotabuliforme'","Green Platters",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'Purple Queen'",Aeonium,5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'Red Velour'",Aeonium,10,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'shamrock'",Aeonium,10,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'simsii'",Aeonium,1,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'sunburst'","Copper Pinwheel",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'Tabuliforme'","Dinner Plate Aeonium, Saucer Plant",1,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'Thunder Cloud'","Thunder Cloud Aeonium",7,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'Velour'",Aeonium,5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium 'Voodoo'","Giant Red Aeonium",10,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Arboreum","Tree Aeonium",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Arboreum 'Atropurpureum'","Purple Aeonium",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Arboreum 'Electra'","Purple Pinwheel Aeonium",7,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Arboreum 'Pinwheel'","Purple Pinwheel Aeonium",1,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Arboreum 'Tip Top'","Dwarf Tree Aeonium",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Arboreum 'Variegatum'","Variegated Tree Aeonium, Candy Cane Aeonium",1,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Arboreum 'Zwartkop'","Black Rose Aeonium",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Arboreum Atropurpureum 'Cartwheels'",Aeonium,5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Arboreum Atropurpureum 'Variegata'","Variegated Purple Aeonium",1,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Aureum","Green Rose Buds",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Canariense",Aeonium,2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Canariense 'Green Giant Tose'",Aeonium,5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Canariense Var. Subplanum",Aeonium,1,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Canariensis Var. Virgineum","Virgin Ravine Aeonium",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Ciliatum",Aeonium,20,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Decorum","Green Pinwheel",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Decorum 'Berry Nice'","Red Striped Pinwheel",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Decorum 'sunburst'","Copper Pinwheel",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Escobarii",Aeonium,7,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Haworthii",Pinwheel,2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Hierrense","Giant Houseleek",7,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Hybrid 'Zwartkin'",Aeonium,2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Leucoblepharum",Aeonium,5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Lindleyi Var. Viscatum 'Irish Bouquet'",Aeonium,2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Nobile","Noble Aeonium",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Nobile 'Cluster Form'","Clustering Noble Aeonium",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Saundersii","Gomera Dwarf Aeonium",1,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Sedifolium",Aeonium,1,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Spp.","Canary Island Rose",0,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes
"Aeonium Undulatum","Stalked Aeonium",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Urbicum",Aeonium,7,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Urbicum 'salad Bowl'",Aeonium,2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Urbicum Rubrum",Aeonium,10,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aeonium Valverdense","Valverde Giant Houseleek",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Aesculus Californica","California Buckeye",500,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No
"Agapanthus Inapertus Major","Lily Of The Nile",3,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Agave 'Blue Emperor'","Blue Emperor Agave ",2,No,No,No,No,No,No,No,Yes,No,No,No,No,No
"Agave 'Blue Flame'","Blue Flame Agave",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave 'Blue Glow De Jose'","Jose' Blue Glow Agave",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave 'Blue Glow'","Blue Glow Agave",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave 'Brian's Guadacolorata'",Agave,5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave 'Chunky Monkey'","Chunky Monkey",16,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave 'Cornelius'","Quasimoto Agave",7,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave 'Cream Spike'","Cream Spike Agave",1,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave 'Joe Hoak'","Joe Hoak Agave",10,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave 'Mateo'","Matthew's Agave",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave 'Montana'","Mountain Agave",16,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave 'Mr. Ripple'","Mr. Ripple Agave",20,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave 'Parracolorata'","Cabbage Mescal Agave",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave 'Royal Spine'","Royal Spine Agave",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave 'sawtooth","Sawtooth Agave",64,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave 'sharkskin Shoes'","Northern Sharkskin Agave",10,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave 'sharkskin'","Sharkskin Agave",10,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave 'silver Surfer'","Century Plant",33,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave 'snow Glow'","Snow Glow Agave",3,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave 'streaker'","Streaker Agave",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Americana","Century Plant",78,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Americana 'Cornelius'","Cornelius Century Plant",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Americana 'Joanna'","Yellow-Banded Century Plant",38,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Americana 'Marginata'","Variegated Century Plant",38,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Americana 'Variegata'","Variegated Century Plant",38,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Americana 'Yellow Ribbons'","Yellow Ribbons Century Plant",38,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Americana Var. Medio-Picta","Yellow Striped Century Plant",38,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Americana Var. Medio-Picta 'Alba'","White Striped Century Plant",13,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Americana Var. Medio-Picta 'Aurea'","Yellow Striped Century Plant",13,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Americana Var. Medio-Picta 'Dwarf Alba'","Dwarf White-Striped Century Plant",7,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Angustifolia 'Marginata'","Caribbean Agave",13,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Applanata 'Cream Spike'","Cream Spike Agave",1,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Asperrima","Rough Century Plantave",16,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Atrovirens",Maguey,78,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Attenuata","Foxtail Agave",38,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Attenuata 'Agavws'","Ray Of Light Fox Tail Agave",38,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Attenuata 'Boutin Blue'","Blue Foxtail Agave",7,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Attenuata 'Green & White'","Green & White Foxtail Agave",7,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Attenuata 'Huntington Blue'","Blue Foxtail Agave",10,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Attenuata 'Kara's Stripes'","Kara's Stripes Foxtail Agave",7,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Attenuata 'Nova'","Blue Foxtail Agave",10,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Attenuata 'Raea's Gold'","Golden Foxtail Agave",10,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Attenuata 'Ray Of Light'","Variegated Foxtail Agave",38,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Attenuata 'Red Margin'","Red Margin Foxtail Agave",10,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Attenuata 'supernova'","Foxtail Agave",38,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Attenuata 'Variegata'","Variegated Foxtail Agave",16,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Bovicornuta","Cow Horn Agave",13,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Bovicornuta 'Holstein'","Variegated Cow Horn Agave",13,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Bracteosa","Candelabrum Agave",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Bracteosa 'Calamar'","Solitary Candelabrum Agave",4,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Bracteosa 'Monterey Frost'","Frosted Candelabrum Agave",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Celsii 'Albicans'","Albicans Agave",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Celsii 'Multicolor'","Multicolor Agave",7,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Celsii 'Nova'","Nova Agave",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Chazaroi",Agave,13,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Colimana",Agave,7,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Colorata","Mescal Ceniza",7,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Cupreata","Dwarf Cowhorn",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Cupreata 'Gray Form'","Dwarf Gray Cowhorn",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
