Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
2022,3,Buenos Aires,4.715.469,6.199,4.721.668
2022,3,Capital Federal,1.545.534,2.145,1.547.679
2022,3,Catamarca,70.292,1,70.293
2022,3,Chaco,144.141,5,144.146
2022,3,Chubut,164.874,904,165.778
2022,3,Córdoba,1.038.600,68,1.038.668
2022,3,Corrientes,144.842,4,144.846
2022,3,Entre Ríos,268.937,22,268.959
2022,3,Formosa,68.537,1,68.538
2022,3,Jujuy,118.823,- 0,118.823
2022,3,La Pampa,115.921,171,116.092
2022,3,La Rioja,86.860,4,86.864
2022,3,Mendoza,288.746,777,289.523
2022,3,Misiones,182.157,- 0,182.157
2022,3,Neuquén,162.693,468,163.161
2022,3,Río Negro,160.010,548,160.558
2022,3,Salta,204.536,5,204.541
2022,3,San Juan,103.118,281,103.399
2022,3,San Luis,121.888,182,122.070
2022,3,Santa Cruz,49.312,198,49.510
2022,3,Santa Fe,887.700,110,887.810
2022,3,Santiago Del Estero,119.030,2,119.032
2022,3,Tierra Del Fuego,53.584,312,53.896
2022,3,Tucumán,263.087,30,263.117
2022,2,Buenos Aires,4.660.984,6.199,4.667.183
2022,2,Capital Federal,1.534.626,2.145,1.536.771
2022,2,Catamarca,67.007,1,67.008
2022,2,Chaco,143.559,5,143.564
2022,2,Chubut,161.901,904,162.805
2022,2,Córdoba,1.026.367,68,1.026.435
2022,2,Corrientes,144.993,4,144.997
2022,2,Entre Ríos,269.330,22,269.352
2022,2,Formosa,67.881,- 0,67.881
2022,2,Jujuy,115.314,- 0,115.314
2022,2,La Pampa,111.356,171,111.527
2022,2,La Rioja,86.026,4,86.030
2022,2,Mendoza,278.785,777,279.562
2022,2,Misiones,178.813,- 0,178.813
2022,2,Neuquén,161.500,468,161.968
2022,2,Río Negro,159.216,548,159.764
2022,2,Salta,203.172,5,203.177
2022,2,San Juan,100.126,281,100.407
2022,2,San Luis,121.559,182,121.741
2022,2,Santa Cruz,48.987,198,49.185
2022,2,Santa Fe,878.749,110,878.859
2022,2,Santiago Del Estero,118.042,2,118.044
2022,2,Tierra Del Fuego,53.458,312,53.770
2022,2,Tucumán,254.497,30,254.527
2022,1,Buenos Aires,4.549.131,6.293,4.555.424
2022,1,Capital Federal,1.415.378,2.163,1.417.541
2022,1,Catamarca,62.377,1,62.378
2022,1,Chaco,144.114,5,144.119
2022,1,Chubut,170.701,927,171.628
2022,1,Córdoba,1.003.729,74,1.003.803
2022,1,Corrientes,142.574,4,142.578
2022,1,Entre Ríos,267.904,22,267.926
2022,1,Formosa,54.548,0,54.548
2022,1,Jujuy,116.509,0,116.509
2022,1,La Pampa,109.560,172,109.732
2022,1,La Rioja,84.299,4,84.303
2022,1,Mendoza,274.399,786,275.185
2022,1,Misiones,171.508,0,171.508
2022,1,Neuquén,149.208,471,149.679
2022,1,Río Negro,156.821,553,157.374
2022,1,Salta,197.510,5,197.515
2022,1,San Juan,87.888,290,88.178
2022,1,San Luis,119.659,185,119.844
2022,1,Santa Cruz,48.898,204,49.102
2022,1,Santa Fe,870.364,115,870.479
2022,1,Santiago Del Estero,116.459,2,116.461
2022,1,Tierra Del Fuego,52.298,313,52.611
2022,1,Tucumán,245.554,30,245.584
2021,4,Buenos Aires,4.502.772,6.385,4.509.157
2021,4,Capital Federal,1.409.935,2.184,1.412.119
2021,4,Catamarca,59.089,1,59.090
2021,4,Chaco,143.740,5,143.745
2021,4,Chubut,159.364,944,160.308
2021,4,Córdoba,986.693,77,986.770
2021,4,Corrientes,135.908,4,135.912
2021,4,Entre Ríos,265.024,22,265.046
2021,4,Formosa,53.663,- 0,53.663
2021,4,Jujuy,113.915,- 0,113.915
2021,4,La Pampa,106.834,173,107.007
2021,4,La Rioja,83.124,4,83.128
2021,4,Mendoza,266.783,804,267.587
2021,4,Misiones,171.132,- 0,171.132
2021,4,Neuquén,146.989,477,147.466
2021,4,Río Negro,153.189,564,153.753
2021,4,Salta,199.399,6,199.405
2021,4,San Juan,79.667,291,79.958
2021,4,San Luis,118.662,187,118.849
2021,4,Santa Cruz,48.276,210,48.486
2021,4,Santa Fe,866.265,176,866.441
2021,4,Santiago Del Estero,115.859,2,115.861
2021,4,Tierra Del Fuego,52.042,315,52.357
2021,4,Tucumán,238.609,30,238.639
2021,3,Buenos Aires,4.246.425,5.184,4.251.609
2021,3,Capital Federal,1.411.797,1.608,1.413.405
2021,3,Catamarca,56.253,1,56.254
2021,3,Chaco,139.868,3,139.871
2021,3,Chubut,155.266,800,156.066
2021,3,Córdoba,946.726,62,946.788
2021,3,Corrientes,133.816,3,133.819
2021,3,Entre Ríos,260.360,15,260.375
2021,3,Formosa,52.795,- 0,52.795
2021,3,Jujuy,111.158,- 0,111.158
2021,3,La Pampa,100.371,116,100.487
2021,3,La Rioja,82.157,3,82.160
2021,3,Mendoza,255.320,619,255.939
2021,3,Misiones,158.528,- 0,158.528
2021,3,Neuquén,139.436,373,139.809
2021,3,Río Negro,144.084,501,144.585
2021,3,Salta,195.831,2,195.833
2021,3,San Juan,79.227,256,79.483
2021,3,San Luis,117.716,148,117.864
2021,3,Santa Cruz,48.779,197,48.976
2021,3,Santa Fe,841.433,151,841.584
2021,3,Santiago Del Estero,115.457,1,115.458
2021,3,Tierra Del Fuego,49.934,289,50.223
2021,3,Tucumán,232.447,25,232.472
2021,2,Buenos Aires,4.127.167,5.184,4.132.351
2021,2,Capital Federal,1.398.747,1.608,1.400.355
2021,2,Catamarca,55.743,1,55.744
2021,2,Chaco,140.726,3,140.729
2021,2,Chubut,138.412,825,139.237
2021,2,Córdoba,930.818,62,930.880
2021,2,Corrientes,129.498,3,129.501
2021,2,Entre Ríos,257.617,15,257.632
2021,2,Formosa,51.551,- 0,51.551
2021,2,Jujuy,111.848,- 0,111.848
2021,2,La Pampa,97.551,116,97.667
2021,2,La Rioja,81.599,3,81.602
2021,2,Mendoza,229.052,619,229.671
2021,2,Misiones,156.176,- 0,156.176
2021,2,Neuquén,137.877,373,138.250
2021,2,Río Negro,143.583,501,144.084
2021,2,Salta,191.637,2,191.639
2021,2,San Juan,78.677,256,78.933
2021,2,San Luis,122.670,148,122.818
2021,2,Santa Cruz,48.785,197,48.982
2021,2,Santa Fe,840.449,151,840.600
2021,2,Santiago Del Estero,114.089,1,114.090
2021,2,Tierra Del Fuego,35.404,289,35.693
2021,2,Tucumán,233.026,25,233.051
2021,1,Buenos Aires,4.054.936,5.066,4.060.002
2021,1,Capital Federal,1.378.283,1.390,1.379.673
2021,1,Catamarca,51.967,1,51.968
2021,1,Chaco,139.767,3,139.770
2021,1,Chubut,131.515,825,132.340
2021,1,Córdoba,910.826,55,910.881
2021,1,Corrientes,126.622,3,126.625
2021,1,Entre Ríos,251.950,13,251.963
2021,1,Formosa,50.686,- 0,50.686
2021,1,Jujuy,110.456,- 0,110.456
2021,1,La Pampa,96.989,116,97.105
2021,1,La Rioja,52.625,3,52.628
2021,1,Mendoza,218.308,615,218.923
2021,1,Misiones,149.387,- 0,149.387
2021,1,Neuquén,132.862,373,133.235
2021,1,Río Negro,140.667,501,141.168
2021,1,Salta,187.572,2,187.574
2021,1,San Juan,78.011,256,78.267
2021,1,San Luis,119.006,148,119.154
2021,1,Santa Cruz,45.868,197,46.065
2021,1,Santa Fe,825.990,137,826.127
2021,1,Santiago Del Estero,111.640,1,111.641
2021,1,Tierra Del Fuego,40.133,289,40.422
2021,1,Tucumán,231.890,22,231.912
2020,4,Buenos Aires,4.028.195,5.066,4.033.261
2020,4,Capital Federal,1.378.140,1.390,1.379.530
2020,4,Catamarca,52.395,1,52.396
2020,4,Chaco,139.088,3,139.091
2020,4,Chubut,129.749,825,130.574
2020,4,Córdoba,902.646,55,902.701
2020,4,Corrientes,125.656,3,125.659
2020,4,Entre Ríos,247.368,13,247.381
2020,4,Formosa,50.206,- 0,50.206
2020,4,Jujuy,105.851,- 0,105.851
2020,4,La Pampa,96.779,116,96.895
2020,4,La Rioja,52.775,3,52.778
2020,4,Mendoza,214.838,615,215.453
2020,4,Misiones,147.161,- 0,147.161
2020,4,Neuquén,132.762,373,133.135
2020,4,Río Negro,140.709,501,141.210
2020,4,Salta,187.388,2,187.390
2020,4,San Juan,72.340,256,72.596
2020,4,San Luis,119.287,148,119.435
2020,4,Santa Cruz,40.477,197,40.674
2020,4,Santa Fe,820.676,137,820.813
2020,4,Santiago Del Estero,106.668,1,106.669
2020,4,Tierra Del Fuego,39.325,289,39.614
2020,4,Tucumán,231.067,22,231.089
2020,3,Buenos Aires,3.932.211,5.066,3.937.277
2020,3,Capital Federal,1.371.285,1.390,1.372.675
2020,3,Catamarca,49.903,1,49.904
2020,3,Chaco,133.951,3,133.954
2020,3,Chubut,129.202,825,130.027
2020,3,Córdoba,867.417,55,867.472
2020,3,Corrientes,123.388,3,123.391
2020,3,Entre Ríos,241.482,13,241.495
2020,3,Formosa,49.209,- 0,49.209
2020,3,Jujuy,106.728,- 0,106.728
2020,3,La Pampa,93.619,116,93.735
2020,3,La Rioja,52.613,3,52.616
2020,3,Mendoza,207.173,615,207.788
2020,3,Misiones,143.186,- 0,143.186
2020,3,Neuquén,128.862,373,129.235
2020,3,Río Negro,130.966,501,131.467
2020,3,Salta,180.844,2,180.846
2020,3,San Juan,77.071,256,77.327
2020,3,San Luis,116.417,148,116.565
2020,3,Santa Cruz,39.084,197,39.281
2020,3,Santa Fe,802.861,137,802.998
2020,3,Santiago Del Estero,105.491,1,105.492
2020,3,Tierra Del Fuego,39.366,289,39.655
2020,3,Tucumán,223.854,22,223.876
2020,2,Buenos Aires,3.772.480,5.066,3.777.546
2020,2,Capital Federal,1.356.431,1.390,1.357.821
2020,2,Catamarca,47.975,1,47.976
2020,2,Chaco,128.129,3,128.132
2020,2,Chubut,107.831,825,108.656
2020,2,Córdoba,836.413,55,836.468
2020,2,Corrientes,118.863,3,118.866
2020,2,Entre Ríos,234.100,13,234.113
2020,2,Formosa,47.932,- 0,47.932
2020,2,Jujuy,94.316,- 0,94.316
2020,2,La Pampa,89.693,116,89.809
2020,2,La Rioja,52.152,3,52.155
2020,2,Mendoza,200.569,615,201.184
2020,2,Misiones,140.340,- 0,140.340
2020,2,Neuquén,125.799,373,126.172
2020,2,Río Negro,128.985,501,129.486
2020,2,Salta,177.760,2,177.762
2020,2,San Juan,69.521,256,69.777
2020,2,San Luis,113.804,148,113.952
2020,2,Santa Cruz,38.672,197,38.869
2020,2,Santa Fe,777.795,137,777.932
2020,2,Santiago Del Estero,105.446,1,105.447
2020,2,Tierra Del Fuego,38.900,289,39.189
2020,2,Tucumán,217.134,22,217.156
2020,1,Buenos Aires,3.702.985,5.066,3.708.051
2020,1,Capital Federal,1.352.104,1.390,1.353.494
2020,1,Catamarca,39.634,1,39.635
2020,1,Chaco,120.274,3,120.277
2020,1,Chubut,95.938,800,96.738
2020,1,Córdoba,811.044,55,811.099
2020,1,Corrientes,113.967,3,113.970
2020,1,Entre Ríos,231.833,13,231.846
2020,1,Formosa,46.434,- 0,46.434
2020,1,Jujuy,91.665,- 0,91.665
2020,1,La Pampa,89.110,116,89.226
2020,1,La Rioja,48.337,3,48.340
2020,1,Mendoza,182.837,615,183.452
2020,1,Misiones,133.552,- 0,133.552
2020,1,Neuquén,121.354,373,121.727
2020,1,Río Negro,125.699,501,126.200
2020,1,Salta,170.379,2,170.381
2020,1,San Juan,63.975,256,64.231
2020,1,San Luis,110.404,148,110.552
2020,1,Santa Cruz,38.625,197,38.822
2020,1,Santa Fe,770.981,137,771.118
2020,1,Santiago Del Estero,102.754,1,102.755
2020,1,Tierra Del Fuego,38.505,289,38.794
2020,1,Tucumán,200.045,22,200.067
2019,4,Buenos Aires,3.681.120,5.134,3.686.254
2019,4,Capital Federal,1.356.695,1.410,1.358.105
2019,4,Catamarca,38.310,1,38.311
2019,4,Chaco,117.900,3,117.903
2019,4,Chubut,95.292,810,96.102
2019,4,Córdoba,806.633,55,806.688
2019,4,Corrientes,113.831,3,113.834
2019,4,Entre Ríos,239.017,13,239.030
2019,4,Formosa,46.711,- 0,46.711
2019,4,Jujuy,88.881,- 0,88.881
2019,4,La Pampa,90.280,119,90.399
2019,4,La Rioja,48.999,3,49.002
2019,4,Mendoza,185.157,623,185.780
2019,4,Misiones,135.813,- 0,135.813
2019,4,Neuquén,116.069,376,116.445
2019,4,Río Negro,126.636,504,127.140
2019,4,Salta,172.443,2,172.445
2019,4,San Juan,64.715,259,64.974
2019,4,San Luis,108.053,148,108.201
2019,4,Santa Cruz,39.170,200,39.370
2019,4,Santa Fe,769.019,150,769.169
2019,4,Santiago Del Estero,103.587,1,103.588
2019,4,Tierra Del Fuego,40.101,291,40.392
2019,4,Tucumán,198.621,23,198.644
2019,3,Buenos Aires,3.950.114,10.119,3.960.233
2019,3,Capital Federal,1.437.734,3.477,1.441.211
2019,3,Catamarca,32.391,9,32.400
2019,3,Chaco,114.438,13,114.451
2019,3,Chubut,87.481,1.524,89.005
2019,3,Córdoba,782.946,107,783.053
2019,3,Corrientes,112.749,10,112.759
2019,3,Entre Ríos,238.057,45,238.102
2019,3,Formosa,46.066,- 0,46.066
2019,3,Jujuy,86.575,1,86.576
2019,3,La Pampa,90.559,269,90.828
2019,3,La Rioja,49.659,18,49.677
2019,3,Mendoza,223.015,1.322,224.337
2019,3,Misiones,133.883,- 0,133.883
2019,3,Neuquén,123.435,1.986,125.421
2019,3,Río Negro,143.391,904,144.295
