Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Periodo
2022,3,1.395.277,6.031.970,2.871.541,557.110,235.230,11.091.128,Jul-Sept 2022
2022,2,1.468.333,5.979.214,2.723.285,556.243,231.609,10.958.684,Abr-Jun 2022
2022,1,1.533.240,6.073.426,2.219.533,545.814,251.996,10.624.009,Ene-Mar 2022
2021,4,1.657.615,5.984.240,2.072.236,523.107,252.596,10.489.794,Oct-Dic 2021
2021,3,1.950.631,5.826.257,1.566.048,492.415,250.190,10.085.541,Jul-Sept 2021
2021,2,2.018.587,5.641.731,1.472.246,476.968,253.552,9.863.084,Abr-Jun 2021
2021,1,2.175.211,5.424.782,1.362.976,434.548,250.455,9.647.972,Ene-Mar 2021
2020,4,2.213.949,5.371.824,1.311.199,421.554,253.036,9.571.562,Oct-Dic 2020
2020,3,2.263.889,5.259.351,1.170.879,413.259,248.821,9.356.199,Jul-Sept 2020
2020,2,2.295.533,5.005.115,1.106.725,376.667,247.016,9.031.056,Abr-Jun 2020
2020,1,2.299.457,4.903.674,1.047.817,352.333,209.145,8.812.426,Ene-Mar 2020
2019,4,2.414.575,4.883.869,941.295,340.144,213.298,8.793.181,Oct-Dic 2019
2019,3,2.909.805,4.800.091,852.221,338.241,264.326,9.164.684,Jul-Sept 2019
2019,2,2.990.457,4.635.575,760.794,308.027,265.328,8.960.181,Abr-Jun 2019
2019,1,3.132.789,4.435.439,637.099,276.419,166.389,8.648.135,Ene-Mar 2019
2018,4,3.329.027,4.313.831,388.013,264.299,178.485,8.473.655,Oct-Dic 2018
2018,3,3.521.447,4.238.171,247.366,246.181,93.870,8.347.035,Jul-Sept 2018
2018,2,3.557.216,4.038.141,226.285,194.267,94.535,8.110.444,Abr-Jun 2018
2018,1,3.574.294,3.981.129,217.460,165.300,98.870,8.037.053,Ene-Mar 2018
2017,4,3.584.311,3.818.157,211.425,155.775,100.554,7.870.222,Oct-Dic 2017
2017,3,3.622.575,3.670.221,193.964,106.443,131.740,7.724.943,Jul-Sept 2017
2017,2,3.723.518,3.383.434,180.777,85.813,56.122,7.429.664,Abr-Jun 2017
2017,1,3.708.898,3.276.251,180.146,84.813,55.746,7.305.854,Ene-Mar 2017
2016,4,3.722.794,3.210.602,178.070,85.119,55.088,7.251.673,Oct-Dic 2016
2016,3,3.776.442,3.124.855,169.898,81.455,54.300,7.206.950,Jul-Sept 2016
2016,2,3.782.085,3.035.272,167.788,85.452,59.482,7.130.079,Abr-Jun 2016
2016,1,3.792.493,2.806.359,164.371,85.370,58.763,6.907.356,Ene-Mar 2016
2015,4,3.803.024,2.898.226,139.187,85.726,58.668,6.984.831,Oct-Dic 2015
2015,3,3.788.696,2.840.203,162.663,84.530,58.976,6.935.068,Jul-Sept 2015
2015,2,3.767.821,2.756.294,150.839,82.077,59.157,6.816.188,Abr-Jun 2015
2015,1,3.756.153,2.668.248,168.188,79.098,66.045,6.737.732,Ene-Mar 2015
2014,4,3.764.038,2.536.219,149.682,76.984,71.573,6.598.496,Oct-Dic 2014
2014,3,3.714.764,2.569.868,155.494,85.096,70.049,6.595.271,Jul-Sept 2014
2014,2,3.708.882,2.461.670,149.363,72.405,72.148,6.464.468,Abr-Jun 2014
2014,1,3.697.066,2.407.330,150.323,70.749,72.930,6.398.398,Ene-Mar 2014
