Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
2022,3,Buenos Aires,339.648,2.748.325,1.436.433,126.846,70.416,4.721.668
2022,3,Capital Federal,140.791,1.240.125,129.218,5.758,31.787,1.547.679
2022,3,Catamarca,10.010,10.495,46.224,1.329,2.235,70.293
2022,3,Chaco,27.164,61.800,44.645,8.178,2.359,144.146
2022,3,Chubut,45.377,72.212,9.574,29.784,8.831,165.778
2022,3,Córdoba,163.770,465.461,338.570,61.070,9.797,1.038.668
2022,3,Corrientes,36.508,77.140,18.619,7.256,5.323,144.846
2022,3,Entre Ríos,60.345,132.952,36.971,26.098,12.593,268.959
2022,3,Formosa,14.470,25.880,11.041,16.935,212,68.538
2022,3,Jujuy,19.257,52.978,40.172,4.033,2.383,118.823
2022,3,La Pampa,7.796,60.078,23.551,20.216,4.451,116.092
2022,3,La Rioja,6.842,53.899,19.697,6.395,31,86.864
2022,3,Mendoza,37.659,78.858,142.615,27.625,2.766,289.523
2022,3,Misiones,35.513,88.902,39.046,11.074,7.622,182.157
2022,3,Neuquén,29.352,75.815,29.396,27.482,1.116,163.161
2022,3,Río Negro,35.552,48.260,41.017,16.760,18.969,160.558
2022,3,Salta,40.006,96.984,50.254,10.082,7.215,204.541
2022,3,San Juan,38.570,22.723,12.328,21.860,7.918,103.399
2022,3,San Luis,6.860,29.363,248,70.614,14.985,122.070
2022,3,Santa Cruz,10.170,24.047,10.815,3.896,582,49.510
2022,3,Santa Fe,183.740,426.255,215.189,43.079,19.547,887.810
2022,3,Santiago Del Estero,15.385,80.937,13.170,6.618,2.922,119.032
2022,3,Tierra Del Fuego,12.754,39.963,403,125,651,53.896
2022,3,Tucumán,77.738,18.518,162.345,3.997,519,263.117
2022,2,Buenos Aires,350.652,2.719.613,1.399.043,126.847,71.028,4.667.183
2022,2,Capital Federal,145.491,1.232.226,121.506,5.757,31.791,1.536.771
2022,2,Catamarca,11.928,9.430,42.087,1.329,2.234,67.008
2022,2,Chaco,29.552,61.284,42.194,8.178,2.356,143.564
2022,2,Chubut,45.377,69.242,9.574,29.784,8.828,162.805
2022,2,Córdoba,179.181,467.595,308.895,61.107,9.657,1.026.435
2022,2,Corrientes,38.468,75.769,18.181,7.256,5.323,144.997
2022,2,Entre Ríos,63.794,131.029,35.839,26.098,12.592,269.352
2022,2,Formosa,15.397,25.487,9.875,16.910,212,67.881
2022,2,Jujuy,20.303,54.495,34.184,3.955,2.377,115.314
2022,2,La Pampa,7.796,59.273,22.994,20.200,1.264,111.527
2022,2,La Rioja,7.759,52.656,19.189,6.395,31,86.030
2022,2,Mendoza,37.663,77.504,135.504,26.964,1.927,279.562
2022,2,Misiones,37.208,89.260,33.649,11.074,7.622,178.813
2022,2,Neuquén,29.749,74.905,28.824,27.371,1.119,161.968
2022,2,Río Negro,36.050,47.040,40.946,16.760,18.968,159.764
2022,2,Salta,42.665,96.178,47.076,10.068,7.190,203.177
2022,2,San Juan,38.570,19.734,12.328,21.859,7.916,100.407
2022,2,San Luis,6.860,29.034,248,70.614,14.985,121.741
2022,2,Santa Cruz,10.170,23.725,10.815,3.896,579,49.185
2022,2,Santa Fe,198.492,428.233,189.503,43.081,19.550,878.859
2022,2,Santiago Del Estero,16.561,80.338,11.605,6.618,2.922,118.044
